College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638201083,1-44638201083,U-0449,"GOVERNMENT POLYTECHNIC, CHARIYAON BUJURG,DEORIA",Active,Uttar Pradesh,Deoria,Deoria,"CHARIYAON BUJURG,GAURIBAZAR,DEORIA-274202 (U.P.)",274202,26.861837,80.940099,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chariyaonbujurgdeoria.ac.in,info@chariyaonbujurgdeoria.ac.in,admissions@chariyaonbujurgdeoria.ac.in,placement@chariyaonbujurgdeoria.ac.in,+91-80-473-7240,Mechanical Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44638201083,1-44638201083,U-0449,"GOVERNMENT POLYTECHNIC, CHARIYAON BUJURG,DEORIA",Active,Uttar Pradesh,Deoria,Deoria,"CHARIYAON BUJURG,GAURIBAZAR,DEORIA-274202 (U.P.)",274202,26.861837,80.940099,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chariyaonbujurgdeoria.ac.in,info@chariyaonbujurgdeoria.ac.in,admissions@chariyaonbujurgdeoria.ac.in,placement@chariyaonbujurgdeoria.ac.in,+91-80-473-7240,Electrical Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44638201083,1-44638201083,U-0449,"GOVERNMENT POLYTECHNIC, CHARIYAON BUJURG,DEORIA",Active,Uttar Pradesh,Deoria,Deoria,"CHARIYAON BUJURG,GAURIBAZAR,DEORIA-274202 (U.P.)",274202,26.861837,80.940099,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.chariyaonbujurgdeoria.ac.in,info@chariyaonbujurgdeoria.ac.in,admissions@chariyaonbujurgdeoria.ac.in,placement@chariyaonbujurgdeoria.ac.in,+91-80-473-7240,Civil Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44640553764,1-44640553764,U-0449,"GOVERNMENT POLYTECHNIC, DEORIA",Active,Uttar Pradesh,Deoria,Deoria,PO- G.I.ESTATE GORAKHPUR-DEORIA ROAD DISTT- DEORIA (U.P),201224,26.866642,80.92829,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.deoria.ac.in,info@deoria.ac.in,admissions@deoria.ac.in,placement@deoria.ac.in,+91-80-675-2653,Civil Engineering,Diploma,60,180,1985,Urban,Yes,Yes
1-44640553764,1-44640553764,U-0449,"GOVERNMENT POLYTECHNIC, DEORIA",Active,Uttar Pradesh,Deoria,Deoria,PO- G.I.ESTATE GORAKHPUR-DEORIA ROAD DISTT- DEORIA (U.P),201224,26.866642,80.92829,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.deoria.ac.in,info@deoria.ac.in,admissions@deoria.ac.in,placement@deoria.ac.in,+91-80-675-2653,Electrical Engineering,Diploma,60,180,1985,Urban,Yes,Yes
1-44640553764,1-44640553764,U-0449,"GOVERNMENT POLYTECHNIC, DEORIA",Active,Uttar Pradesh,Deoria,Deoria,PO- G.I.ESTATE GORAKHPUR-DEORIA ROAD DISTT- DEORIA (U.P),201224,26.866642,80.92829,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.deoria.ac.in,info@deoria.ac.in,admissions@deoria.ac.in,placement@deoria.ac.in,+91-80-675-2653,Other Engineering Branches,Diploma,60,180,1985,Urban,Yes,Yes
1-44643209547,1-44643209547,U-0086,R.P. POLYTEHCHNIC COLLEGE,Active,Uttar Pradesh,Deoria,Deoria,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",201224,26.85467,80.957101,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 3,http://www.rppolytehchnic.ac.in,info@rppolytehchnic.ac.in,admissions@rppolytehchnic.ac.in,placement@rppolytehchnic.ac.in,+91-80-173-1653,Computer Science Engineering (CSE),Diploma,120,360,2006,Urban,Yes,Yes
1-44643209547,1-44643209547,U-0086,R.P. POLYTEHCHNIC COLLEGE,Active,Uttar Pradesh,Deoria,Deoria,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",201224,26.85467,80.957101,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 3,http://www.rppolytehchnic.ac.in,info@rppolytehchnic.ac.in,admissions@rppolytehchnic.ac.in,placement@rppolytehchnic.ac.in,+91-80-173-1653,Electrical Engineering,Diploma,60,360,2006,Urban,Yes,Yes
1-44643209547,1-44643209547,U-0086,R.P. POLYTEHCHNIC COLLEGE,Active,Uttar Pradesh,Deoria,Deoria,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",201224,26.85467,80.957101,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 3,http://www.rppolytehchnic.ac.in,info@rppolytehchnic.ac.in,admissions@rppolytehchnic.ac.in,placement@rppolytehchnic.ac.in,+91-80-173-1653,Mechanical Engineering,Diploma,60,360,2006,Urban,Yes,Yes
1-44643209547,1-44643209547,U-0086,R.P. POLYTEHCHNIC COLLEGE,Active,Uttar Pradesh,Deoria,Deoria,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",201224,26.85467,80.957101,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 3,http://www.rppolytehchnic.ac.in,info@rppolytehchnic.ac.in,admissions@rppolytehchnic.ac.in,placement@rppolytehchnic.ac.in,+91-80-173-1653,Civil Engineering,Diploma,60,360,2006,Urban,Yes,Yes
1-44643209547,1-44643209547,U-0086,R.P. POLYTEHCHNIC COLLEGE,Active,Uttar Pradesh,Deoria,Deoria,"VILL-MUNDERA LALA, POST-GOVINDPUR THANA-RAMPUR KARKHANA, DIST.-DEORIA",201224,26.85467,80.957101,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A,No,,Tier 3,http://www.rppolytehchnic.ac.in,info@rppolytehchnic.ac.in,admissions@rppolytehchnic.ac.in,placement@rppolytehchnic.ac.in,+91-80-173-1653,Other Engineering Branches,Diploma,60,360,2006,Urban,Yes,Yes
1-44642526741,1-44642526741,U-0086,BABA VISHWANATH TECHNICAL INSTITUTE,Active,Uttar Pradesh,Deoria,Deoria,"VILLAGE-KAIROUTA, POST OFFICE-CHERO, PIN CODE-274509, POLICE STATION-MAIL, TEHSIL-SALEMPUR, BLOCK-BHAGALPUR, DISTRICT-DEORIA.",274509,26.853973,80.938172,Private-Self Financing,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A+,Yes,,Tier 2,http://www.babavishwanathtechnical.ac.in,info@babavishwanathtechnical.ac.in,admissions@babavishwanathtechnical.ac.in,placement@babavishwanathtechnical.ac.in,+91-80-143-8924,Computer Science Engineering (CSE),Diploma,60,360,2020,Rural,Yes,Yes
