College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638421313,1-44638421313,U-0050,PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Dhanbad,Dhanbad,"NH-2, SAHU BAHIYAR, TOPCHANCHI",834511,23.601116,85.271107,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pemiyarishikesh.ac.in,info@pemiyarishikesh.ac.in,admissions@pemiyarishikesh.ac.in,placement@pemiyarishikesh.ac.in,+91-80-457-8375,Mechanical Engineering,Diploma,60,360,2022,Urban,Yes,No
1-44638421313,1-44638421313,U-0050,PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Dhanbad,Dhanbad,"NH-2, SAHU BAHIYAR, TOPCHANCHI",834511,23.601116,85.271107,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pemiyarishikesh.ac.in,info@pemiyarishikesh.ac.in,admissions@pemiyarishikesh.ac.in,placement@pemiyarishikesh.ac.in,+91-80-457-8375,Civil Engineering,Diploma,60,360,2022,Urban,Yes,No
1-44638421313,1-44638421313,U-0050,PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Dhanbad,Dhanbad,"NH-2, SAHU BAHIYAR, TOPCHANCHI",834511,23.601116,85.271107,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pemiyarishikesh.ac.in,info@pemiyarishikesh.ac.in,admissions@pemiyarishikesh.ac.in,placement@pemiyarishikesh.ac.in,+91-80-457-8375,Electrical Engineering,Diploma,60,360,2022,Urban,Yes,No
1-44638421313,1-44638421313,U-0050,PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Dhanbad,Dhanbad,"NH-2, SAHU BAHIYAR, TOPCHANCHI",834511,23.601116,85.271107,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pemiyarishikesh.ac.in,info@pemiyarishikesh.ac.in,admissions@pemiyarishikesh.ac.in,placement@pemiyarishikesh.ac.in,+91-80-457-8375,Mining Engineering,Diploma,120,360,2022,Urban,Yes,No
1-44638421313,1-44638421313,U-0050,PEMIYA RISHIKESH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Dhanbad,Dhanbad,"NH-2, SAHU BAHIYAR, TOPCHANCHI",834511,23.601116,85.271107,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pemiyarishikesh.ac.in,info@pemiyarishikesh.ac.in,admissions@pemiyarishikesh.ac.in,placement@pemiyarishikesh.ac.in,+91-80-457-8375,Computer Science Engineering (CSE),Diploma,60,360,2022,Urban,Yes,No
1-44640048657,1-44640048657,U-0871,GOVERNMENT POLYTECHNIC BHAGA,Active,Jharkhand,Dhanbad,Dhanbad,"GOVT. POLYTECHNIC BHAGA (BIT SINDRI CAMPUS) PO: MOTINAGAR, DIST: DHANBAD- 828120",828120,23.613945,85.285914,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaga.ac.in,info@bhaga.ac.in,admissions@bhaga.ac.in,placement@bhaga.ac.in,+91-80-995-9334,Mining Engineering,Diploma,70,250,2003,Urban,Yes,Yes
1-44640048657,1-44640048657,U-0871,GOVERNMENT POLYTECHNIC BHAGA,Active,Jharkhand,Dhanbad,Dhanbad,"GOVT. POLYTECHNIC BHAGA (BIT SINDRI CAMPUS) PO: MOTINAGAR, DIST: DHANBAD- 828120",828120,23.613945,85.285914,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaga.ac.in,info@bhaga.ac.in,admissions@bhaga.ac.in,placement@bhaga.ac.in,+91-80-995-9334,Computer Science Engineering (CSE),Diploma,60,250,2003,Urban,Yes,Yes
1-44640048657,1-44640048657,U-0871,GOVERNMENT POLYTECHNIC BHAGA,Active,Jharkhand,Dhanbad,Dhanbad,"GOVT. POLYTECHNIC BHAGA (BIT SINDRI CAMPUS) PO: MOTINAGAR, DIST: DHANBAD- 828120",828120,23.613945,85.285914,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaga.ac.in,info@bhaga.ac.in,admissions@bhaga.ac.in,placement@bhaga.ac.in,+91-80-995-9334,Other Engineering Branches,Diploma,60,250,2003,Urban,Yes,Yes
1-44640048657,1-44640048657,U-0871,GOVERNMENT POLYTECHNIC BHAGA,Active,Jharkhand,Dhanbad,Dhanbad,"GOVT. POLYTECHNIC BHAGA (BIT SINDRI CAMPUS) PO: MOTINAGAR, DIST: DHANBAD- 828120",828120,23.613945,85.285914,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bhaga.ac.in,info@bhaga.ac.in,admissions@bhaga.ac.in,placement@bhaga.ac.in,+91-80-995-9334,Mechanical Engineering,Diploma,60,250,2003,Urban,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Civil Engineering,B.Tech,60,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Computer Science Engineering (CSE),B.Tech,120,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Electrical Engineering,B.Tech,60,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Electronics & Communication Engineering (ECE),B.Tech,60,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Mechanical Engineering,B.Tech,60,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Mechanical Engineering,Diploma,120,540,1988,Rural,Yes,Yes
1-44639630910,1-44639630910,U-0871,K.K. COLLEGE OF ENGINEERING & MANAGEMENT,Active,Jharkhand,Dhanbad,Dhanbad,VILLAGE+AT: NAIRO POST OFF:-BAGSUMA THANA: GOVINDPUR DIST:-DHANBAD PIN: 828109 JHARKHAND,828109,23.620515,85.289353,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.kkmanagement.ac.in,info@kkmanagement.ac.in,admissions@kkmanagement.ac.in,placement@kkmanagement.ac.in,+91-80-271-5196,Mining Engineering,B.Tech,60,540,1988,Rural,Yes,Yes
1-44640241214,1-44640241214,U-0871,GOVERNMENT POLYTECHNIC DHANBAD,Active,Jharkhand,Dhanbad,Dhanbad,B. POLYTECHNIC,834511,23.616192,85.284012,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.dhanbad.ac.in,info@dhanbad.ac.in,admissions@dhanbad.ac.in,placement@dhanbad.ac.in,+91-80-090-1914,Civil Engineering,Diploma,60,300,2018,Urban,Yes,Yes
1-44640241214,1-44640241214,U-0871,GOVERNMENT POLYTECHNIC DHANBAD,Active,Jharkhand,Dhanbad,Dhanbad,B. POLYTECHNIC,834511,23.616192,85.284012,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.dhanbad.ac.in,info@dhanbad.ac.in,admissions@dhanbad.ac.in,placement@dhanbad.ac.in,+91-80-090-1914,Mechanical Engineering,Diploma,60,300,2018,Urban,Yes,Yes
1-44640241214,1-44640241214,U-0871,GOVERNMENT POLYTECHNIC DHANBAD,Active,Jharkhand,Dhanbad,Dhanbad,B. POLYTECHNIC,834511,23.616192,85.284012,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.dhanbad.ac.in,info@dhanbad.ac.in,admissions@dhanbad.ac.in,placement@dhanbad.ac.in,+91-80-090-1914,Electrical Engineering,Diploma,60,300,2018,Urban,Yes,Yes
1-44640241214,1-44640241214,U-0871,GOVERNMENT POLYTECHNIC DHANBAD,Active,Jharkhand,Dhanbad,Dhanbad,B. POLYTECHNIC,834511,23.616192,85.284012,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.dhanbad.ac.in,info@dhanbad.ac.in,admissions@dhanbad.ac.in,placement@dhanbad.ac.in,+91-80-090-1914,Other Engineering Branches,Diploma,60,300,2018,Urban,Yes,Yes
1-44640241214,1-44640241214,U-0871,GOVERNMENT POLYTECHNIC DHANBAD,Active,Jharkhand,Dhanbad,Dhanbad,B. POLYTECHNIC,834511,23.616192,85.284012,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.dhanbad.ac.in,info@dhanbad.ac.in,admissions@dhanbad.ac.in,placement@dhanbad.ac.in,+91-80-090-1914,Computer Science Engineering (CSE),Diploma,60,300,2018,Urban,Yes,Yes
1-44640664111,1-44640664111,U-0050,"GOVERNMENT POLYTECHNIC NIRSA, DHANBAD",Active,Jharkhand,Dhanbad,Dhanbad,GOVT. POLYTECHNIC NIRSA MAUZA-GOPALGANJ P.O-DEVIYANA ANCHAL-NIRSA PIN-828205,828205,23.609578,85.276881,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.nirsadhanbad.ac.in,info@nirsadhanbad.ac.in,admissions@nirsadhanbad.ac.in,placement@nirsadhanbad.ac.in,+91-80-812-7596,Mining Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44640664111,1-44640664111,U-0050,"GOVERNMENT POLYTECHNIC NIRSA, DHANBAD",Active,Jharkhand,Dhanbad,Dhanbad,GOVT. POLYTECHNIC NIRSA MAUZA-GOPALGANJ P.O-DEVIYANA ANCHAL-NIRSA PIN-828205,828205,23.609578,85.276881,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.nirsadhanbad.ac.in,info@nirsadhanbad.ac.in,admissions@nirsadhanbad.ac.in,placement@nirsadhanbad.ac.in,+91-80-812-7596,Civil Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44640664111,1-44640664111,U-0050,"GOVERNMENT POLYTECHNIC NIRSA, DHANBAD",Active,Jharkhand,Dhanbad,Dhanbad,GOVT. POLYTECHNIC NIRSA MAUZA-GOPALGANJ P.O-DEVIYANA ANCHAL-NIRSA PIN-828205,828205,23.609578,85.276881,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.nirsadhanbad.ac.in,info@nirsadhanbad.ac.in,admissions@nirsadhanbad.ac.in,placement@nirsadhanbad.ac.in,+91-80-812-7596,Mechanical Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Mechanical Engineering,B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Electrical Engineering,B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Other Engineering Branches,B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Chemical Engineering,B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Civil Engineering,B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Electronics & Communication Engineering (ECE),B.Tech,60,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Mining Engineering,B.Tech,60,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Computer Science Engineering (CSE),B.Tech,60,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Information Technology (IT),B.Tech,120,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Other Engineering Branches,M.Tech,189,1192,1983,Rural,Yes,No
1-44640746947,1-44640746947,U-0871,B I T SINDRI,Active,Jharkhand,Dhanbad,Dhanbad,PO -SINDRI INSTITUTE,834511,23.625085,85.265319,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B++,Yes,,Tier 3,http://www.bit.ac.in,info@bit.ac.in,admissions@bit.ac.in,placement@bit.ac.in,+91-80-463-1458,Mechanical Engineering,M.Tech,25,1192,1983,Rural,Yes,No
