College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Civil Engineering,B.Tech,30,570,1987,Urban,Yes,Yes
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Electrical & Electronics Engineering (EEE),B.Tech,60,570,1987,Urban,Yes,Yes
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Electronics & Communication Engineering (ECE),B.Tech,120,570,1987,Urban,Yes,Yes
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Mechanical Engineering,B.Tech,60,570,1987,Urban,Yes,Yes
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Computer Science Engineering (CSE),B.Tech,240,570,1987,Urban,Yes,Yes
1-44638557534,1-44638557534,U-0375,A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Karnataka,Dharwad,Dharwad,"NH-4, P.B. ROAD OPP VRL HEAD OFFICE VARUR.",560506,15.458286,74.999907,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A,No,,Tier 3,http://www.agmrural.ac.in,info@agmrural.ac.in,admissions@agmrural.ac.in,placement@agmrural.ac.in,+91-80-813-1149,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,570,1987,Urban,Yes,Yes
1-44638523851,1-44638523851,U-0992,KLE TECHNOLOGICAL UNIVERSITY,Active,Karnataka,Dharwad,Dharwad,"BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",560506,15.443705,75.004327,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.kletechnological.ac.in,info@kletechnological.ac.in,admissions@kletechnological.ac.in,placement@kletechnological.ac.in,+91-80-201-5337,Civil Engineering,B.Tech,120,1890,1999,Rural,No,No
1-44638523851,1-44638523851,U-0992,KLE TECHNOLOGICAL UNIVERSITY,Active,Karnataka,Dharwad,Dharwad,"BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",560506,15.443705,75.004327,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.kletechnological.ac.in,info@kletechnological.ac.in,admissions@kletechnological.ac.in,placement@kletechnological.ac.in,+91-80-201-5337,Mechanical Engineering,B.Tech,180,1890,1999,Rural,No,No
1-44638523851,1-44638523851,U-0992,KLE TECHNOLOGICAL UNIVERSITY,Active,Karnataka,Dharwad,Dharwad,"BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",560506,15.443705,75.004327,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.kletechnological.ac.in,info@kletechnological.ac.in,admissions@kletechnological.ac.in,placement@kletechnological.ac.in,+91-80-201-5337,Computer Science Engineering (CSE),B.Tech,600,1890,1999,Rural,No,No
1-44638523851,1-44638523851,U-0992,KLE TECHNOLOGICAL UNIVERSITY,Active,Karnataka,Dharwad,Dharwad,"BVBHOOMARADDI COLLEGE CAMPUS, VIDYANAGAR, HUBBALLI",560506,15.443705,75.004327,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.kletechnological.ac.in,info@kletechnological.ac.in,admissions@kletechnological.ac.in,placement@kletechnological.ac.in,+91-80-201-5337,Electronics & Communication Engineering (ECE),B.Tech,540,1890,1999,Rural,No,No
