College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Computer Science Engineering (CSE),B.Tech,180,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Mechanical Engineering,B.Tech,60,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Electrical Engineering,B.Tech,60,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Information Technology (IT),B.Tech,60,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Civil Engineering,B.Tech,60,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,600,2020,Urban,Yes,No
1-44638583974,1-44638583974,U-0398,SVKM NMIMS GLOBAL UNIVERSITY,Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 499/1, PLOT NO. 2, BEHIND GURUDWARA, MUMBAI Ã¢â¬âAGRA HIGHWAY, DHULE 424001",424001,19.754993,75.712929,State Private University,Self,Approved,Approved,Not Accredited,No,,Tier 3,http://www.svkmnmimsglobal.ac.in,info@svkmnmimsglobal.ac.in,admissions@svkmnmimsglobal.ac.in,placement@svkmnmimsglobal.ac.in,+91-80-985-3561,Data Science,B.Tech,120,600,2020,Urban,Yes,No
1-44638851093,1-44638851093,U-0767,"R.C.PATEL COLLEGE OF ENGINEERING AND POLYTECHNIC,SHIRPUR",Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 41/1, NEAR BALAJI NAGAR, OPPOSITE TO R. C. PATEL EDUCATIONAL COMPLEX, KARAVAND ROAD, SHIRPUR - 425405; DIST: DHULE (MS)",425405,19.744512,75.698121,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.rcpatelpolytechnicshirpur.ac.in,info@rcpatelpolytechnicshirpur.ac.in,admissions@rcpatelpolytechnicshirpur.ac.in,placement@rcpatelpolytechnicshirpur.ac.in,+91-80-545-7435,Mechanical Engineering,Diploma,60,840,2022,Rural,Yes,Yes
1-44638851093,1-44638851093,U-0767,"R.C.PATEL COLLEGE OF ENGINEERING AND POLYTECHNIC,SHIRPUR",Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 41/1, NEAR BALAJI NAGAR, OPPOSITE TO R. C. PATEL EDUCATIONAL COMPLEX, KARAVAND ROAD, SHIRPUR - 425405; DIST: DHULE (MS)",425405,19.744512,75.698121,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.rcpatelpolytechnicshirpur.ac.in,info@rcpatelpolytechnicshirpur.ac.in,admissions@rcpatelpolytechnicshirpur.ac.in,placement@rcpatelpolytechnicshirpur.ac.in,+91-80-545-7435,Civil Engineering,Diploma,60,840,2022,Rural,Yes,Yes
1-44638851093,1-44638851093,U-0767,"R.C.PATEL COLLEGE OF ENGINEERING AND POLYTECHNIC,SHIRPUR",Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 41/1, NEAR BALAJI NAGAR, OPPOSITE TO R. C. PATEL EDUCATIONAL COMPLEX, KARAVAND ROAD, SHIRPUR - 425405; DIST: DHULE (MS)",425405,19.744512,75.698121,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.rcpatelpolytechnicshirpur.ac.in,info@rcpatelpolytechnicshirpur.ac.in,admissions@rcpatelpolytechnicshirpur.ac.in,placement@rcpatelpolytechnicshirpur.ac.in,+91-80-545-7435,Computer Science Engineering (CSE),Diploma,300,840,2022,Rural,Yes,Yes
1-44638851093,1-44638851093,U-0767,"R.C.PATEL COLLEGE OF ENGINEERING AND POLYTECHNIC,SHIRPUR",Active,Maharashtra,Dhule,Dhule,"SURVEY NO. 41/1, NEAR BALAJI NAGAR, OPPOSITE TO R. C. PATEL EDUCATIONAL COMPLEX, KARAVAND ROAD, SHIRPUR - 425405; DIST: DHULE (MS)",425405,19.744512,75.698121,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.rcpatelpolytechnicshirpur.ac.in,info@rcpatelpolytechnicshirpur.ac.in,admissions@rcpatelpolytechnicshirpur.ac.in,placement@rcpatelpolytechnicshirpur.ac.in,+91-80-545-7435,Electrical Engineering,Diploma,60,840,2022,Rural,Yes,Yes
