College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639334311,1-44639334311,U-0584,DIBRUGARH POLYTECHNIC,Active,Assam,Dibrugarh,Dibrugarh,LAHOWAL DIBRUGARH,781186,26.195443,92.95041,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-622-5873,Civil Engineering,Diploma,60,140,1994,Urban,Yes,Yes
1-44639334311,1-44639334311,U-0584,DIBRUGARH POLYTECHNIC,Active,Assam,Dibrugarh,Dibrugarh,LAHOWAL DIBRUGARH,781186,26.195443,92.95041,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-622-5873,Mechanical Engineering,Diploma,40,140,1994,Urban,Yes,Yes
1-44639334311,1-44639334311,U-0584,DIBRUGARH POLYTECHNIC,Active,Assam,Dibrugarh,Dibrugarh,LAHOWAL DIBRUGARH,781186,26.195443,92.95041,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-622-5873,Electrical Engineering,Diploma,40,140,1994,Urban,Yes,Yes
1-44641512985,1-44641512985,U-0530,DEPARTMENT OF PETROLEUM TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DI BRUGARH UNIVERSITY RAJABHETA,781186,26.183466,92.932046,State Government University,"Dibrugarh University, Dibrugarh",Approved,Approved,B,Yes,,Tier 3,http://www.departmentpetroleum.ac.in,info@departmentpetroleum.ac.in,admissions@departmentpetroleum.ac.in,placement@departmentpetroleum.ac.in,+91-80-120-2268,Other Engineering Branches,M.Tech,18,18,2015,Urban,No,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Electronics & Communication Engineering (ECE),B.Tech,60,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Mechanical Engineering,B.Tech,60,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Other Engineering Branches,B.Tech,50,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Computer Science Engineering (CSE),B.Tech,60,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,18,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Other Engineering Branches,M.Tech,36,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,IoT,M.Tech,18,332,1989,Urban,Yes,Yes
1-44641445115,1-44641445115,U-0992,DIBRUGARH UNIVERSITY INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Assam,Dibrugarh,Dibrugarh,DIBRUGARH UNIVERSITY CAMPUS,781186,26.181536,92.938241,State Government University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.dibrugarh.ac.in,info@dibrugarh.ac.in,admissions@dibrugarh.ac.in,placement@dibrugarh.ac.in,+91-80-039-2836,Civil Engineering,B.Tech,30,332,1989,Urban,Yes,Yes
