College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Electronics & Communication Engineering (ECE),Diploma,25,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Information Technology (IT),Diploma,15,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Computer Science Engineering (CSE),Diploma,60,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Other Engineering Branches,Diploma,100,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Mechanical Engineering,Diploma,230,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Electrical & Electronics Engineering (EEE),Diploma,120,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Civil Engineering,Diploma,60,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Automobile Engineering,Diploma,60,730,1989,Rural,Yes,Yes
1-44639389562,1-44639389562,U-0650,RATNAVEL SUBRAMANIAM POLYTECHNIC COLLEGE,Active,Tamil Nadu,Dindigul,Dindigul,"RVS NAGAR, KARUR ROAD, DINDIGUL.",600184,10.359988,77.998203,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.ratnavelsubramaniam.ac.in,info@ratnavelsubramaniam.ac.in,admissions@ratnavelsubramaniam.ac.in,placement@ratnavelsubramaniam.ac.in,+91-80-532-1970,Agricultural Engineering,Diploma,60,730,1989,Rural,Yes,Yes
1-44638788641,1-44638788641,U-0682,UNIVERSITY COLLEGE OF ENGINEERING,Active,Tamil Nadu,Dindigul,Dindigul,"MANGARAI PIRIVU, REDDIYARCHATRAM(PO), DINDIGUL",600184,10.357416,77.96056,Government,"Anna University, Chennai",Approved,Approved,A,No,,Tier 2,http://www.inst6573.ac.in,info@inst6573.ac.in,admissions@inst6573.ac.in,placement@inst6573.ac.in,+91-80-424-2689,Civil Engineering,B.Tech,60,300,1983,Urban,Yes,Yes
