College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638792475,1-44638792475,U-0050,GOVERNMENT WOMEN'S POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,POST: TYELIYACHAK PS: MUFFASIL THANA,834987,23.610626,85.275215,Government,Jharkhand University of Technology,Approved,Approved,B++,Yes,,Tier 3,http://www.dumka.ac.in,info@dumka.ac.in,admissions@dumka.ac.in,placement@dumka.ac.in,+91-80-856-7394,Civil Engineering,Diploma,60,300,2007,Rural,Yes,Yes
1-44638792475,1-44638792475,U-0050,GOVERNMENT WOMEN'S POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,POST: TYELIYACHAK PS: MUFFASIL THANA,834987,23.610626,85.275215,Government,Jharkhand University of Technology,Approved,Approved,B++,Yes,,Tier 3,http://www.dumka.ac.in,info@dumka.ac.in,admissions@dumka.ac.in,placement@dumka.ac.in,+91-80-856-7394,Electrical & Electronics Engineering (EEE),Diploma,60,300,2007,Rural,Yes,Yes
1-44638792475,1-44638792475,U-0050,GOVERNMENT WOMEN'S POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,POST: TYELIYACHAK PS: MUFFASIL THANA,834987,23.610626,85.275215,Government,Jharkhand University of Technology,Approved,Approved,B++,Yes,,Tier 3,http://www.dumka.ac.in,info@dumka.ac.in,admissions@dumka.ac.in,placement@dumka.ac.in,+91-80-856-7394,Other Engineering Branches,Diploma,120,300,2007,Rural,Yes,Yes
1-44638792475,1-44638792475,U-0050,GOVERNMENT WOMEN'S POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,POST: TYELIYACHAK PS: MUFFASIL THANA,834987,23.610626,85.275215,Government,Jharkhand University of Technology,Approved,Approved,B++,Yes,,Tier 3,http://www.dumka.ac.in,info@dumka.ac.in,admissions@dumka.ac.in,placement@dumka.ac.in,+91-80-856-7394,Mechanical Engineering,Diploma,60,300,2007,Rural,Yes,Yes
1-44639963128,1-44639963128,U-0871,GOVT. POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,SONWA DANGAL P.O.SHIV PAHAR DUMKA,834987,23.619666,85.262968,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.govtdumka.ac.in,info@govtdumka.ac.in,admissions@govtdumka.ac.in,placement@govtdumka.ac.in,+91-80-235-8931,Mechanical Engineering,Diploma,60,240,1987,Rural,Yes,Yes
1-44639963128,1-44639963128,U-0871,GOVT. POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,SONWA DANGAL P.O.SHIV PAHAR DUMKA,834987,23.619666,85.262968,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.govtdumka.ac.in,info@govtdumka.ac.in,admissions@govtdumka.ac.in,placement@govtdumka.ac.in,+91-80-235-8931,Electrical Engineering,Diploma,60,240,1987,Rural,Yes,Yes
1-44639963128,1-44639963128,U-0871,GOVT. POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,SONWA DANGAL P.O.SHIV PAHAR DUMKA,834987,23.619666,85.262968,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.govtdumka.ac.in,info@govtdumka.ac.in,admissions@govtdumka.ac.in,placement@govtdumka.ac.in,+91-80-235-8931,Civil Engineering,Diploma,60,240,1987,Rural,Yes,Yes
1-44639963128,1-44639963128,U-0871,GOVT. POLYTECHNIC DUMKA,Active,Jharkhand,Dumka,Dumka,SONWA DANGAL P.O.SHIV PAHAR DUMKA,834987,23.619666,85.262968,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.govtdumka.ac.in,info@govtdumka.ac.in,admissions@govtdumka.ac.in,placement@govtdumka.ac.in,+91-80-235-8931,Computer Science Engineering (CSE),Diploma,60,240,1987,Rural,Yes,Yes
1-44640213848,1-44640213848,U-0871,DUMKA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),Active,Jharkhand,Dumka,Dumka,"DUMKA,",834987,23.626722,85.26608,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.dumkaestdby.ac.in,info@dumkaestdby.ac.in,admissions@dumkaestdby.ac.in,placement@dumkaestdby.ac.in,+91-80-531-8311,Electronics & Communication Engineering (ECE),B.Tech,30,450,2021,Urban,Yes,No
1-44640213848,1-44640213848,U-0871,DUMKA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),Active,Jharkhand,Dumka,Dumka,"DUMKA,",834987,23.626722,85.26608,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.dumkaestdby.ac.in,info@dumkaestdby.ac.in,admissions@dumkaestdby.ac.in,placement@dumkaestdby.ac.in,+91-80-531-8311,Electrical Engineering,B.Tech,60,450,2021,Urban,Yes,No
1-44640213848,1-44640213848,U-0871,DUMKA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),Active,Jharkhand,Dumka,Dumka,"DUMKA,",834987,23.626722,85.26608,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.dumkaestdby.ac.in,info@dumkaestdby.ac.in,admissions@dumkaestdby.ac.in,placement@dumkaestdby.ac.in,+91-80-531-8311,Civil Engineering,B.Tech,120,450,2021,Urban,Yes,No
1-44640213848,1-44640213848,U-0871,DUMKA ENGINEERING COLLEGE (ESTD. BY GOVT. OF JHARKHAND & RUN BY TECHNO INDIA UNDER PPP),Active,Jharkhand,Dumka,Dumka,"DUMKA,",834987,23.626722,85.26608,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.dumkaestdby.ac.in,info@dumkaestdby.ac.in,admissions@dumkaestdby.ac.in,placement@dumkaestdby.ac.in,+91-80-531-8311,Mechanical Engineering,B.Tech,60,450,2021,Urban,Yes,No
