College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638214633,1-44638214633,U-0294,MSME TECHNOLOGY CENTRE DURG,Active,Chhattisgarh,Durg,Durg,"PLOT NO-2D, SECTOR-B, INDUSTRIAL GROWTH CENTRE, BORAI, AT-RASMADA",492634,21.285546,81.856153,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.msmecentredurg.ac.in,info@msmecentredurg.ac.in,admissions@msmecentredurg.ac.in,placement@msmecentredurg.ac.in,+91-80-125-9968,Other Engineering Branches,Diploma,60,120,2020,Urban,Yes,Yes
1-44638214633,1-44638214633,U-0294,MSME TECHNOLOGY CENTRE DURG,Active,Chhattisgarh,Durg,Durg,"PLOT NO-2D, SECTOR-B, INDUSTRIAL GROWTH CENTRE, BORAI, AT-RASMADA",492634,21.285546,81.856153,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.msmecentredurg.ac.in,info@msmecentredurg.ac.in,admissions@msmecentredurg.ac.in,placement@msmecentredurg.ac.in,+91-80-125-9968,Mechanical Engineering,Diploma,60,120,2020,Urban,Yes,Yes
1-44638097704,1-44638097704,U-0329,GOVERNMENT POLYTECHNIC BERLA,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BERLA, VILLAGE BAHERA, TEHSIL- BERLA, DISTRICT BEMETARA, PIN 491332 C.G. INDIA",491332,21.298676,81.882595,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.berla.ac.in,info@berla.ac.in,admissions@berla.ac.in,placement@berla.ac.in,+91-80-676-6953,Civil Engineering,Diploma,60,180,1988,Rural,No,Yes
1-44638097704,1-44638097704,U-0329,GOVERNMENT POLYTECHNIC BERLA,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BERLA, VILLAGE BAHERA, TEHSIL- BERLA, DISTRICT BEMETARA, PIN 491332 C.G. INDIA",491332,21.298676,81.882595,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.berla.ac.in,info@berla.ac.in,admissions@berla.ac.in,placement@berla.ac.in,+91-80-676-6953,Mechanical Engineering,Diploma,60,180,1988,Rural,No,Yes
1-44638097704,1-44638097704,U-0329,GOVERNMENT POLYTECHNIC BERLA,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BERLA, VILLAGE BAHERA, TEHSIL- BERLA, DISTRICT BEMETARA, PIN 491332 C.G. INDIA",491332,21.298676,81.882595,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A,No,,Tier 2,http://www.berla.ac.in,info@berla.ac.in,admissions@berla.ac.in,placement@berla.ac.in,+91-80-676-6953,Electrical Engineering,Diploma,60,180,1988,Rural,No,Yes
1-44638090615,1-44638090615,U-0329,GOVERNMENT POLYTECHNIC BALOD,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BALOD, NEAR GOVT.  ITI, BALOD",492634,21.284978,81.85092,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.balod.ac.in,info@balod.ac.in,admissions@balod.ac.in,placement@balod.ac.in,+91-80-102-1598,Civil Engineering,Diploma,60,180,2004,Urban,Yes,Yes
1-44638090615,1-44638090615,U-0329,GOVERNMENT POLYTECHNIC BALOD,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BALOD, NEAR GOVT.  ITI, BALOD",492634,21.284978,81.85092,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.balod.ac.in,info@balod.ac.in,admissions@balod.ac.in,placement@balod.ac.in,+91-80-102-1598,Electrical Engineering,Diploma,60,180,2004,Urban,Yes,Yes
1-44638090615,1-44638090615,U-0329,GOVERNMENT POLYTECHNIC BALOD,Active,Chhattisgarh,Durg,Durg,"GOVERNMENT POLYTECHNIC BALOD, NEAR GOVT.  ITI, BALOD",492634,21.284978,81.85092,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.balod.ac.in,info@balod.ac.in,admissions@balod.ac.in,placement@balod.ac.in,+91-80-102-1598,Mining Engineering,Diploma,60,180,2004,Urban,Yes,Yes
1-44637279835,1-44637279835,U-0329,UNIVERSITY TEACHING DEPARTMENT CSVTU BHILAI,Active,Chhattisgarh,Durg,Durg,CHHATTISGARH SWAMI VIVEKANAND TECHNICAL UNIVERSITY BHILAI NEWAI NEWAI DISTRICT DURG CHHATTISGARH  INDIA,492634,21.267588,81.872996,State Government University,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A+,Yes,,Tier 2,http://www.teachingdepartmentcsvtu.ac.in,info@teachingdepartmentcsvtu.ac.in,admissions@teachingdepartmentcsvtu.ac.in,placement@teachingdepartmentcsvtu.ac.in,+91-80-372-8044,Civil Engineering,M.Tech,18,330,1987,Rural,Yes,Yes
1-44637279835,1-44637279835,U-0329,UNIVERSITY TEACHING DEPARTMENT CSVTU BHILAI,Active,Chhattisgarh,Durg,Durg,CHHATTISGARH SWAMI VIVEKANAND TECHNICAL UNIVERSITY BHILAI NEWAI NEWAI DISTRICT DURG CHHATTISGARH  INDIA,492634,21.267588,81.872996,State Government University,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A+,Yes,,Tier 2,http://www.teachingdepartmentcsvtu.ac.in,info@teachingdepartmentcsvtu.ac.in,admissions@teachingdepartmentcsvtu.ac.in,placement@teachingdepartmentcsvtu.ac.in,+91-80-372-8044,Other Engineering Branches,M.Tech,72,330,1987,Rural,Yes,Yes
