College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Information Technology (IT),B.Tech,30,120,1997,Urban,Yes,Yes
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Electronics & Communication Engineering (ECE),B.Tech,30,120,1997,Urban,Yes,Yes
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Other Engineering Branches,B.Tech,60,120,1997,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Civil Engineering,Diploma,60,190,1981,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Electronics & Communication Engineering (ECE),Diploma,30,190,1981,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Electrical Engineering,Diploma,30,190,1981,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Information Technology (IT),Diploma,10,190,1981,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Computer Science Engineering (CSE),Diploma,30,190,1981,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Mechanical Engineering,Diploma,30,190,1981,Urban,Yes,Yes
1-44753612245,1-44753612245,U-0072,SHILLONG GOVERNMENT COLLEGE OF ENGINEERING,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"SHILLONG GOVERNMENT COLLEGE OF ENGINEERING, MAWLAI KYNTON MASSAR, EAST KHASI HILLS, SHILLONG, MEGHALAYA 793022",793022,25.478552,91.366373,Government,"North Eastern Hill University, Shillong",Approved,Approved,A,No,,Tier 2,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-323-3793,Civil Engineering,B.Tech,30,60,1985,Urban,Yes,Yes
