College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Civil Engineering,Diploma,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Mechanical Engineering,Diploma,240,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Computer Science Engineering (CSE),Diploma,240,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Electrical Engineering,Diploma,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Other Engineering Branches,Diploma,180,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Civil Engineering,B.Tech,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Computer Science Engineering (CSE),B.Tech,240,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Mechanical Engineering,B.Tech,120,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Electronics & Communication Engineering (ECE),B.Tech,120,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Mining Engineering,B.Tech,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Electrical & Electronics Engineering (EEE),B.Tech,120,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Computer Science Engineering (CSE),M.Tech,90,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Mechanical Engineering,M.Tech,90,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Other Engineering Branches,M.Tech,150,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Civil Engineering,M.Tech,90,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Electronics & Communication Engineering (ECE),M.Tech,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Mining Engineering,M.Tech,30,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Other Engineering Branches,B.Tech,60,2250,1985,Urban,Yes,No
1-44637340252,1-44637340252,U-0992,NETAJI SUBHAS UNIVERSITY,Active,Jharkhand,East Singhabhum,East Singhabhum,"POKHARI, NEAR BHILAI PAHADI",834204,23.625523,85.293835,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.netajisubhas.ac.in,info@netajisubhas.ac.in,admissions@netajisubhas.ac.in,placement@netajisubhas.ac.in,+91-80-481-5449,Electrical & Electronics Engineering (EEE),Diploma,60,2250,1985,Urban,Yes,No
