College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638496328,1-44638496328,U-0561,SCHOOL OF OCEAN ENGINEERING AND UNDERWATER TECHNOLOGY,Active,Kerala,Ernakulam,Ernakulam,"KERALA UNIVERSITY OF FISHERIES AND OCEAN STUDIES CAMPUS, PANANGAD P.O,",682234,9.973136,76.283623,State Government University,KERALA UNIVERSITY OF FISHERIES AND OCEANSTUDIES,Approved,Approved,A,No,,Tier 3,http://www.schooloceanunderwater.ac.in,info@schooloceanunderwater.ac.in,admissions@schooloceanunderwater.ac.in,placement@schooloceanunderwater.ac.in,+91-80-483-8679,Other Engineering Branches,B.Tech,60,90,2000,Urban,Yes,Yes
1-44638496328,1-44638496328,U-0561,SCHOOL OF OCEAN ENGINEERING AND UNDERWATER TECHNOLOGY,Active,Kerala,Ernakulam,Ernakulam,"KERALA UNIVERSITY OF FISHERIES AND OCEAN STUDIES CAMPUS, PANANGAD P.O,",682234,9.973136,76.283623,State Government University,KERALA UNIVERSITY OF FISHERIES AND OCEANSTUDIES,Approved,Approved,A,No,,Tier 3,http://www.schooloceanunderwater.ac.in,info@schooloceanunderwater.ac.in,admissions@schooloceanunderwater.ac.in,placement@schooloceanunderwater.ac.in,+91-80-483-8679,Other Engineering Branches,M.Tech,30,90,2000,Urban,Yes,Yes
1-44638369691,1-44638369691,U-0992,DEPARTMENT OF STATISTICS COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,Active,Kerala,Ernakulam,Ernakulam,COCHIN UNIVERSITY P O KALAMASSERY,682234,9.969912,76.310982,State Government University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.departmentstatisticscochin.ac.in,info@departmentstatisticscochin.ac.in,admissions@departmentstatisticscochin.ac.in,placement@departmentstatisticscochin.ac.in,+91-80-348-6406,Data Science,M.Tech,18,18,2014,Urban,No,Yes
1-44638182873,1-44638182873,U-0992,AMRITA VISHWA VIDYAPEETHAM. KOCHI CAMPUS,Active,Kerala,Ernakulam,Ernakulam,"AMRITA VISHWA VIDYAPEETHAM, AIMS PONEKKARA PO KOCHI 682041 KERALA",682041,9.976059,76.293754,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-606-4472,Other Engineering Branches,M.Tech,48,66,1998,Urban,Yes,Yes
1-44638182873,1-44638182873,U-0992,AMRITA VISHWA VIDYAPEETHAM. KOCHI CAMPUS,Active,Kerala,Ernakulam,Ernakulam,"AMRITA VISHWA VIDYAPEETHAM, AIMS PONEKKARA PO KOCHI 682041 KERALA",682041,9.976059,76.293754,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-606-4472,Biotechnology,M.Tech,18,66,1998,Urban,Yes,Yes
1-44638629196,1-44638629196,U-0339,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY,Active,Kerala,Ernakulam,Ernakulam,"HIL COLONY, EDAYAAR ROAD, PATHALAM, UDYOGAMANDAL P.O., ELOOR, ERNAKULAM",682234,9.976217,76.296279,Government,NONE,Approved,Approved,A+,Yes,,Tier 2,http://www.petrochemicals.ac.in,info@petrochemicals.ac.in,admissions@petrochemicals.ac.in,placement@petrochemicals.ac.in,+91-80-613-0792,Other Engineering Branches,Diploma,120,120,2014,Urban,Yes,Yes
1-44638630954,1-44638630954,U-0672,CHRIST KNOWLEDGE CITY,Active,Kerala,Ernakulam,Ernakulam,"CHRIST NAGAR,KUZHOOR,AIRAPURAM POST",682234,9.965182,76.297532,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.christknowledgecity.ac.in,info@christknowledgecity.ac.in,admissions@christknowledgecity.ac.in,placement@christknowledgecity.ac.in,+91-80-150-2576,Civil Engineering,B.Tech,30,204,2002,Urban,No,Yes
1-44638630954,1-44638630954,U-0672,CHRIST KNOWLEDGE CITY,Active,Kerala,Ernakulam,Ernakulam,"CHRIST NAGAR,KUZHOOR,AIRAPURAM POST",682234,9.965182,76.297532,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.christknowledgecity.ac.in,info@christknowledgecity.ac.in,admissions@christknowledgecity.ac.in,placement@christknowledgecity.ac.in,+91-80-150-2576,Electronics & Communication Engineering (ECE),B.Tech,21,204,2002,Urban,No,Yes
1-44638630954,1-44638630954,U-0672,CHRIST KNOWLEDGE CITY,Active,Kerala,Ernakulam,Ernakulam,"CHRIST NAGAR,KUZHOOR,AIRAPURAM POST",682234,9.965182,76.297532,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.christknowledgecity.ac.in,info@christknowledgecity.ac.in,admissions@christknowledgecity.ac.in,placement@christknowledgecity.ac.in,+91-80-150-2576,Computer Science Engineering (CSE),B.Tech,30,204,2002,Urban,No,Yes
1-44638630954,1-44638630954,U-0672,CHRIST KNOWLEDGE CITY,Active,Kerala,Ernakulam,Ernakulam,"CHRIST NAGAR,KUZHOOR,AIRAPURAM POST",682234,9.965182,76.297532,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.christknowledgecity.ac.in,info@christknowledgecity.ac.in,admissions@christknowledgecity.ac.in,placement@christknowledgecity.ac.in,+91-80-150-2576,Mechanical Engineering,B.Tech,21,204,2002,Urban,No,Yes
