College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Civil Engineering,Diploma,60,420,2005,Rural,Yes,Yes
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Mechanical Engineering,Diploma,120,420,2005,Rural,Yes,Yes
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Electrical & Electronics Engineering (EEE),Diploma,60,420,2005,Rural,Yes,Yes
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Electronics & Communication Engineering (ECE),Diploma,60,420,2005,Rural,Yes,Yes
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Computer Science Engineering (CSE),Diploma,60,420,2005,Rural,Yes,Yes
1-44639398138,1-44639398138,U-0458,BHAVANI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"VARADHANALLUR(P.O),BHAVANI(T.K),ERODE(D.T)",600517,11.35778,77.723108,Private-Self Financing,"Directorate of Training and Technical Education, New Delhi",Approved,Approved,B+,No,,Tier 3,http://www.bhavani.ac.in,info@bhavani.ac.in,admissions@bhavani.ac.in,placement@bhavani.ac.in,+91-80-542-6469,Automobile Engineering,Diploma,60,420,2005,Rural,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Civil Engineering,B.Tech,60,360,2001,Urban,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Mechanical Engineering,B.Tech,60,360,2001,Urban,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Electrical & Electronics Engineering (EEE),B.Tech,60,360,2001,Urban,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Electronics & Communication Engineering (ECE),B.Tech,60,360,2001,Urban,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Computer Science Engineering (CSE),B.Tech,60,360,2001,Urban,Yes,Yes
1-44638876149,1-44638876149,U-0682,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Erode,Erode,"ERRATTAIKARAD, PARUVACHI(PO), ANTHIYUR BHAVANI(TK), ERODE(DT)",600517,11.324566,77.720371,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.aishwarya.ac.in,info@aishwarya.ac.in,admissions@aishwarya.ac.in,placement@aishwarya.ac.in,+91-80-149-5956,Data Science,B.Tech,60,360,2001,Urban,Yes,Yes
1-44639437584,1-44639437584,U-0294,ANNAI J.K.K.SAMPOORANI AMMAL POLYTECHNIC COLLEGE,Active,Tamil Nadu,Erode,Erode,"THOOKKANAICKENPALAYAM POST, GOBICHETTIPALAYAM TALUK.",600517,11.335596,77.699764,Private-Self Financing,Directorate of Technical Education,Approved,Approved,B,Yes,,Tier 3,http://www.annaijkksampooraniammal.ac.in,info@annaijkksampooraniammal.ac.in,admissions@annaijkksampooraniammal.ac.in,placement@annaijkksampooraniammal.ac.in,+91-80-612-1744,Automobile Engineering,Diploma,60,690,2012,Urban,No,Yes
