College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639419203,1-44639419203,U-0449,URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Active,Uttar Pradesh,Faizabad,Faizabad,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",201347,26.855269,80.951003,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.urmilamanagement.ac.in,info@urmilamanagement.ac.in,admissions@urmilamanagement.ac.in,placement@urmilamanagement.ac.in,+91-80-198-2750,Civil Engineering,Diploma,180,540,1981,Rural,No,Yes
1-44639419203,1-44639419203,U-0449,URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Active,Uttar Pradesh,Faizabad,Faizabad,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",201347,26.855269,80.951003,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.urmilamanagement.ac.in,info@urmilamanagement.ac.in,admissions@urmilamanagement.ac.in,placement@urmilamanagement.ac.in,+91-80-198-2750,Electrical Engineering,Diploma,120,540,1981,Rural,No,Yes
1-44639419203,1-44639419203,U-0449,URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Active,Uttar Pradesh,Faizabad,Faizabad,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",201347,26.855269,80.951003,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.urmilamanagement.ac.in,info@urmilamanagement.ac.in,admissions@urmilamanagement.ac.in,placement@urmilamanagement.ac.in,+91-80-198-2750,Other Engineering Branches,Diploma,60,540,1981,Rural,No,Yes
1-44639419203,1-44639419203,U-0449,URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Active,Uttar Pradesh,Faizabad,Faizabad,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",201347,26.855269,80.951003,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.urmilamanagement.ac.in,info@urmilamanagement.ac.in,admissions@urmilamanagement.ac.in,placement@urmilamanagement.ac.in,+91-80-198-2750,Mechanical Engineering,Diploma,120,540,1981,Rural,No,Yes
1-44639419203,1-44639419203,U-0449,URMILA COLLEGE OF TECHNOLOGY @ MANAGEMENT,Active,Uttar Pradesh,Faizabad,Faizabad,"VILLAGE- POST- KOTSARAI, TAHSIL- SOHAWAL, FAIZABAD",201347,26.855269,80.951003,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.urmilamanagement.ac.in,info@urmilamanagement.ac.in,admissions@urmilamanagement.ac.in,placement@urmilamanagement.ac.in,+91-80-198-2750,Chemical Engineering,Diploma,60,540,1981,Rural,No,Yes
1-44639428702,1-44639428702,U-0449,GOVERNMENT POLYTECHNIC FAIZABAD,Active,Uttar Pradesh,Faizabad,Faizabad,LUCKNOW ROAD MUMTAJ NAGAR,201347,26.837007,80.952024,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.faizabad.ac.in,info@faizabad.ac.in,admissions@faizabad.ac.in,placement@faizabad.ac.in,+91-80-432-2981,Civil Engineering,Diploma,60,180,2003,Rural,Yes,No
1-44639428702,1-44639428702,U-0449,GOVERNMENT POLYTECHNIC FAIZABAD,Active,Uttar Pradesh,Faizabad,Faizabad,LUCKNOW ROAD MUMTAJ NAGAR,201347,26.837007,80.952024,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.faizabad.ac.in,info@faizabad.ac.in,admissions@faizabad.ac.in,placement@faizabad.ac.in,+91-80-432-2981,Mechanical Engineering,Diploma,60,180,2003,Rural,Yes,No
1-44639428702,1-44639428702,U-0449,GOVERNMENT POLYTECHNIC FAIZABAD,Active,Uttar Pradesh,Faizabad,Faizabad,LUCKNOW ROAD MUMTAJ NAGAR,201347,26.837007,80.952024,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.faizabad.ac.in,info@faizabad.ac.in,admissions@faizabad.ac.in,placement@faizabad.ac.in,+91-80-432-2981,Electrical Engineering,Diploma,60,180,2003,Rural,Yes,No
1-44641105039,1-44641105039,U-0449,"ARYIKA GYANMATI GOVERNMENT GIRLS POLYTECHNIC, FAIZABAD",Active,Uttar Pradesh,Faizabad,Faizabad,"BANBEERPUR ROAD, POST - MUMTAZNAGAR, DISTT.- FAIZABAD",201347,26.856501,80.937368,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.aryikagyanmatigirls.ac.in,info@aryikagyanmatigirls.ac.in,admissions@aryikagyanmatigirls.ac.in,placement@aryikagyanmatigirls.ac.in,+91-80-249-9527,Other Engineering Branches,Diploma,60,120,2021,Rural,Yes,Yes
1-44641105039,1-44641105039,U-0449,"ARYIKA GYANMATI GOVERNMENT GIRLS POLYTECHNIC, FAIZABAD",Active,Uttar Pradesh,Faizabad,Faizabad,"BANBEERPUR ROAD, POST - MUMTAZNAGAR, DISTT.- FAIZABAD",201347,26.856501,80.937368,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.aryikagyanmatigirls.ac.in,info@aryikagyanmatigirls.ac.in,admissions@aryikagyanmatigirls.ac.in,placement@aryikagyanmatigirls.ac.in,+91-80-249-9527,Information Technology (IT),Diploma,60,120,2021,Rural,Yes,Yes
