College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638122116,1-44638122116,U-0261,GOVERNMENT POLYTECHNIC JAMALPUR SHEKHON,Active,Haryana,Fatehabad,Fatehabad,VPO JAMALPUR SHEKHON,120093,29.043647,76.068756,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.jamalpurshekhon.ac.in,info@jamalpurshekhon.ac.in,admissions@jamalpurshekhon.ac.in,placement@jamalpurshekhon.ac.in,+91-80-203-3172,Civil Engineering,Diploma,60,300,2003,Urban,Yes,Yes
1-44638122116,1-44638122116,U-0261,GOVERNMENT POLYTECHNIC JAMALPUR SHEKHON,Active,Haryana,Fatehabad,Fatehabad,VPO JAMALPUR SHEKHON,120093,29.043647,76.068756,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.jamalpurshekhon.ac.in,info@jamalpurshekhon.ac.in,admissions@jamalpurshekhon.ac.in,placement@jamalpurshekhon.ac.in,+91-80-203-3172,Electrical Engineering,Diploma,60,300,2003,Urban,Yes,Yes
1-44638122116,1-44638122116,U-0261,GOVERNMENT POLYTECHNIC JAMALPUR SHEKHON,Active,Haryana,Fatehabad,Fatehabad,VPO JAMALPUR SHEKHON,120093,29.043647,76.068756,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.jamalpurshekhon.ac.in,info@jamalpurshekhon.ac.in,admissions@jamalpurshekhon.ac.in,placement@jamalpurshekhon.ac.in,+91-80-203-3172,Mechanical Engineering,Diploma,60,300,2003,Urban,Yes,Yes
1-44638122116,1-44638122116,U-0261,GOVERNMENT POLYTECHNIC JAMALPUR SHEKHON,Active,Haryana,Fatehabad,Fatehabad,VPO JAMALPUR SHEKHON,120093,29.043647,76.068756,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.jamalpurshekhon.ac.in,info@jamalpurshekhon.ac.in,admissions@jamalpurshekhon.ac.in,placement@jamalpurshekhon.ac.in,+91-80-203-3172,Other Engineering Branches,Diploma,120,300,2003,Urban,Yes,Yes
1-44638812908,1-44638812908,U-0294,GOVERNMENT POLYTECHNIC DHANGAR,Active,Haryana,Fatehabad,Fatehabad,GOVERNMENT POLYTECHNIC DHANGAR FATEHABAD HARYANA,120093,29.072501,76.072841,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.dhangar.ac.in,info@dhangar.ac.in,admissions@dhangar.ac.in,placement@dhangar.ac.in,+91-80-413-5086,Civil Engineering,Diploma,60,300,1990,Urban,Yes,Yes
1-44638812908,1-44638812908,U-0294,GOVERNMENT POLYTECHNIC DHANGAR,Active,Haryana,Fatehabad,Fatehabad,GOVERNMENT POLYTECHNIC DHANGAR FATEHABAD HARYANA,120093,29.072501,76.072841,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.dhangar.ac.in,info@dhangar.ac.in,admissions@dhangar.ac.in,placement@dhangar.ac.in,+91-80-413-5086,Electrical Engineering,Diploma,60,300,1990,Urban,Yes,Yes
1-44638812908,1-44638812908,U-0294,GOVERNMENT POLYTECHNIC DHANGAR,Active,Haryana,Fatehabad,Fatehabad,GOVERNMENT POLYTECHNIC DHANGAR FATEHABAD HARYANA,120093,29.072501,76.072841,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.dhangar.ac.in,info@dhangar.ac.in,admissions@dhangar.ac.in,placement@dhangar.ac.in,+91-80-413-5086,Computer Science Engineering (CSE),Diploma,60,300,1990,Urban,Yes,Yes
1-44638812908,1-44638812908,U-0294,GOVERNMENT POLYTECHNIC DHANGAR,Active,Haryana,Fatehabad,Fatehabad,GOVERNMENT POLYTECHNIC DHANGAR FATEHABAD HARYANA,120093,29.072501,76.072841,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.dhangar.ac.in,info@dhangar.ac.in,admissions@dhangar.ac.in,placement@dhangar.ac.in,+91-80-413-5086,Mechanical Engineering,Diploma,60,300,1990,Urban,Yes,Yes
1-44638812908,1-44638812908,U-0294,GOVERNMENT POLYTECHNIC DHANGAR,Active,Haryana,Fatehabad,Fatehabad,GOVERNMENT POLYTECHNIC DHANGAR FATEHABAD HARYANA,120093,29.072501,76.072841,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.dhangar.ac.in,info@dhangar.ac.in,admissions@dhangar.ac.in,placement@dhangar.ac.in,+91-80-413-5086,Other Engineering Branches,Diploma,60,300,1990,Urban,Yes,Yes
1-44640161944,1-44640161944,U-0294,TIRUPATI COLLEGE OF POLYTECHNIC AND PHARMACY,Active,Haryana,Fatehabad,Fatehabad,"RATIA - SARDULGARH ROAD,  NEAR GOVT. K. T. COLLEGE",120093,29.040613,76.067423,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.tirupatipharmacy.ac.in,info@tirupatipharmacy.ac.in,admissions@tirupatipharmacy.ac.in,placement@tirupatipharmacy.ac.in,+91-80-076-0587,Civil Engineering,Diploma,60,120,1993,Urban,Yes,Yes
