College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639570571,1-44639570571,U-0150,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,140055,31.13448,75.358952,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-309-5537,Electronics & Communication Engineering (ECE),Diploma,30,270,2004,Rural,Yes,Yes
1-44639570571,1-44639570571,U-0150,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,140055,31.13448,75.358952,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-309-5537,Civil Engineering,Diploma,60,270,2004,Rural,Yes,Yes
1-44639570571,1-44639570571,U-0150,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,140055,31.13448,75.358952,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-309-5537,Computer Science Engineering (CSE),Diploma,60,270,2004,Rural,Yes,Yes
1-44639570571,1-44639570571,U-0150,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,140055,31.13448,75.358952,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-309-5537,Mechanical Engineering,Diploma,60,270,2004,Rural,Yes,Yes
1-44639570571,1-44639570571,U-0150,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,BABA BANDA SINGH BAHADUR POLYTECHNIC COLLEGE,140055,31.13448,75.358952,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-309-5537,Automobile Engineering,Diploma,60,270,2004,Rural,Yes,Yes
1-44641490876,1-44641490876,U-0150,SHRI GURU HARGOBIND SAHIB GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"VPO RANWAN CHANDIGARH LUDHIANA HIGHWAY,",140055,31.150896,75.342069,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.shriguruhargobind.ac.in,info@shriguruhargobind.ac.in,admissions@shriguruhargobind.ac.in,placement@shriguruhargobind.ac.in,+91-80-998-0805,Electronics & Communication Engineering (ECE),Diploma,60,180,2008,Rural,Yes,Yes
1-44641490876,1-44641490876,U-0150,SHRI GURU HARGOBIND SAHIB GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"VPO RANWAN CHANDIGARH LUDHIANA HIGHWAY,",140055,31.150896,75.342069,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.shriguruhargobind.ac.in,info@shriguruhargobind.ac.in,admissions@shriguruhargobind.ac.in,placement@shriguruhargobind.ac.in,+91-80-998-0805,Mechanical Engineering,Diploma,60,180,2008,Rural,Yes,Yes
1-44641490876,1-44641490876,U-0150,SHRI GURU HARGOBIND SAHIB GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"VPO RANWAN CHANDIGARH LUDHIANA HIGHWAY,",140055,31.150896,75.342069,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.shriguruhargobind.ac.in,info@shriguruhargobind.ac.in,admissions@shriguruhargobind.ac.in,placement@shriguruhargobind.ac.in,+91-80-998-0805,Electrical Engineering,Diploma,30,180,2008,Rural,Yes,Yes
1-44641490876,1-44641490876,U-0150,SHRI GURU HARGOBIND SAHIB GOVT. POLYTECHNIC COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"VPO RANWAN CHANDIGARH LUDHIANA HIGHWAY,",140055,31.150896,75.342069,Government,Punjab State Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.shriguruhargobind.ac.in,info@shriguruhargobind.ac.in,admissions@shriguruhargobind.ac.in,placement@shriguruhargobind.ac.in,+91-80-998-0805,Computer Science Engineering (CSE),Diploma,30,180,2008,Rural,Yes,Yes
1-44642065319,1-44642065319,U-0126,BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"FATEHGARH SAHIB-140407, PUNJAB",140407,31.138426,75.360038,Private-Self Financing,"I.K Gujral Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-475-0840,Electronics & Communication Engineering (ECE),B.Tech,60,612,2021,Rural,Yes,Yes
1-44642065319,1-44642065319,U-0126,BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"FATEHGARH SAHIB-140407, PUNJAB",140407,31.138426,75.360038,Private-Self Financing,"I.K Gujral Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-475-0840,Electrical Engineering,B.Tech,60,612,2021,Rural,Yes,Yes
1-44642065319,1-44642065319,U-0126,BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"FATEHGARH SAHIB-140407, PUNJAB",140407,31.138426,75.360038,Private-Self Financing,"I.K Gujral Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-475-0840,Civil Engineering,B.Tech,60,612,2021,Rural,Yes,Yes
1-44642065319,1-44642065319,U-0126,BABA BANDA SINGH BAHADUR ENGINEERING COLLEGE,Active,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,"FATEHGARH SAHIB-140407, PUNJAB",140407,31.138426,75.360038,Private-Self Financing,"I.K Gujral Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.bababandasingh.ac.in,info@bababandasingh.ac.in,admissions@bababandasingh.ac.in,placement@bababandasingh.ac.in,+91-80-475-0840,Mechanical Engineering,M.Tech,18,612,2021,Rural,Yes,Yes
