College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638436790,1-44638436790,U-0449,AMARDEEP POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Firozabad,Firozabad,"VILL-KAKRAU, JALESAR ROAD, POST- FIROZABAD",201648,26.862393,80.948316,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.amardeep.ac.in,info@amardeep.ac.in,admissions@amardeep.ac.in,placement@amardeep.ac.in,+91-80-497-0509,Civil Engineering,Diploma,60,300,2022,Urban,No,Yes
1-44638436790,1-44638436790,U-0449,AMARDEEP POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Firozabad,Firozabad,"VILL-KAKRAU, JALESAR ROAD, POST- FIROZABAD",201648,26.862393,80.948316,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.amardeep.ac.in,info@amardeep.ac.in,admissions@amardeep.ac.in,placement@amardeep.ac.in,+91-80-497-0509,Electrical Engineering,Diploma,60,300,2022,Urban,No,Yes
1-44638436790,1-44638436790,U-0449,AMARDEEP POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Firozabad,Firozabad,"VILL-KAKRAU, JALESAR ROAD, POST- FIROZABAD",201648,26.862393,80.948316,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.amardeep.ac.in,info@amardeep.ac.in,admissions@amardeep.ac.in,placement@amardeep.ac.in,+91-80-497-0509,Mechanical Engineering,Diploma,180,300,2022,Urban,No,Yes
1-44639671382,1-44639671382,U-0449,RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Active,Uttar Pradesh,Firozabad,Firozabad,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",201648,26.866439,80.930397,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.ramsinghenggtechnology.ac.in,info@ramsinghenggtechnology.ac.in,admissions@ramsinghenggtechnology.ac.in,placement@ramsinghenggtechnology.ac.in,+91-80-666-7674,Mechanical Engineering,Diploma,60,285,2007,Rural,No,No
1-44639671382,1-44639671382,U-0449,RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Active,Uttar Pradesh,Firozabad,Firozabad,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",201648,26.866439,80.930397,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.ramsinghenggtechnology.ac.in,info@ramsinghenggtechnology.ac.in,admissions@ramsinghenggtechnology.ac.in,placement@ramsinghenggtechnology.ac.in,+91-80-666-7674,Electrical Engineering,Diploma,60,285,2007,Rural,No,No
1-44639671382,1-44639671382,U-0449,RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Active,Uttar Pradesh,Firozabad,Firozabad,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",201648,26.866439,80.930397,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.ramsinghenggtechnology.ac.in,info@ramsinghenggtechnology.ac.in,admissions@ramsinghenggtechnology.ac.in,placement@ramsinghenggtechnology.ac.in,+91-80-666-7674,Other Engineering Branches,Diploma,90,285,2007,Rural,No,No
1-44639671382,1-44639671382,U-0449,RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Active,Uttar Pradesh,Firozabad,Firozabad,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",201648,26.866439,80.930397,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.ramsinghenggtechnology.ac.in,info@ramsinghenggtechnology.ac.in,admissions@ramsinghenggtechnology.ac.in,placement@ramsinghenggtechnology.ac.in,+91-80-666-7674,Civil Engineering,Diploma,60,285,2007,Rural,No,No
1-44639671382,1-44639671382,U-0449,RAM SINGH COLLEGE OF ENGG.&TECHNOLOGY,Active,Uttar Pradesh,Firozabad,Firozabad,"NAGLA SIKANDAR TUNDLA,ETAH ROAD  FIROZABAD",201648,26.866439,80.930397,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.ramsinghenggtechnology.ac.in,info@ramsinghenggtechnology.ac.in,admissions@ramsinghenggtechnology.ac.in,placement@ramsinghenggtechnology.ac.in,+91-80-666-7674,Chemical Engineering,Diploma,15,285,2007,Rural,No,No
1-44639674857,1-44639674857,U-0449,"GOVERNMENT POLYTECHNIC, FIROZABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"NEAR STADIUM, JALESAR ROAD , FIROZABAD",201648,26.841822,80.938975,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.firozabad.ac.in,info@firozabad.ac.in,admissions@firozabad.ac.in,placement@firozabad.ac.in,+91-80-634-2737,Other Engineering Branches,Diploma,60,180,1980,Urban,Yes,Yes
1-44639674857,1-44639674857,U-0449,"GOVERNMENT POLYTECHNIC, FIROZABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"NEAR STADIUM, JALESAR ROAD , FIROZABAD",201648,26.841822,80.938975,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.firozabad.ac.in,info@firozabad.ac.in,admissions@firozabad.ac.in,placement@firozabad.ac.in,+91-80-634-2737,Mechanical Engineering,Diploma,60,180,1980,Urban,Yes,Yes
1-44639674857,1-44639674857,U-0449,"GOVERNMENT POLYTECHNIC, FIROZABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"NEAR STADIUM, JALESAR ROAD , FIROZABAD",201648,26.841822,80.938975,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.firozabad.ac.in,info@firozabad.ac.in,admissions@firozabad.ac.in,placement@firozabad.ac.in,+91-80-634-2737,Chemical Engineering,Diploma,60,180,1980,Urban,Yes,Yes
1-44640344398,1-44640344398,U-0449,GOVT POLYTECHNIC  TUNDLA,Active,Uttar Pradesh,Firozabad,Firozabad,"PAHARIPUR BHONDELA,TUNDLA",201648,26.850771,80.959106,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govttundla.ac.in,info@govttundla.ac.in,admissions@govttundla.ac.in,placement@govttundla.ac.in,+91-80-009-6338,Mechanical Engineering,Diploma,60,180,1993,Urban,Yes,No
1-44640344398,1-44640344398,U-0449,GOVT POLYTECHNIC  TUNDLA,Active,Uttar Pradesh,Firozabad,Firozabad,"PAHARIPUR BHONDELA,TUNDLA",201648,26.850771,80.959106,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govttundla.ac.in,info@govttundla.ac.in,admissions@govttundla.ac.in,placement@govttundla.ac.in,+91-80-009-6338,Civil Engineering,Diploma,60,180,1993,Urban,Yes,No
1-44640344398,1-44640344398,U-0449,GOVT POLYTECHNIC  TUNDLA,Active,Uttar Pradesh,Firozabad,Firozabad,"PAHARIPUR BHONDELA,TUNDLA",201648,26.850771,80.959106,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.govttundla.ac.in,info@govttundla.ac.in,admissions@govttundla.ac.in,placement@govttundla.ac.in,+91-80-009-6338,Other Engineering Branches,Diploma,60,180,1993,Urban,Yes,No
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Civil Engineering,B.Tech,60,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Computer Science Engineering (CSE),B.Tech,60,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Information Technology (IT),B.Tech,30,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Mechanical Engineering,B.Tech,60,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Electronics & Communication Engineering (ECE),B.Tech,30,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Electrical & Electronics Engineering (EEE),B.Tech,30,534,1985,Urban,No,Yes
1-44642249752,1-44642249752,U-0992,"J.S. UNIVERSITY, SHIKOHABAD",Active,Uttar Pradesh,Firozabad,Firozabad,"5 KM, MAINPURI ROAD, SHIKOHABAD, DISTT.- FIROZABAD, UP",201648,26.851525,80.945835,State Private University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.jsshikohabad.ac.in,info@jsshikohabad.ac.in,admissions@jsshikohabad.ac.in,placement@jsshikohabad.ac.in,+91-80-041-2157,Mechanical Engineering,Diploma,60,534,1985,Urban,No,Yes
