College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Other Engineering Branches,B.Tech,30,252,1990,Urban,No,No
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Electronics & Communication Engineering (ECE),B.Tech,30,252,1990,Urban,No,No
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Civil Engineering,B.Tech,54,252,1990,Urban,No,No
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Mechanical Engineering,B.Tech,30,252,1990,Urban,No,No
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Other Engineering Branches,Diploma,54,252,1990,Urban,No,No
1-44638728875,1-44638728875,U-0287,GHUBAYA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Firozpur,Firozpur," VILLAGE - SUKHERA BODLA, P.O. LAMOCHAR KALAN, TEH. JALALABAD(WEST)",140058,31.135176,75.359504,Private-Self Financing,"Maharaja Ranjit Singh Punjab Technical University, Bathinda",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ghubaya.ac.in,info@ghubaya.ac.in,admissions@ghubaya.ac.in,placement@ghubaya.ac.in,+91-80-338-7637,Mechanical Engineering,Diploma,54,252,1990,Urban,No,No
1-44639555383,1-44639555383,U-0150,BANKEY BIHARI POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"V.P.O-ALAMGARH, SRI GANGANAGAR ROAD. TEHSIL-ABOHAR",140058,31.132573,75.352009,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bankeybihari.ac.in,info@bankeybihari.ac.in,admissions@bankeybihari.ac.in,placement@bankeybihari.ac.in,+91-80-229-5749,Civil Engineering,Diploma,60,180,1981,Rural,Yes,Yes
1-44639555383,1-44639555383,U-0150,BANKEY BIHARI POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"V.P.O-ALAMGARH, SRI GANGANAGAR ROAD. TEHSIL-ABOHAR",140058,31.132573,75.352009,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bankeybihari.ac.in,info@bankeybihari.ac.in,admissions@bankeybihari.ac.in,placement@bankeybihari.ac.in,+91-80-229-5749,Mechanical Engineering,Diploma,60,180,1981,Rural,Yes,Yes
1-44639555383,1-44639555383,U-0150,BANKEY BIHARI POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"V.P.O-ALAMGARH, SRI GANGANAGAR ROAD. TEHSIL-ABOHAR",140058,31.132573,75.352009,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.bankeybihari.ac.in,info@bankeybihari.ac.in,admissions@bankeybihari.ac.in,placement@bankeybihari.ac.in,+91-80-229-5749,Electrical Engineering,Diploma,60,180,1981,Rural,Yes,Yes
1-44640380837,1-44640380837,U-0150,MAHARAJA AGGARSAIN INSTITUTE OF TECHNOLOGY,Active,Punjab,Firozpur,Firozpur,"VPO ALAMGARH,",140058,31.147915,75.351005,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.maharajaaggarsain.ac.in,info@maharajaaggarsain.ac.in,admissions@maharajaaggarsain.ac.in,placement@maharajaaggarsain.ac.in,+91-80-873-0302,Electrical Engineering,Diploma,60,240,2004,Urban,Yes,Yes
1-44640380837,1-44640380837,U-0150,MAHARAJA AGGARSAIN INSTITUTE OF TECHNOLOGY,Active,Punjab,Firozpur,Firozpur,"VPO ALAMGARH,",140058,31.147915,75.351005,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.maharajaaggarsain.ac.in,info@maharajaaggarsain.ac.in,admissions@maharajaaggarsain.ac.in,placement@maharajaaggarsain.ac.in,+91-80-873-0302,Civil Engineering,Diploma,60,240,2004,Urban,Yes,Yes
1-44640380837,1-44640380837,U-0150,MAHARAJA AGGARSAIN INSTITUTE OF TECHNOLOGY,Active,Punjab,Firozpur,Firozpur,"VPO ALAMGARH,",140058,31.147915,75.351005,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.maharajaaggarsain.ac.in,info@maharajaaggarsain.ac.in,admissions@maharajaaggarsain.ac.in,placement@maharajaaggarsain.ac.in,+91-80-873-0302,Mechanical Engineering,Diploma,60,240,2004,Urban,Yes,Yes
1-44640380837,1-44640380837,U-0150,MAHARAJA AGGARSAIN INSTITUTE OF TECHNOLOGY,Active,Punjab,Firozpur,Firozpur,"VPO ALAMGARH,",140058,31.147915,75.351005,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.maharajaaggarsain.ac.in,info@maharajaaggarsain.ac.in,admissions@maharajaaggarsain.ac.in,placement@maharajaaggarsain.ac.in,+91-80-873-0302,Electronics & Communication Engineering (ECE),Diploma,60,240,2004,Urban,Yes,Yes
1-44640187417,1-44640187417,U-0150,SAINT KABIR POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,FEROZEPUR ROAD,140058,31.14317,75.36013,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.saintkabir.ac.in,info@saintkabir.ac.in,admissions@saintkabir.ac.in,placement@saintkabir.ac.in,+91-80-674-0473,Electronics & Communication Engineering (ECE),Diploma,90,360,1991,Rural,Yes,Yes
1-44640187417,1-44640187417,U-0150,SAINT KABIR POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,FEROZEPUR ROAD,140058,31.14317,75.36013,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.saintkabir.ac.in,info@saintkabir.ac.in,admissions@saintkabir.ac.in,placement@saintkabir.ac.in,+91-80-674-0473,Computer Science Engineering (CSE),Diploma,90,360,1991,Rural,Yes,Yes
1-44640187417,1-44640187417,U-0150,SAINT KABIR POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,FEROZEPUR ROAD,140058,31.14317,75.36013,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.saintkabir.ac.in,info@saintkabir.ac.in,admissions@saintkabir.ac.in,placement@saintkabir.ac.in,+91-80-674-0473,Mechanical Engineering,Diploma,60,360,1991,Rural,Yes,Yes
1-44640187417,1-44640187417,U-0150,SAINT KABIR POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,FEROZEPUR ROAD,140058,31.14317,75.36013,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B+,No,,Tier 3,http://www.saintkabir.ac.in,info@saintkabir.ac.in,admissions@saintkabir.ac.in,placement@saintkabir.ac.in,+91-80-674-0473,Electrical Engineering,Diploma,120,360,1991,Rural,Yes,Yes
1-44640270807,1-44640270807,U-0150,GOVT POLYTECHNIC COLLEGE FEROZEPUR,Active,Punjab,Firozpur,Firozpur,DULCHI KE ROAD,140058,31.150213,75.357957,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtferozepur.ac.in,info@govtferozepur.ac.in,admissions@govtferozepur.ac.in,placement@govtferozepur.ac.in,+91-80-969-4443,Mechanical Engineering,Diploma,60,150,1981,Urban,Yes,Yes
1-44640270807,1-44640270807,U-0150,GOVT POLYTECHNIC COLLEGE FEROZEPUR,Active,Punjab,Firozpur,Firozpur,DULCHI KE ROAD,140058,31.150213,75.357957,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtferozepur.ac.in,info@govtferozepur.ac.in,admissions@govtferozepur.ac.in,placement@govtferozepur.ac.in,+91-80-969-4443,Computer Science Engineering (CSE),Diploma,30,150,1981,Urban,Yes,Yes
1-44640270807,1-44640270807,U-0150,GOVT POLYTECHNIC COLLEGE FEROZEPUR,Active,Punjab,Firozpur,Firozpur,DULCHI KE ROAD,140058,31.150213,75.357957,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtferozepur.ac.in,info@govtferozepur.ac.in,admissions@govtferozepur.ac.in,placement@govtferozepur.ac.in,+91-80-969-4443,Electronics & Communication Engineering (ECE),Diploma,30,150,1981,Urban,Yes,Yes
1-44640270807,1-44640270807,U-0150,GOVT POLYTECHNIC COLLEGE FEROZEPUR,Active,Punjab,Firozpur,Firozpur,DULCHI KE ROAD,140058,31.150213,75.357957,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.govtferozepur.ac.in,info@govtferozepur.ac.in,admissions@govtferozepur.ac.in,placement@govtferozepur.ac.in,+91-80-969-4443,Electrical Engineering,Diploma,30,150,1981,Urban,Yes,Yes
1-44641239664,1-44641239664,U-0150,ABHISHEK POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"P.O.- KHUIAN SARVAR, VILLAGE - DAULAT PURA, SRI GANGANAGAR ROAD",140058,31.153523,75.349041,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.abhishek.ac.in,info@abhishek.ac.in,admissions@abhishek.ac.in,placement@abhishek.ac.in,+91-80-108-2674,Civil Engineering,Diploma,60,240,2019,Rural,Yes,Yes
1-44641239664,1-44641239664,U-0150,ABHISHEK POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"P.O.- KHUIAN SARVAR, VILLAGE - DAULAT PURA, SRI GANGANAGAR ROAD",140058,31.153523,75.349041,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.abhishek.ac.in,info@abhishek.ac.in,admissions@abhishek.ac.in,placement@abhishek.ac.in,+91-80-108-2674,Electrical Engineering,Diploma,60,240,2019,Rural,Yes,Yes
1-44641239664,1-44641239664,U-0150,ABHISHEK POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"P.O.- KHUIAN SARVAR, VILLAGE - DAULAT PURA, SRI GANGANAGAR ROAD",140058,31.153523,75.349041,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.abhishek.ac.in,info@abhishek.ac.in,admissions@abhishek.ac.in,placement@abhishek.ac.in,+91-80-108-2674,Mechanical Engineering,Diploma,60,240,2019,Rural,Yes,Yes
1-44641239664,1-44641239664,U-0150,ABHISHEK POLYTECHNIC COLLEGE,Active,Punjab,Firozpur,Firozpur,"P.O.- KHUIAN SARVAR, VILLAGE - DAULAT PURA, SRI GANGANAGAR ROAD",140058,31.153523,75.349041,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.abhishek.ac.in,info@abhishek.ac.in,admissions@abhishek.ac.in,placement@abhishek.ac.in,+91-80-108-2674,Computer Science Engineering (CSE),Diploma,60,240,2019,Rural,Yes,Yes
