College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Computer Science Engineering (CSE),M.Tech,24,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Electrical Engineering,Diploma,60,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Electrical Engineering,M.Tech,24,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Computer Science Engineering (CSE),B.Tech,60,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Civil Engineering,B.Tech,30,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Information Technology (IT),B.Tech,60,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Electronics & Communication Engineering (ECE),B.Tech,30,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Mechanical Engineering,B.Tech,30,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Electrical Engineering,B.Tech,30,516,1984,Rural,No,Yes
1-44638298433,1-44638298433,U-0183,SHANKERSINH VAGHELA BAPU TECHNICAL CAMPUS,Active,Gujarat,Gandhinagar,Gandhinagar,GANDHINAGAR MANSA HIGHWAY ROAD NR. RANDHEJA RLY CROSSING,380365,23.229242,72.628745,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,B+,No,,Tier 3,http://www.shankersinhvaghelabapu.ac.in,info@shankersinhvaghelabapu.ac.in,admissions@shankersinhvaghelabapu.ac.in,placement@shankersinhvaghelabapu.ac.in,+91-80-411-0539,Electronics & Communication Engineering (ECE),M.Tech,24,516,1984,Rural,No,Yes
