College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639366885,1-44639366885,U-0072,BHARATINSTITUTEOFENGINEERINGANDTECHNOLOGY(POLYTECHNIC),Active,Odisha,Ganjam,Ganjam,"SIBARAM VIHAR,GHATEKESWARHILLS",751662,20.952422,85.088924,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,No,,Tier 3,http://www.bharatinstituteofengineeringandtechnologypolytechnic.ac.in,info@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,admissions@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,placement@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,+91-80-869-1266,Electrical Engineering,Diploma,60,300,1994,Urban,No,Yes
1-44639366885,1-44639366885,U-0072,BHARATINSTITUTEOFENGINEERINGANDTECHNOLOGY(POLYTECHNIC),Active,Odisha,Ganjam,Ganjam,"SIBARAM VIHAR,GHATEKESWARHILLS",751662,20.952422,85.088924,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,No,,Tier 3,http://www.bharatinstituteofengineeringandtechnologypolytechnic.ac.in,info@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,admissions@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,placement@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,+91-80-869-1266,Electronics & Communication Engineering (ECE),Diploma,60,300,1994,Urban,No,Yes
1-44639366885,1-44639366885,U-0072,BHARATINSTITUTEOFENGINEERINGANDTECHNOLOGY(POLYTECHNIC),Active,Odisha,Ganjam,Ganjam,"SIBARAM VIHAR,GHATEKESWARHILLS",751662,20.952422,85.088924,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,No,,Tier 3,http://www.bharatinstituteofengineeringandtechnologypolytechnic.ac.in,info@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,admissions@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,placement@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,+91-80-869-1266,Civil Engineering,Diploma,60,300,1994,Urban,No,Yes
1-44639366885,1-44639366885,U-0072,BHARATINSTITUTEOFENGINEERINGANDTECHNOLOGY(POLYTECHNIC),Active,Odisha,Ganjam,Ganjam,"SIBARAM VIHAR,GHATEKESWARHILLS",751662,20.952422,85.088924,Private-Self Financing,"Directorate of Technical Education & Training, Odisha",Approved,Approved,B++,No,,Tier 3,http://www.bharatinstituteofengineeringandtechnologypolytechnic.ac.in,info@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,admissions@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,placement@bharatinstituteofengineeringandtechnologypolytechnic.ac.in,+91-80-869-1266,Mechanical Engineering,Diploma,120,300,1994,Urban,No,Yes
1-44639761099,1-44639761099,U-0949,BERHAMPUR SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Ganjam,Ganjam,"AT-RAMACHANDRAPUR, PO- DURA, BERHAMPUR-760010, DIST-GANJAM (ORISSA)",760010,20.969023,85.108903,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,No,,Tier 3,http://www.berhampurschool.ac.in,info@berhampurschool.ac.in,admissions@berhampurschool.ac.in,placement@berhampurschool.ac.in,+91-80-565-4338,Civil Engineering,Diploma,90,330,2017,Rural,Yes,Yes
1-44639761099,1-44639761099,U-0949,BERHAMPUR SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Ganjam,Ganjam,"AT-RAMACHANDRAPUR, PO- DURA, BERHAMPUR-760010, DIST-GANJAM (ORISSA)",760010,20.969023,85.108903,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,No,,Tier 3,http://www.berhampurschool.ac.in,info@berhampurschool.ac.in,admissions@berhampurschool.ac.in,placement@berhampurschool.ac.in,+91-80-565-4338,Electrical Engineering,Diploma,90,330,2017,Rural,Yes,Yes
1-44639761099,1-44639761099,U-0949,BERHAMPUR SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Ganjam,Ganjam,"AT-RAMACHANDRAPUR, PO- DURA, BERHAMPUR-760010, DIST-GANJAM (ORISSA)",760010,20.969023,85.108903,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,No,,Tier 3,http://www.berhampurschool.ac.in,info@berhampurschool.ac.in,admissions@berhampurschool.ac.in,placement@berhampurschool.ac.in,+91-80-565-4338,Electronics & Communication Engineering (ECE),Diploma,30,330,2017,Rural,Yes,Yes
1-44639761099,1-44639761099,U-0949,BERHAMPUR SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Ganjam,Ganjam,"AT-RAMACHANDRAPUR, PO- DURA, BERHAMPUR-760010, DIST-GANJAM (ORISSA)",760010,20.969023,85.108903,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,No,,Tier 3,http://www.berhampurschool.ac.in,info@berhampurschool.ac.in,admissions@berhampurschool.ac.in,placement@berhampurschool.ac.in,+91-80-565-4338,Mechanical Engineering,Diploma,120,330,2017,Rural,Yes,Yes
1-44639765134,1-44639765134,U-0949,AUM SAI INSTITUTE OF TECHNICAL EDUCATION,Active,Odisha,Ganjam,Ganjam,NARAYANAPUR GOPALPUR ROAD,751662,20.944225,85.099835,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.aumsaitechnical.ac.in,info@aumsaitechnical.ac.in,admissions@aumsaitechnical.ac.in,placement@aumsaitechnical.ac.in,+91-80-525-3512,Electrical Engineering,Diploma,120,420,2015,Urban,No,Yes
1-44639765134,1-44639765134,U-0949,AUM SAI INSTITUTE OF TECHNICAL EDUCATION,Active,Odisha,Ganjam,Ganjam,NARAYANAPUR GOPALPUR ROAD,751662,20.944225,85.099835,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,Yes,,Tier 3,http://www.aumsaitechnical.ac.in,info@aumsaitechnical.ac.in,admissions@aumsaitechnical.ac.in,placement@aumsaitechnical.ac.in,+91-80-525-3512,Civil Engineering,Diploma,60,420,2015,Urban,No,Yes
