College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638745820,1-44638745820,U-0871,GARHWA POLYTECHNIC,Active,Jharkhand,Garhwa,Garhwa,"VILL:HASKER,THANA:GARHWA,GARHWA",834048,23.59873,85.26965,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.garhwa.ac.in,info@garhwa.ac.in,admissions@garhwa.ac.in,placement@garhwa.ac.in,+91-80-357-7662,Mechanical Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44638745820,1-44638745820,U-0871,GARHWA POLYTECHNIC,Active,Jharkhand,Garhwa,Garhwa,"VILL:HASKER,THANA:GARHWA,GARHWA",834048,23.59873,85.26965,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.garhwa.ac.in,info@garhwa.ac.in,admissions@garhwa.ac.in,placement@garhwa.ac.in,+91-80-357-7662,Civil Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44638745820,1-44638745820,U-0871,GARHWA POLYTECHNIC,Active,Jharkhand,Garhwa,Garhwa,"VILL:HASKER,THANA:GARHWA,GARHWA",834048,23.59873,85.26965,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.garhwa.ac.in,info@garhwa.ac.in,admissions@garhwa.ac.in,placement@garhwa.ac.in,+91-80-357-7662,Electrical Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44638745820,1-44638745820,U-0871,GARHWA POLYTECHNIC,Active,Jharkhand,Garhwa,Garhwa,"VILL:HASKER,THANA:GARHWA,GARHWA",834048,23.59873,85.26965,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.garhwa.ac.in,info@garhwa.ac.in,admissions@garhwa.ac.in,placement@garhwa.ac.in,+91-80-357-7662,Computer Science Engineering (CSE),Diploma,60,300,1993,Rural,Yes,Yes
1-44638745820,1-44638745820,U-0871,GARHWA POLYTECHNIC,Active,Jharkhand,Garhwa,Garhwa,"VILL:HASKER,THANA:GARHWA,GARHWA",834048,23.59873,85.26965,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,No,,Tier 3,http://www.garhwa.ac.in,info@garhwa.ac.in,admissions@garhwa.ac.in,placement@garhwa.ac.in,+91-80-357-7662,Electronics & Communication Engineering (ECE),Diploma,60,300,1993,Rural,Yes,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Mechanical Engineering,Diploma,60,720,1982,Urban,No,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Civil Engineering,Diploma,60,720,1982,Urban,No,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Electrical Engineering,Diploma,60,720,1982,Urban,No,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Computer Science Engineering (CSE),Diploma,120,720,1982,Urban,No,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Electrical & Electronics Engineering (EEE),Diploma,60,720,1982,Urban,No,Yes
1-44643790847,1-44643790847,U-0359,BABU DINESH SINGH UNIVERSITY,Active,Jharkhand,Garhwa,Garhwa,"FARATHIYA, PO- HOOR",834048,23.605764,85.289525,State Private University,None,Approved,Approved,Not Accredited,No,,Tier 3,http://www.babudineshsingh.ac.in,info@babudineshsingh.ac.in,admissions@babudineshsingh.ac.in,placement@babudineshsingh.ac.in,+91-80-652-7933,Civil Engineering,B.Tech,60,720,1982,Urban,No,Yes
