College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Civil Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Electrical Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Mechanical Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Computer Science Engineering (CSE),Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Other Engineering Branches,Diploma,60,300,1997,Urban,No,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Mechanical Engineering,Diploma,60,240,2008,Rural,Yes,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Electrical Engineering,Diploma,60,240,2008,Rural,Yes,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Computer Science Engineering (CSE),Diploma,120,240,2008,Rural,Yes,Yes
1-44638254847,1-44638254847,U-0164,VISHVESHWARYA GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,20KMS. FROM GHAZIABAD ON GHAZIABAD - BULANDSHAHR MAIN G.T.ROAD,201386,28.551148,77.410752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-495-1934,Mechanical Engineering,B.Tech,60,498,2018,Urban,Yes,Yes
1-44638254847,1-44638254847,U-0164,VISHVESHWARYA GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,20KMS. FROM GHAZIABAD ON GHAZIABAD - BULANDSHAHR MAIN G.T.ROAD,201386,28.551148,77.410752,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-495-1934,Computer Science Engineering (CSE),B.Tech,120,498,2018,Urban,Yes,Yes
