College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Computer Science Engineering (CSE),B.Tech,210,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Electrical Engineering,B.Tech,60,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Electronics & Communication Engineering (ECE),B.Tech,60,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Information Technology (IT),B.Tech,60,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Mechanical Engineering,B.Tech,60,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Computer Science Engineering (CSE),M.Tech,12,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Electrical Engineering,M.Tech,6,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Mechanical Engineering,M.Tech,6,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Electronics & Communication Engineering (ECE),M.Tech,6,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Civil Engineering,B.Tech,60,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Civil Engineering,M.Tech,6,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,726,2011,Urban,Yes,Yes
1-44638181662,1-44638181662,U-0164,IEC GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Gautham Buddha Nagar,Gautham Buddha Nagar,"PLOT NO.-4&11, K.P.-1&3, GREATER NOIDA",201700,26.856827,80.93213,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.iec.ac.in,info@iec.ac.in,admissions@iec.ac.in,placement@iec.ac.in,+91-80-263-5941,Data Science,B.Tech,60,726,2011,Urban,Yes,Yes
