College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Civil Engineering,Diploma,120,300,1984,Urban,Yes,Yes
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Mechanical Engineering,Diploma,120,300,1984,Urban,Yes,Yes
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Electrical Engineering,Diploma,60,300,1984,Urban,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Civil Engineering,B.Tech,60,360,1980,Rural,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Mechanical Engineering,B.Tech,30,360,1980,Rural,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Electrical Engineering,B.Tech,120,360,1980,Rural,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Data Science,B.Tech,60,360,1980,Rural,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Computer Science Engineering (CSE),B.Tech,60,360,1980,Rural,Yes,Yes
1-44638377325,1-44638377325,U-0440,GOVERNMENT ENGINEERING COLLEGE ARWAL,Active,Bihar,Gaya,Gaya,"GOVERNMENT ENGINEERING COLLEGE ARWAL, PATNA AURANGABAD ROAD, AT MEHANDIA MARKET, KOYAL BHUPAT ROAD AT SHIVPUR VILLAGE, PO- USARI, PS- MEHANDIA, BLOCK - KALER, ARWAL, BIHAR-804428",804428,25.106763,85.328053,Government,Bihar Engineering University,Approved,Approved,B,No,,Tier 3,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-286-1151,Robotics,B.Tech,30,360,1980,Rural,Yes,Yes
1-44638172872,1-44638172872,U-0846,GOVERNMENT ENGINEERING COLLEGE JEHANABAD,Active,Bihar,Gaya,Gaya,"AT WALIPUR, PS + POST HULASGANJ JEHANABAD BIHAR 804407",804407,25.086921,85.328107,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.jehanabad.ac.in,info@jehanabad.ac.in,admissions@jehanabad.ac.in,placement@jehanabad.ac.in,+91-80-453-8848,Civil Engineering,B.Tech,120,360,2013,Rural,No,Yes
