College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638511468,1-44638511468,U-0449,LUTAWAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Ghazipur,Ghazipur,"SAKARA, JAITPURA, GHAZIPUR",201616,26.857125,80.927164,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.lutawanmanagement.ac.in,info@lutawanmanagement.ac.in,admissions@lutawanmanagement.ac.in,placement@lutawanmanagement.ac.in,+91-80-276-0838,Civil Engineering,Diploma,120,300,1999,Urban,Yes,Yes
1-44638511468,1-44638511468,U-0449,LUTAWAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Ghazipur,Ghazipur,"SAKARA, JAITPURA, GHAZIPUR",201616,26.857125,80.927164,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.lutawanmanagement.ac.in,info@lutawanmanagement.ac.in,admissions@lutawanmanagement.ac.in,placement@lutawanmanagement.ac.in,+91-80-276-0838,Mechanical Engineering,Diploma,60,300,1999,Urban,Yes,Yes
1-44638511468,1-44638511468,U-0449,LUTAWAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Ghazipur,Ghazipur,"SAKARA, JAITPURA, GHAZIPUR",201616,26.857125,80.927164,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.lutawanmanagement.ac.in,info@lutawanmanagement.ac.in,admissions@lutawanmanagement.ac.in,placement@lutawanmanagement.ac.in,+91-80-276-0838,Electrical Engineering,Diploma,120,300,1999,Urban,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Civil Engineering,Diploma,60,360,1980,Rural,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Automobile Engineering,Diploma,60,360,1980,Rural,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Mechanical Engineering,Diploma,60,360,1980,Rural,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Electrical & Electronics Engineering (EEE),Diploma,60,360,1980,Rural,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Electrical Engineering,Diploma,60,360,1980,Rural,Yes,Yes
1-44638472348,1-44638472348,U-0449,SNSK INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,BHAWARAHA PANDEYPUR RADHE,201616,26.855681,80.937311,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.snsk.ac.in,info@snsk.ac.in,admissions@snsk.ac.in,placement@snsk.ac.in,+91-80-215-5463,Computer Science Engineering (CSE),Diploma,60,360,1980,Rural,Yes,Yes
1-44638205074,1-44638205074,U-0449,KASHINATH INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- NARAYANPUR KAKARAHI, POST- DAULATPUR, GHAZIPUR",201616,26.839779,80.931878,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.kashinath.ac.in,info@kashinath.ac.in,admissions@kashinath.ac.in,placement@kashinath.ac.in,+91-80-548-5604,Mechanical Engineering,Diploma,120,300,1986,Urban,No,Yes
1-44638205074,1-44638205074,U-0449,KASHINATH INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- NARAYANPUR KAKARAHI, POST- DAULATPUR, GHAZIPUR",201616,26.839779,80.931878,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.kashinath.ac.in,info@kashinath.ac.in,admissions@kashinath.ac.in,placement@kashinath.ac.in,+91-80-548-5604,Civil Engineering,Diploma,120,300,1986,Urban,No,Yes
1-44638205074,1-44638205074,U-0449,KASHINATH INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- NARAYANPUR KAKARAHI, POST- DAULATPUR, GHAZIPUR",201616,26.839779,80.931878,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.kashinath.ac.in,info@kashinath.ac.in,admissions@kashinath.ac.in,placement@kashinath.ac.in,+91-80-548-5604,Electrical Engineering,Diploma,60,300,1986,Urban,No,Yes
1-44638112091,1-44638112091,U-0449,THAKUR TEJ BAHADUR SINGH INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- KARAMPUR, POST- KARAMPUR, TEHSIL- SAIDPUR, GHAZIPUR(UP)",201616,26.85405,80.947709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.thakurtejbahadur.ac.in,info@thakurtejbahadur.ac.in,admissions@thakurtejbahadur.ac.in,placement@thakurtejbahadur.ac.in,+91-80-147-1241,Mechanical Engineering,Diploma,120,300,1985,Urban,Yes,Yes
1-44638112091,1-44638112091,U-0449,THAKUR TEJ BAHADUR SINGH INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- KARAMPUR, POST- KARAMPUR, TEHSIL- SAIDPUR, GHAZIPUR(UP)",201616,26.85405,80.947709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.thakurtejbahadur.ac.in,info@thakurtejbahadur.ac.in,admissions@thakurtejbahadur.ac.in,placement@thakurtejbahadur.ac.in,+91-80-147-1241,Civil Engineering,Diploma,60,300,1985,Urban,Yes,Yes
1-44638112091,1-44638112091,U-0449,THAKUR TEJ BAHADUR SINGH INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- KARAMPUR, POST- KARAMPUR, TEHSIL- SAIDPUR, GHAZIPUR(UP)",201616,26.85405,80.947709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.thakurtejbahadur.ac.in,info@thakurtejbahadur.ac.in,admissions@thakurtejbahadur.ac.in,placement@thakurtejbahadur.ac.in,+91-80-147-1241,Electrical Engineering,Diploma,60,300,1985,Urban,Yes,Yes
1-44638112091,1-44638112091,U-0449,THAKUR TEJ BAHADUR SINGH INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE- KARAMPUR, POST- KARAMPUR, TEHSIL- SAIDPUR, GHAZIPUR(UP)",201616,26.85405,80.947709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.thakurtejbahadur.ac.in,info@thakurtejbahadur.ac.in,admissions@thakurtejbahadur.ac.in,placement@thakurtejbahadur.ac.in,+91-80-147-1241,Computer Science Engineering (CSE),Diploma,60,300,1985,Urban,Yes,Yes
1-44638154228,1-44638154228,U-0449,LALSA INSTITUTE OF ENGINEERING & RURAL TECHNOLOGY,Active,Uttar Pradesh,Ghazipur,Ghazipur,"VILLAGE & POST- RAIPUR, TEHSIL- JAKHANIYA, GHAZIPUR(UP)",201616,26.851725,80.944041,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.lalsarural.ac.in,info@lalsarural.ac.in,admissions@lalsarural.ac.in,placement@lalsarural.ac.in,+91-80-049-6114,Mechanical Engineering,Diploma,120,300,2005,Urban,Yes,Yes
