College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638199982,1-44638199982,U-0871,SUBHASH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,VILLAGE-KOIRIDIH DEOGHAR-MADHUPUR ROAD,834508,23.622774,85.268589,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.subhash.ac.in,info@subhash.ac.in,admissions@subhash.ac.in,placement@subhash.ac.in,+91-80-366-2519,Mining Engineering,Diploma,60,360,2004,Urban,Yes,No
1-44638199982,1-44638199982,U-0871,SUBHASH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,VILLAGE-KOIRIDIH DEOGHAR-MADHUPUR ROAD,834508,23.622774,85.268589,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.subhash.ac.in,info@subhash.ac.in,admissions@subhash.ac.in,placement@subhash.ac.in,+91-80-366-2519,Mechanical Engineering,Diploma,90,360,2004,Urban,Yes,No
1-44638199982,1-44638199982,U-0871,SUBHASH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,VILLAGE-KOIRIDIH DEOGHAR-MADHUPUR ROAD,834508,23.622774,85.268589,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.subhash.ac.in,info@subhash.ac.in,admissions@subhash.ac.in,placement@subhash.ac.in,+91-80-366-2519,Electrical Engineering,Diploma,90,360,2004,Urban,Yes,No
1-44638199982,1-44638199982,U-0871,SUBHASH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,VILLAGE-KOIRIDIH DEOGHAR-MADHUPUR ROAD,834508,23.622774,85.268589,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.subhash.ac.in,info@subhash.ac.in,admissions@subhash.ac.in,placement@subhash.ac.in,+91-80-366-2519,Civil Engineering,Diploma,60,360,2004,Urban,Yes,No
1-44638199982,1-44638199982,U-0871,SUBHASH INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,VILLAGE-KOIRIDIH DEOGHAR-MADHUPUR ROAD,834508,23.622774,85.268589,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A,No,,Tier 3,http://www.subhash.ac.in,info@subhash.ac.in,admissions@subhash.ac.in,placement@subhash.ac.in,+91-80-366-2519,Computer Science Engineering (CSE),Diploma,60,360,2004,Urban,Yes,No
1-44641324495,1-44641324495,U-0050,KHANDOLI INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,AT-DIGHARIAKALA PO-MOTILEDA,834508,23.596846,85.290906,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,A+,No,,Tier 3,http://www.khandoli.ac.in,info@khandoli.ac.in,admissions@khandoli.ac.in,placement@khandoli.ac.in,+91-80-278-7782,Civil Engineering,Diploma,60,300,2015,Rural,Yes,Yes
1-44641324495,1-44641324495,U-0050,KHANDOLI INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,AT-DIGHARIAKALA PO-MOTILEDA,834508,23.596846,85.290906,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,A+,No,,Tier 3,http://www.khandoli.ac.in,info@khandoli.ac.in,admissions@khandoli.ac.in,placement@khandoli.ac.in,+91-80-278-7782,Electrical Engineering,Diploma,60,300,2015,Rural,Yes,Yes
1-44641324495,1-44641324495,U-0050,KHANDOLI INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,AT-DIGHARIAKALA PO-MOTILEDA,834508,23.596846,85.290906,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,A+,No,,Tier 3,http://www.khandoli.ac.in,info@khandoli.ac.in,admissions@khandoli.ac.in,placement@khandoli.ac.in,+91-80-278-7782,Mechanical Engineering,Diploma,60,300,2015,Rural,Yes,Yes
1-44641324495,1-44641324495,U-0050,KHANDOLI INSTITUTE OF TECHNOLOGY,Active,Jharkhand,Giridih,Giridih,AT-DIGHARIAKALA PO-MOTILEDA,834508,23.596846,85.290906,Private-Self Financing,Jharkhand University of Technology,Approved,Approved,A+,No,,Tier 3,http://www.khandoli.ac.in,info@khandoli.ac.in,admissions@khandoli.ac.in,placement@khandoli.ac.in,+91-80-278-7782,Mining Engineering,Diploma,120,300,2015,Rural,Yes,Yes
1-44645364852,1-44645364852,U-0871,GOVERNMENT POLYTECHNIC BAGODAR,Active,Jharkhand,Giridih,Giridih,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",825322,23.614864,85.296723,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.bagodar.ac.in,info@bagodar.ac.in,admissions@bagodar.ac.in,placement@bagodar.ac.in,+91-80-034-4939,Civil Engineering,Diploma,60,300,2011,Urban,Yes,Yes
1-44645364852,1-44645364852,U-0871,GOVERNMENT POLYTECHNIC BAGODAR,Active,Jharkhand,Giridih,Giridih,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",825322,23.614864,85.296723,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.bagodar.ac.in,info@bagodar.ac.in,admissions@bagodar.ac.in,placement@bagodar.ac.in,+91-80-034-4939,Mechanical Engineering,Diploma,60,300,2011,Urban,Yes,Yes
1-44645364852,1-44645364852,U-0871,GOVERNMENT POLYTECHNIC BAGODAR,Active,Jharkhand,Giridih,Giridih,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",825322,23.614864,85.296723,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.bagodar.ac.in,info@bagodar.ac.in,admissions@bagodar.ac.in,placement@bagodar.ac.in,+91-80-034-4939,Electrical & Electronics Engineering (EEE),Diploma,60,300,2011,Urban,Yes,Yes
1-44645364852,1-44645364852,U-0871,GOVERNMENT POLYTECHNIC BAGODAR,Active,Jharkhand,Giridih,Giridih,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",825322,23.614864,85.296723,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.bagodar.ac.in,info@bagodar.ac.in,admissions@bagodar.ac.in,placement@bagodar.ac.in,+91-80-034-4939,Electrical Engineering,Diploma,60,300,2011,Urban,Yes,Yes
1-44645364852,1-44645364852,U-0871,GOVERNMENT POLYTECHNIC BAGODAR,Active,Jharkhand,Giridih,Giridih,"GOVT. POLYTECHNIC, BAGODAR, VILLAGE-MANJHLADIH (JARMUNE ) POST- BAGODAR, DIST.- GIRIDIH- 825322",825322,23.614864,85.296723,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.bagodar.ac.in,info@bagodar.ac.in,admissions@bagodar.ac.in,placement@bagodar.ac.in,+91-80-034-4939,Mining Engineering,Diploma,60,300,2011,Urban,Yes,Yes
