College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44645366614,1-44645366614,U-0871,GOVERNMENT POLYTECHNIC GODDA,Active,Jharkhand,Godda,Godda,"P.O.- MOTIA, P.S.- MUFALSIL THANA GODDA",834047,23.613173,85.286081,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-963-5751,Civil Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44645366614,1-44645366614,U-0871,GOVERNMENT POLYTECHNIC GODDA,Active,Jharkhand,Godda,Godda,"P.O.- MOTIA, P.S.- MUFALSIL THANA GODDA",834047,23.613173,85.286081,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-963-5751,Electrical Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44645366614,1-44645366614,U-0871,GOVERNMENT POLYTECHNIC GODDA,Active,Jharkhand,Godda,Godda,"P.O.- MOTIA, P.S.- MUFALSIL THANA GODDA",834047,23.613173,85.286081,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-963-5751,Mechanical Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44645366614,1-44645366614,U-0871,GOVERNMENT POLYTECHNIC GODDA,Active,Jharkhand,Godda,Godda,"P.O.- MOTIA, P.S.- MUFALSIL THANA GODDA",834047,23.613173,85.286081,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,No,,Tier 3,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-963-5751,Mining Engineering,Diploma,60,240,2010,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Civil Engineering,B.Tech,60,360,1994,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Information Technology (IT),B.Tech,60,360,1994,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1994,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Mining Engineering,B.Tech,60,360,1994,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Data Science,B.Tech,60,360,1994,Rural,Yes,Yes
1-44788715143,1-44788715143,U-0050,GOVERNMENT ENGINEERING COLLEGE GODDA,Active,Jharkhand,Godda,Godda,"VILL.-CHATRA, P.S. POREYAHAT",834047,23.623097,85.299342,Government,Jharkhand University of Technology,Approved,Approved,A+,Yes,,Tier 2,http://www.godda.ac.in,info@godda.ac.in,admissions@godda.ac.in,placement@godda.ac.in,+91-80-379-7884,Electronics & Communication Engineering (ECE),B.Tech,60,360,1994,Rural,Yes,Yes
