College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639689226,1-44639689226,U-0449,"GOVERNMENT POLYTECHNIC, AADAMPUR, TARABGANJ, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"GOVERNMENT POLYTECHNIC, AADAMPUR,BLOCK- BELSAR, TEHSIL- TARABGANJ, GONDA",201911,26.83401,80.936357,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.aadampurtarabganjgonda.ac.in,info@aadampurtarabganjgonda.ac.in,admissions@aadampurtarabganjgonda.ac.in,placement@aadampurtarabganjgonda.ac.in,+91-80-306-5921,Computer Science Engineering (CSE),Diploma,60,180,1997,Urban,Yes,Yes
1-44639689226,1-44639689226,U-0449,"GOVERNMENT POLYTECHNIC, AADAMPUR, TARABGANJ, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"GOVERNMENT POLYTECHNIC, AADAMPUR,BLOCK- BELSAR, TEHSIL- TARABGANJ, GONDA",201911,26.83401,80.936357,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.aadampurtarabganjgonda.ac.in,info@aadampurtarabganjgonda.ac.in,admissions@aadampurtarabganjgonda.ac.in,placement@aadampurtarabganjgonda.ac.in,+91-80-306-5921,Mechanical Engineering,Diploma,120,180,1997,Urban,Yes,Yes
1-44641083742,1-44641083742,U-0449,"GOVERNMENT POLYTECHNIC, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"UTRAULA ROAD, BABHANI KANOONGO, GONDA",201911,26.849971,80.964084,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gonda.ac.in,info@gonda.ac.in,admissions@gonda.ac.in,placement@gonda.ac.in,+91-80-976-0498,Mechanical Engineering,Diploma,60,300,1997,Urban,Yes,Yes
1-44641083742,1-44641083742,U-0449,"GOVERNMENT POLYTECHNIC, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"UTRAULA ROAD, BABHANI KANOONGO, GONDA",201911,26.849971,80.964084,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gonda.ac.in,info@gonda.ac.in,admissions@gonda.ac.in,placement@gonda.ac.in,+91-80-976-0498,Electrical Engineering,Diploma,120,300,1997,Urban,Yes,Yes
1-44641083742,1-44641083742,U-0449,"GOVERNMENT POLYTECHNIC, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"UTRAULA ROAD, BABHANI KANOONGO, GONDA",201911,26.849971,80.964084,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gonda.ac.in,info@gonda.ac.in,admissions@gonda.ac.in,placement@gonda.ac.in,+91-80-976-0498,Other Engineering Branches,Diploma,60,300,1997,Urban,Yes,Yes
1-44641083742,1-44641083742,U-0449,"GOVERNMENT POLYTECHNIC, GONDA",Active,Uttar Pradesh,Gonda,Gonda,"UTRAULA ROAD, BABHANI KANOONGO, GONDA",201911,26.849971,80.964084,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gonda.ac.in,info@gonda.ac.in,admissions@gonda.ac.in,placement@gonda.ac.in,+91-80-976-0498,Civil Engineering,Diploma,60,300,1997,Urban,Yes,Yes
1-44644942944,1-44644942944,U-0164,RAJKIYA ENGINEERING COLLEGE GONDA,Active,Uttar Pradesh,Gonda,Gonda,"RAJKIYA ENGINEERING COLLEGE, UTRAULA ROAD, GONDA-271002 (U.P.)",271002,26.84355,80.931254,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyagonda.ac.in,info@rajkiyagonda.ac.in,admissions@rajkiyagonda.ac.in,placement@rajkiyagonda.ac.in,+91-80-706-7424,Computer Science Engineering (CSE),B.Tech,60,240,1985,Rural,Yes,Yes
1-44644942944,1-44644942944,U-0164,RAJKIYA ENGINEERING COLLEGE GONDA,Active,Uttar Pradesh,Gonda,Gonda,"RAJKIYA ENGINEERING COLLEGE, UTRAULA ROAD, GONDA-271002 (U.P.)",271002,26.84355,80.931254,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyagonda.ac.in,info@rajkiyagonda.ac.in,admissions@rajkiyagonda.ac.in,placement@rajkiyagonda.ac.in,+91-80-706-7424,Electrical Engineering,B.Tech,60,240,1985,Rural,Yes,Yes
1-44644942944,1-44644942944,U-0164,RAJKIYA ENGINEERING COLLEGE GONDA,Active,Uttar Pradesh,Gonda,Gonda,"RAJKIYA ENGINEERING COLLEGE, UTRAULA ROAD, GONDA-271002 (U.P.)",271002,26.84355,80.931254,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyagonda.ac.in,info@rajkiyagonda.ac.in,admissions@rajkiyagonda.ac.in,placement@rajkiyagonda.ac.in,+91-80-706-7424,Civil Engineering,B.Tech,60,240,1985,Rural,Yes,Yes
1-44644942944,1-44644942944,U-0164,RAJKIYA ENGINEERING COLLEGE GONDA,Active,Uttar Pradesh,Gonda,Gonda,"RAJKIYA ENGINEERING COLLEGE, UTRAULA ROAD, GONDA-271002 (U.P.)",271002,26.84355,80.931254,Government,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rajkiyagonda.ac.in,info@rajkiyagonda.ac.in,admissions@rajkiyagonda.ac.in,placement@rajkiyagonda.ac.in,+91-80-706-7424,Mechanical Engineering,B.Tech,60,240,1985,Rural,Yes,Yes
1-44644998588,1-44644998588,U-0675,MAHARISHI PATANJALI POLYTECHNIC OF INFORMATION TECHNOLOGY,Active,Uttar Pradesh,Gonda,Gonda,"KARNAILGANJ ,GONDA",201911,26.848439,80.953201,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.maharishipatanjaliinformation.ac.in,info@maharishipatanjaliinformation.ac.in,admissions@maharishipatanjaliinformation.ac.in,placement@maharishipatanjaliinformation.ac.in,+91-80-911-8124,Civil Engineering,Diploma,60,270,2013,Urban,Yes,Yes
1-44644998588,1-44644998588,U-0675,MAHARISHI PATANJALI POLYTECHNIC OF INFORMATION TECHNOLOGY,Active,Uttar Pradesh,Gonda,Gonda,"KARNAILGANJ ,GONDA",201911,26.848439,80.953201,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.maharishipatanjaliinformation.ac.in,info@maharishipatanjaliinformation.ac.in,admissions@maharishipatanjaliinformation.ac.in,placement@maharishipatanjaliinformation.ac.in,+91-80-911-8124,Computer Science Engineering (CSE),Diploma,120,270,2013,Urban,Yes,Yes
