College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640010746,1-44640010746,U-0767,"C. S. INSTITUTE OF TECHNOLOGY, DEORI, DIST- GONDIA",Active,Maharashtra,Gondia,Gondia,"AT-PO-TA- DEORI, CHHATRAPATI SHIVAJI CAMPUS, CHICHGADH ROAD, DEORI, DIST- GONDIA.",400765,19.735345,75.707205,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.csdeori.ac.in,info@csdeori.ac.in,admissions@csdeori.ac.in,placement@csdeori.ac.in,+91-80-161-2629,Civil Engineering,Diploma,60,180,1986,Rural,Yes,Yes
1-44640010746,1-44640010746,U-0767,"C. S. INSTITUTE OF TECHNOLOGY, DEORI, DIST- GONDIA",Active,Maharashtra,Gondia,Gondia,"AT-PO-TA- DEORI, CHHATRAPATI SHIVAJI CAMPUS, CHICHGADH ROAD, DEORI, DIST- GONDIA.",400765,19.735345,75.707205,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.csdeori.ac.in,info@csdeori.ac.in,admissions@csdeori.ac.in,placement@csdeori.ac.in,+91-80-161-2629,Computer Science Engineering (CSE),Diploma,60,180,1986,Rural,Yes,Yes
1-44640010746,1-44640010746,U-0767,"C. S. INSTITUTE OF TECHNOLOGY, DEORI, DIST- GONDIA",Active,Maharashtra,Gondia,Gondia,"AT-PO-TA- DEORI, CHHATRAPATI SHIVAJI CAMPUS, CHICHGADH ROAD, DEORI, DIST- GONDIA.",400765,19.735345,75.707205,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.csdeori.ac.in,info@csdeori.ac.in,admissions@csdeori.ac.in,placement@csdeori.ac.in,+91-80-161-2629,Other Engineering Branches,Diploma,60,180,1986,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Civil Engineering,Diploma,60,360,2009,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Electrical Engineering,Diploma,60,360,2009,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Electronics & Communication Engineering (ECE),Diploma,60,360,2009,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Information Technology (IT),Diploma,60,360,2009,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Other Engineering Branches,Diploma,60,360,2009,Rural,Yes,Yes
1-44640323648,1-44640323648,U-0767,"GURUKUL POLYTECHNIC NAGRA,GONDIA",Active,Maharashtra,Gondia,Gondia,AT+PO:NAGRA TAL:GONDIA DIST:GONDIA,400765,19.738925,75.706367,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.gurukulnagragondia.ac.in,info@gurukulnagragondia.ac.in,admissions@gurukulnagragondia.ac.in,placement@gurukulnagragondia.ac.in,+91-80-311-4319,Mechanical Engineering,Diploma,60,360,2009,Rural,Yes,Yes
1-44640771999,1-44640771999,U-0767,SHRI LAXMANRAO MANKAR COLLEGE OF POLYTECHNIC,Active,Maharashtra,Gondia,Gondia,AMGAON,400765,19.763925,75.709066,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shrilaxmanraomankar.ac.in,info@shrilaxmanraomankar.ac.in,admissions@shrilaxmanraomankar.ac.in,placement@shrilaxmanraomankar.ac.in,+91-80-359-9841,Civil Engineering,Diploma,60,180,1989,Urban,Yes,Yes
