College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638425424,1-44638425424,U-0698,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ",Active,Bihar,Gopalganj,Gopalganj,"VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",841409,25.111938,85.322325,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.brajkishornarayan.ac.in,info@brajkishornarayan.ac.in,admissions@brajkishornarayan.ac.in,placement@brajkishornarayan.ac.in,+91-80-503-1483,Civil Engineering,Diploma,120,360,1994,Urban,Yes,Yes
1-44638425424,1-44638425424,U-0698,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ",Active,Bihar,Gopalganj,Gopalganj,"VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",841409,25.111938,85.322325,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.brajkishornarayan.ac.in,info@brajkishornarayan.ac.in,admissions@brajkishornarayan.ac.in,placement@brajkishornarayan.ac.in,+91-80-503-1483,Mechanical Engineering,Diploma,60,360,1994,Urban,Yes,Yes
1-44638425424,1-44638425424,U-0698,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ",Active,Bihar,Gopalganj,Gopalganj,"VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",841409,25.111938,85.322325,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.brajkishornarayan.ac.in,info@brajkishornarayan.ac.in,admissions@brajkishornarayan.ac.in,placement@brajkishornarayan.ac.in,+91-80-503-1483,Electrical Engineering,Diploma,60,360,1994,Urban,Yes,Yes
1-44638425424,1-44638425424,U-0698,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ",Active,Bihar,Gopalganj,Gopalganj,"VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",841409,25.111938,85.322325,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.brajkishornarayan.ac.in,info@brajkishornarayan.ac.in,admissions@brajkishornarayan.ac.in,placement@brajkishornarayan.ac.in,+91-80-503-1483,Other Engineering Branches,Diploma,60,360,1994,Urban,Yes,Yes
1-44638425424,1-44638425424,U-0698,"BRAJ KISHOR NARAYAN SINGH GOVERNMENT POLYTECHNIC, GOPALGANJ",Active,Bihar,Gopalganj,Gopalganj,"VILL-MANTENGRAHI, PO- MAHARANI, PS- MAHAMMADPUR, VIA- BAIKUNTHPUR, DIST-GOPALGANJ, BIHAR-841409",841409,25.111938,85.322325,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.brajkishornarayan.ac.in,info@brajkishornarayan.ac.in,admissions@brajkishornarayan.ac.in,placement@brajkishornarayan.ac.in,+91-80-503-1483,Computer Science Engineering (CSE),Diploma,60,360,1994,Urban,Yes,Yes
1-44638689423,1-44638689423,U-0057,GOVERNMENT ENGINEERING COLLEGE GOPALGANJ,Active,Bihar,Gopalganj,Gopalganj,"GOVERNMENT ENGINEERING COLLEGE GOPALGANJ, AT- TOLA SIPAYA, PS- BISHMBHARPUR, KUCHAIKOT, DIST- GOPALGANJ",800713,25.096326,85.318053,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.gopalganj.ac.in,info@gopalganj.ac.in,admissions@gopalganj.ac.in,placement@gopalganj.ac.in,+91-80-848-3487,Civil Engineering,B.Tech,60,360,1987,Urban,Yes,Yes
1-44638689423,1-44638689423,U-0057,GOVERNMENT ENGINEERING COLLEGE GOPALGANJ,Active,Bihar,Gopalganj,Gopalganj,"GOVERNMENT ENGINEERING COLLEGE GOPALGANJ, AT- TOLA SIPAYA, PS- BISHMBHARPUR, KUCHAIKOT, DIST- GOPALGANJ",800713,25.096326,85.318053,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.gopalganj.ac.in,info@gopalganj.ac.in,admissions@gopalganj.ac.in,placement@gopalganj.ac.in,+91-80-848-3487,Mechanical Engineering,B.Tech,30,360,1987,Urban,Yes,Yes
1-44638689423,1-44638689423,U-0057,GOVERNMENT ENGINEERING COLLEGE GOPALGANJ,Active,Bihar,Gopalganj,Gopalganj,"GOVERNMENT ENGINEERING COLLEGE GOPALGANJ, AT- TOLA SIPAYA, PS- BISHMBHARPUR, KUCHAIKOT, DIST- GOPALGANJ",800713,25.096326,85.318053,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.gopalganj.ac.in,info@gopalganj.ac.in,admissions@gopalganj.ac.in,placement@gopalganj.ac.in,+91-80-848-3487,Electrical Engineering,B.Tech,60,360,1987,Urban,Yes,Yes
1-44638689423,1-44638689423,U-0057,GOVERNMENT ENGINEERING COLLEGE GOPALGANJ,Active,Bihar,Gopalganj,Gopalganj,"GOVERNMENT ENGINEERING COLLEGE GOPALGANJ, AT- TOLA SIPAYA, PS- BISHMBHARPUR, KUCHAIKOT, DIST- GOPALGANJ",800713,25.096326,85.318053,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.gopalganj.ac.in,info@gopalganj.ac.in,admissions@gopalganj.ac.in,placement@gopalganj.ac.in,+91-80-848-3487,Cyber Security,B.Tech,60,360,1987,Urban,Yes,Yes
1-44638689423,1-44638689423,U-0057,GOVERNMENT ENGINEERING COLLEGE GOPALGANJ,Active,Bihar,Gopalganj,Gopalganj,"GOVERNMENT ENGINEERING COLLEGE GOPALGANJ, AT- TOLA SIPAYA, PS- BISHMBHARPUR, KUCHAIKOT, DIST- GOPALGANJ",800713,25.096326,85.318053,Government,Bihar Engineering University Patna,Approved,Approved,B,No,,Tier 3,http://www.gopalganj.ac.in,info@gopalganj.ac.in,admissions@gopalganj.ac.in,placement@gopalganj.ac.in,+91-80-848-3487,Aeronautical Engineering,B.Tech,30,360,1987,Urban,Yes,Yes
