College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638255841,1-44638255841,U-0449,BUDDHA POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"CL-1, SECTOR-7, GIDA, GORAKHPUR",201292,26.745173,83.371657,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.buddha.ac.in,info@buddha.ac.in,admissions@buddha.ac.in,placement@buddha.ac.in,+91-80-191-8070,Mechanical Engineering,Diploma,60,360,2018,Urban,Yes,Yes
1-44638255841,1-44638255841,U-0449,BUDDHA POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"CL-1, SECTOR-7, GIDA, GORAKHPUR",201292,26.745173,83.371657,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.buddha.ac.in,info@buddha.ac.in,admissions@buddha.ac.in,placement@buddha.ac.in,+91-80-191-8070,Automobile Engineering,Diploma,60,360,2018,Urban,Yes,Yes
1-44638255841,1-44638255841,U-0449,BUDDHA POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"CL-1, SECTOR-7, GIDA, GORAKHPUR",201292,26.745173,83.371657,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.buddha.ac.in,info@buddha.ac.in,admissions@buddha.ac.in,placement@buddha.ac.in,+91-80-191-8070,Electrical Engineering,Diploma,120,360,2018,Urban,Yes,Yes
1-44638255841,1-44638255841,U-0449,BUDDHA POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"CL-1, SECTOR-7, GIDA, GORAKHPUR",201292,26.745173,83.371657,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.buddha.ac.in,info@buddha.ac.in,admissions@buddha.ac.in,placement@buddha.ac.in,+91-80-191-8070,Computer Science Engineering (CSE),Diploma,120,360,2018,Urban,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Civil Engineering,Diploma,48,336,1981,Rural,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Automobile Engineering,Diploma,48,336,1981,Rural,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Mechanical Engineering,Diploma,48,336,1981,Rural,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Electrical Engineering,Diploma,48,336,1981,Rural,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Chemical Engineering,Diploma,48,336,1981,Rural,Yes,Yes
1-44639342144,1-44639342144,U-0449,"GOVERNMENT POLYTECHNIC, GORAKHPUR",Active,Uttar Pradesh,Gorakhpur,Gorakhpur,"OPPOSITE- N.E.RAILWAY MECHANICAL WORKSHOP, NEAR- ASURAN CHOWK, GORAKHPUR",201292,26.74775,83.37662,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.gorakhpur.ac.in,info@gorakhpur.ac.in,admissions@gorakhpur.ac.in,placement@gorakhpur.ac.in,+91-80-299-9190,Other Engineering Branches,Diploma,96,336,1981,Rural,Yes,Yes
