College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Computer Science Engineering (CSE),B.Tech,390,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Electronics & Communication Engineering (ECE),B.Tech,240,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Civil Engineering,B.Tech,150,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Mechanical Engineering,B.Tech,120,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Electrical & Electronics Engineering (EEE),B.Tech,120,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Computer Science Engineering (CSE),M.Tech,36,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Other Engineering Branches,M.Tech,78,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Information Technology (IT),M.Tech,36,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,1368,1986,Urban,Yes,Yes
1-44638379587,1-44638379587,U-0992,SHARNBASVA UNIVERSITY,Active,Karnataka,Gulbarga,Gulbarga,"SHARNBASVESHWARA INSTITUTIONS  CAMPUS , KALABURAGI ( GULBARGA) -585103 , KARNATAKA",585103,17.324037,76.844683,State Private University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.sharnbasva.ac.in,info@sharnbasva.ac.in,admissions@sharnbasva.ac.in,placement@sharnbasva.ac.in,+91-80-601-3634,Other Engineering Branches,B.Tech,60,1368,1986,Urban,Yes,Yes
