College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Mechanical Engineering,B.Tech,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Electronics & Communication Engineering (ECE),B.Tech,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Civil Engineering,B.Tech,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Computer Science Engineering (CSE),B.Tech,60,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Computer Science Engineering (CSE),M.Tech,18,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Electronics & Communication Engineering (ECE),M.Tech,9,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Civil Engineering,Diploma,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Mechanical Engineering,Diploma,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Computer Science Engineering (CSE),Diploma,30,357,2004,Rural,Yes,Yes
1-44639508701,1-44639508701,U-0724,GOLDEN COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Punjab,Gurdaspur,Gurdaspur,"PREM NAGAR, GURDASPUR, PUNJAB 143521",143521,31.160094,75.334417,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,Yes,,Tier 2,http://www.golden.ac.in,info@golden.ac.in,admissions@golden.ac.in,placement@golden.ac.in,+91-80-383-8676,Electrical Engineering,B.Tech,30,357,2004,Rural,Yes,Yes
