College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Electrical & Electronics Engineering (EEE),B.Tech,30,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Mechanical Engineering,B.Tech,60,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Civil Engineering,B.Tech,30,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Mechanical Engineering,Diploma,60,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Computer Science Engineering (CSE),B.Tech,60,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Electronics & Communication Engineering (ECE),B.Tech,30,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Electrical Engineering,Diploma,60,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Civil Engineering,Diploma,60,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Mechanical Engineering,M.Tech,18,486,2015,Urban,No,Yes
1-44638115079,1-44638115079,U-0157,B M GROUP OF INSTITUTIONS,Active,Haryana,Gurgaon,Gurgaon,"VILLAGE HARI NAGAR (DUMHA), FARUKHNAGAR",120432,29.047123,76.077324,Private-Self Financing,"Gurugram University, Gurugram, Haryana",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bm.ac.in,info@bm.ac.in,admissions@bm.ac.in,placement@bm.ac.in,+91-80-349-1147,Computer Science Engineering (CSE),M.Tech,18,486,2015,Urban,No,Yes
