College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Mechanical Engineering,B.Tech,30,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Other Engineering Branches,M.Tech,9,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Computer Science Engineering (CSE),B.Tech,240,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Computer Science Engineering (CSE),M.Tech,9,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Electronics & Communication Engineering (ECE),B.Tech,60,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Chemical Engineering,B.Tech,30,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Information Technology (IT),B.Tech,120,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Civil Engineering,B.Tech,30,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Data Science,B.Tech,90,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,IoT,B.Tech,30,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,798,2005,Urban,Yes,No
1-44638179750,1-44638179750,U-0441,INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Madhya Pradesh,Gwalior,Gwalior,"ITM UNIVERSE CAMPUS, OPP. SITHOULI RAILWAY STATION, NH-75, JHANSI ROAD,",452896,26.20485,78.190329,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.management.ac.in,info@management.ac.in,admissions@management.ac.in,placement@management.ac.in,+91-80-274-7568,Cyber Security,B.Tech,30,798,2005,Urban,Yes,No
1-44638105995,1-44638105995,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY(CIPET),Active,Madhya Pradesh,Gwalior,Gwalior,"SURVEY NO-47/1,52/1,53,55/1, MAHARAJPURA DANG",452896,26.199335,78.162999,Government,NOT APPLICABLE,Approved,Approved,A,No,,Tier 2,http://www.petrochemicalstechnologycipet.ac.in,info@petrochemicalstechnologycipet.ac.in,admissions@petrochemicalstechnologycipet.ac.in,placement@petrochemicalstechnologycipet.ac.in,+91-80-043-4177,Other Engineering Branches,Diploma,120,120,2000,Urban,Yes,Yes
1-44639389071,1-44639389071,U-0441,RUSTAMJI INSTITUTE OF TECHNOLOGY (DIPLOMA),Active,Madhya Pradesh,Gwalior,Gwalior,CSMT BSF ACADEMY TEKANPUR,452896,26.229651,78.19968,Govt aided,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.rustamjidiploma.ac.in,info@rustamjidiploma.ac.in,admissions@rustamjidiploma.ac.in,placement@rustamjidiploma.ac.in,+91-80-314-9676,Automobile Engineering,Diploma,60,120,2008,Urban,Yes,Yes
1-44639389071,1-44639389071,U-0441,RUSTAMJI INSTITUTE OF TECHNOLOGY (DIPLOMA),Active,Madhya Pradesh,Gwalior,Gwalior,CSMT BSF ACADEMY TEKANPUR,452896,26.229651,78.19968,Govt aided,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.rustamjidiploma.ac.in,info@rustamjidiploma.ac.in,admissions@rustamjidiploma.ac.in,placement@rustamjidiploma.ac.in,+91-80-314-9676,Mechanical Engineering,Diploma,60,120,2008,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Civil Engineering,Diploma,90,450,1994,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Electrical Engineering,Diploma,90,450,1994,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Mechanical Engineering,Diploma,90,450,1994,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Other Engineering Branches,Diploma,60,450,1994,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Information Technology (IT),Diploma,60,450,1994,Urban,Yes,Yes
1-44639980493,1-44639980493,U-0441,"DR. B.R. AMBEDKAR POLYTECHNIC COLLEGE,GWALIOR",Active,Madhya Pradesh,Gwalior,Gwalior,"NAKA CHANDRABADNI, JHANSI ROAD",452896,26.206417,78.187718,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-340-4447,Computer Science Engineering (CSE),Diploma,60,450,1994,Urban,Yes,Yes
1-44639992389,1-44639992389,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, DABRA",Active,Madhya Pradesh,Gwalior,Gwalior,"GOVERNMENT POLYTECHNIC COLLEGE,  SIMARIYA TAAL,TEHSIL DABRA,DISTT GWALIOR M.P.",452896,26.223944,78.188632,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.dabra.ac.in,info@dabra.ac.in,admissions@dabra.ac.in,placement@dabra.ac.in,+91-80-075-6005,Electrical Engineering,Diploma,60,150,1982,Rural,No,Yes
1-44639992389,1-44639992389,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, DABRA",Active,Madhya Pradesh,Gwalior,Gwalior,"GOVERNMENT POLYTECHNIC COLLEGE,  SIMARIYA TAAL,TEHSIL DABRA,DISTT GWALIOR M.P.",452896,26.223944,78.188632,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.dabra.ac.in,info@dabra.ac.in,admissions@dabra.ac.in,placement@dabra.ac.in,+91-80-075-6005,Computer Science Engineering (CSE),Diploma,60,150,1982,Rural,No,Yes
1-44639992389,1-44639992389,U-0441,"GOVERNMENT POLYTECHNIC COLLEGE, DABRA",Active,Madhya Pradesh,Gwalior,Gwalior,"GOVERNMENT POLYTECHNIC COLLEGE,  SIMARIYA TAAL,TEHSIL DABRA,DISTT GWALIOR M.P.",452896,26.223944,78.188632,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.dabra.ac.in,info@dabra.ac.in,admissions@dabra.ac.in,placement@dabra.ac.in,+91-80-075-6005,Electronics & Communication Engineering (ECE),Diploma,30,150,1982,Rural,No,Yes
1-44640740527,1-44640740527,U-0441,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Madhya Pradesh,Gwalior,Gwalior,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,452896,26.206619,78.183757,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.bethesdasciences.ac.in,info@bethesdasciences.ac.in,admissions@bethesdasciences.ac.in,placement@bethesdasciences.ac.in,+91-80-348-9414,Mechanical Engineering,B.Tech,50,270,2014,Urban,Yes,Yes
1-44640740527,1-44640740527,U-0441,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Madhya Pradesh,Gwalior,Gwalior,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,452896,26.206619,78.183757,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.bethesdasciences.ac.in,info@bethesdasciences.ac.in,admissions@bethesdasciences.ac.in,placement@bethesdasciences.ac.in,+91-80-348-9414,Electronics & Communication Engineering (ECE),B.Tech,60,270,2014,Urban,Yes,Yes
1-44640740527,1-44640740527,U-0441,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Madhya Pradesh,Gwalior,Gwalior,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,452896,26.206619,78.183757,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.bethesdasciences.ac.in,info@bethesdasciences.ac.in,admissions@bethesdasciences.ac.in,placement@bethesdasciences.ac.in,+91-80-348-9414,Electrical & Electronics Engineering (EEE),B.Tech,60,270,2014,Urban,Yes,Yes
1-44640740527,1-44640740527,U-0441,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Madhya Pradesh,Gwalior,Gwalior,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,452896,26.206619,78.183757,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.bethesdasciences.ac.in,info@bethesdasciences.ac.in,admissions@bethesdasciences.ac.in,placement@bethesdasciences.ac.in,+91-80-348-9414,Computer Science Engineering (CSE),B.Tech,50,270,2014,Urban,Yes,Yes
1-44640740527,1-44640740527,U-0441,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Madhya Pradesh,Gwalior,Gwalior,VILL. RATWAI (CHITORA ROAD) MORAR GWALIOR M.P.,452896,26.206619,78.183757,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,No,,Tier 3,http://www.bethesdasciences.ac.in,info@bethesdasciences.ac.in,admissions@bethesdasciences.ac.in,placement@bethesdasciences.ac.in,+91-80-348-9414,Civil Engineering,B.Tech,50,270,2014,Urban,Yes,Yes
1-44640753903,1-44640753903,U-0441,GOVERNMENT WOMENS  POLYTECHNIC COLLEGE,Active,Madhya Pradesh,Gwalior,Gwalior,MLB ROAD PADAV GWALIOR,452896,26.221839,78.181945,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.inst8565.ac.in,info@inst8565.ac.in,admissions@inst8565.ac.in,placement@inst8565.ac.in,+91-80-987-2762,Computer Science Engineering (CSE),Diploma,60,420,1982,Urban,Yes,Yes
