College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44636970118,1-44636970118,U-0992,HIMACHAL PRADESH TECHNICAL UNIVERSITY,Active,Himachal Pradesh,Hamirpur,Hamirpur,VILLAGE & POST OFFICE-DARUHI,170741,31.091084,77.16214,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.himachalpradeshtechnical.ac.in,info@himachalpradeshtechnical.ac.in,admissions@himachalpradeshtechnical.ac.in,placement@himachalpradeshtechnical.ac.in,+91-80-263-5831,Computer Science Engineering (CSE),M.Tech,24,84,2021,Rural,Yes,Yes
1-44636970118,1-44636970118,U-0992,HIMACHAL PRADESH TECHNICAL UNIVERSITY,Active,Himachal Pradesh,Hamirpur,Hamirpur,VILLAGE & POST OFFICE-DARUHI,170741,31.091084,77.16214,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.himachalpradeshtechnical.ac.in,info@himachalpradeshtechnical.ac.in,admissions@himachalpradeshtechnical.ac.in,placement@himachalpradeshtechnical.ac.in,+91-80-263-5831,Computer Science Engineering (CSE),B.Tech,60,84,2021,Rural,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,Civil Engineering,Diploma,40,270,2017,Urban,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,Electrical Engineering,Diploma,40,270,2017,Urban,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,Mechanical Engineering,Diploma,60,270,2017,Urban,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,Computer Science Engineering (CSE),Diploma,40,270,2017,Urban,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,Information Technology (IT),Diploma,30,270,2017,Urban,Yes,Yes
1-44640838731,1-44640838731,U-0675,GOVT. POLYTECHNIC HAMIRPUR,Active,Himachal Pradesh,Hamirpur,Hamirpur,"POST OFFICE MOHIN, TEH & DISTT. HAMIRPUR (HP)-177030",177030,31.107002,77.184382,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govthamirpur.ac.in,info@govthamirpur.ac.in,admissions@govthamirpur.ac.in,placement@govthamirpur.ac.in,+91-80-931-2454,IoT,Diploma,60,270,2017,Urban,Yes,Yes
1-44640759515,1-44640759515,U-0449,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,201741,26.831532,80.966175,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sarsairathhamirpur.ac.in,info@sarsairathhamirpur.ac.in,admissions@sarsairathhamirpur.ac.in,placement@sarsairathhamirpur.ac.in,+91-80-202-6751,Electrical Engineering,Diploma,60,180,2001,Rural,Yes,Yes
1-44640759515,1-44640759515,U-0449,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,201741,26.831532,80.966175,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sarsairathhamirpur.ac.in,info@sarsairathhamirpur.ac.in,admissions@sarsairathhamirpur.ac.in,placement@sarsairathhamirpur.ac.in,+91-80-202-6751,Chemical Engineering,Diploma,60,180,2001,Rural,Yes,Yes
1-44640759515,1-44640759515,U-0449,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,GOVERNMENT POLYTECHNIC SARSAI RATH HAMIRPUR,201741,26.831532,80.966175,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.sarsairathhamirpur.ac.in,info@sarsairathhamirpur.ac.in,admissions@sarsairathhamirpur.ac.in,placement@sarsairathhamirpur.ac.in,+91-80-202-6751,Other Engineering Branches,Diploma,60,180,2001,Rural,Yes,Yes
1-44641081171,1-44641081171,U-0449,GOVERNMENT POLYTECHNIC HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,"SUMERPUR,HAMIRPUR",201741,26.829144,80.948575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.hamirpur.ac.in,info@hamirpur.ac.in,admissions@hamirpur.ac.in,placement@hamirpur.ac.in,+91-80-102-5167,Mechanical Engineering,Diploma,60,180,2015,Rural,Yes,Yes
1-44641081171,1-44641081171,U-0449,GOVERNMENT POLYTECHNIC HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,"SUMERPUR,HAMIRPUR",201741,26.829144,80.948575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.hamirpur.ac.in,info@hamirpur.ac.in,admissions@hamirpur.ac.in,placement@hamirpur.ac.in,+91-80-102-5167,Civil Engineering,Diploma,60,180,2015,Rural,Yes,Yes
1-44641081171,1-44641081171,U-0449,GOVERNMENT POLYTECHNIC HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,"SUMERPUR,HAMIRPUR",201741,26.829144,80.948575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.hamirpur.ac.in,info@hamirpur.ac.in,admissions@hamirpur.ac.in,placement@hamirpur.ac.in,+91-80-102-5167,Other Engineering Branches,Diploma,60,180,2015,Rural,Yes,Yes
1-44644994521,1-44644994521,U-0675,GOVERNMENT POLYTECHNIC KURARA HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,VILLAGE KURARA DISTRICT HAMIRPUR,201741,26.831407,80.932545,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.kurarahamirpur.ac.in,info@kurarahamirpur.ac.in,admissions@kurarahamirpur.ac.in,placement@kurarahamirpur.ac.in,+91-80-197-4312,Electrical Engineering,Diploma,60,240,1989,Urban,No,Yes
1-44644994521,1-44644994521,U-0675,GOVERNMENT POLYTECHNIC KURARA HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,VILLAGE KURARA DISTRICT HAMIRPUR,201741,26.831407,80.932545,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.kurarahamirpur.ac.in,info@kurarahamirpur.ac.in,admissions@kurarahamirpur.ac.in,placement@kurarahamirpur.ac.in,+91-80-197-4312,Computer Science Engineering (CSE),Diploma,60,240,1989,Urban,No,Yes
1-44644994521,1-44644994521,U-0675,GOVERNMENT POLYTECHNIC KURARA HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,VILLAGE KURARA DISTRICT HAMIRPUR,201741,26.831407,80.932545,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.kurarahamirpur.ac.in,info@kurarahamirpur.ac.in,admissions@kurarahamirpur.ac.in,placement@kurarahamirpur.ac.in,+91-80-197-4312,Mechanical Engineering,Diploma,60,240,1989,Urban,No,Yes
1-44644994521,1-44644994521,U-0675,GOVERNMENT POLYTECHNIC KURARA HAMIRPUR,Active,Uttar Pradesh,Hamirpur,Hamirpur,VILLAGE KURARA DISTRICT HAMIRPUR,201741,26.831407,80.932545,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.kurarahamirpur.ac.in,info@kurarahamirpur.ac.in,admissions@kurarahamirpur.ac.in,placement@kurarahamirpur.ac.in,+91-80-197-4312,Other Engineering Branches,Diploma,60,240,1989,Urban,No,Yes
