College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44641471751,1-44641471751,U-0449,"GOVERNMENT POLYTECHNIC,HARDOI(U.P.)",Active,Uttar Pradesh,Hardoi,Hardoi,"GOVERNMENT POLYTECHNIC, BAWAN ROAD, HARDOI(U.P.)",201576,26.83339,80.965969,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnichardoiup.ac.in,info@polytechnichardoiup.ac.in,admissions@polytechnichardoiup.ac.in,placement@polytechnichardoiup.ac.in,+91-80-280-6014,Civil Engineering,Diploma,60,180,2020,Urban,Yes,Yes
1-44641471751,1-44641471751,U-0449,"GOVERNMENT POLYTECHNIC,HARDOI(U.P.)",Active,Uttar Pradesh,Hardoi,Hardoi,"GOVERNMENT POLYTECHNIC, BAWAN ROAD, HARDOI(U.P.)",201576,26.83339,80.965969,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnichardoiup.ac.in,info@polytechnichardoiup.ac.in,admissions@polytechnichardoiup.ac.in,placement@polytechnichardoiup.ac.in,+91-80-280-6014,Other Engineering Branches,Diploma,60,180,2020,Urban,Yes,Yes
1-44641471751,1-44641471751,U-0449,"GOVERNMENT POLYTECHNIC,HARDOI(U.P.)",Active,Uttar Pradesh,Hardoi,Hardoi,"GOVERNMENT POLYTECHNIC, BAWAN ROAD, HARDOI(U.P.)",201576,26.83339,80.965969,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.polytechnichardoiup.ac.in,info@polytechnichardoiup.ac.in,admissions@polytechnichardoiup.ac.in,placement@polytechnichardoiup.ac.in,+91-80-280-6014,Information Technology (IT),Diploma,60,180,2020,Urban,Yes,Yes
1-44643947037,1-44643947037,U-0086,GOVERNMENT POLYTECHNIC HARDOI SANDILA,Active,Uttar Pradesh,Hardoi,Hardoi,"GOVT POLYTECHNIC HARDOI, VILL-MALKANA, PARGANA AND TEHSIL - SANDILA",201576,26.83134,80.9488,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A+,Yes,,Tier 2,http://www.hardoisandila.ac.in,info@hardoisandila.ac.in,admissions@hardoisandila.ac.in,placement@hardoisandila.ac.in,+91-80-194-6256,Civil Engineering,Diploma,90,360,1982,Urban,Yes,Yes
1-44643947037,1-44643947037,U-0086,GOVERNMENT POLYTECHNIC HARDOI SANDILA,Active,Uttar Pradesh,Hardoi,Hardoi,"GOVT POLYTECHNIC HARDOI, VILL-MALKANA, PARGANA AND TEHSIL - SANDILA",201576,26.83134,80.9488,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A+,Yes,,Tier 2,http://www.hardoisandila.ac.in,info@hardoisandila.ac.in,admissions@hardoisandila.ac.in,placement@hardoisandila.ac.in,+91-80-194-6256,Mechanical Engineering,Diploma,90,360,1982,Urban,Yes,Yes
1-44643947037,1-44643947037,U-0086,GOVERNMENT POLYTECHNIC HARDOI SANDILA,Active,Uttar Pradesh,Hardoi,Hardoi,"GOVT POLYTECHNIC HARDOI, VILL-MALKANA, PARGANA AND TEHSIL - SANDILA",201576,26.83134,80.9488,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A+,Yes,,Tier 2,http://www.hardoisandila.ac.in,info@hardoisandila.ac.in,admissions@hardoisandila.ac.in,placement@hardoisandila.ac.in,+91-80-194-6256,Electrical Engineering,Diploma,90,360,1982,Urban,Yes,Yes
1-44643947037,1-44643947037,U-0086,GOVERNMENT POLYTECHNIC HARDOI SANDILA,Active,Uttar Pradesh,Hardoi,Hardoi,"GOVT POLYTECHNIC HARDOI, VILL-MALKANA, PARGANA AND TEHSIL - SANDILA",201576,26.83134,80.9488,Government,"Board of Technical Education, Lucknow (UP)",Approved,Approved,A+,Yes,,Tier 2,http://www.hardoisandila.ac.in,info@hardoisandila.ac.in,admissions@hardoisandila.ac.in,placement@hardoisandila.ac.in,+91-80-194-6256,Data Science,Diploma,90,360,1982,Urban,Yes,Yes
1-44644994751,1-44644994751,U-0675,GOVERNMENT POLYTECHNIC GOPAMAU HARDOI,Active,Uttar Pradesh,Hardoi,Hardoi,"VILL - BADAYAL, PARGANA - GOPAMAU, TEHSIL - SADAR, HARDOI DISTRICT",201576,26.847056,80.965512,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.gopamauhardoi.ac.in,info@gopamauhardoi.ac.in,admissions@gopamauhardoi.ac.in,placement@gopamauhardoi.ac.in,+91-80-853-8107,Computer Science Engineering (CSE),Diploma,90,360,2000,Rural,Yes,Yes
1-44644994751,1-44644994751,U-0675,GOVERNMENT POLYTECHNIC GOPAMAU HARDOI,Active,Uttar Pradesh,Hardoi,Hardoi,"VILL - BADAYAL, PARGANA - GOPAMAU, TEHSIL - SADAR, HARDOI DISTRICT",201576,26.847056,80.965512,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.gopamauhardoi.ac.in,info@gopamauhardoi.ac.in,admissions@gopamauhardoi.ac.in,placement@gopamauhardoi.ac.in,+91-80-853-8107,Mechanical Engineering,Diploma,90,360,2000,Rural,Yes,Yes
1-44644994751,1-44644994751,U-0675,GOVERNMENT POLYTECHNIC GOPAMAU HARDOI,Active,Uttar Pradesh,Hardoi,Hardoi,"VILL - BADAYAL, PARGANA - GOPAMAU, TEHSIL - SADAR, HARDOI DISTRICT",201576,26.847056,80.965512,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,B,No,,Tier 3,http://www.gopamauhardoi.ac.in,info@gopamauhardoi.ac.in,admissions@gopamauhardoi.ac.in,placement@gopamauhardoi.ac.in,+91-80-853-8107,Electrical Engineering,Diploma,90,360,2000,Rural,Yes,Yes
