College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638311251,1-44638311251,U-0678,HARISHCHANDRA GOVERNMENT POLYTECHNIC BHALSWAGAJ  HARIDWAR,Active,Uttarakhand,Haridwar,Haridwar,"GOVERNMENT POLYTECHNIC BHALSWAGAJ , BHAGWANPUR, HARIDWAR",248869,30.063763,79.018414,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.harishchandrabhalswagajharidwar.ac.in,info@harishchandrabhalswagajharidwar.ac.in,admissions@harishchandrabhalswagajharidwar.ac.in,placement@harishchandrabhalswagajharidwar.ac.in,+91-80-711-4618,Mechanical Engineering,Diploma,30,90,1996,Urban,Yes,No
1-44638311251,1-44638311251,U-0678,HARISHCHANDRA GOVERNMENT POLYTECHNIC BHALSWAGAJ  HARIDWAR,Active,Uttarakhand,Haridwar,Haridwar,"GOVERNMENT POLYTECHNIC BHALSWAGAJ , BHAGWANPUR, HARIDWAR",248869,30.063763,79.018414,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.harishchandrabhalswagajharidwar.ac.in,info@harishchandrabhalswagajharidwar.ac.in,admissions@harishchandrabhalswagajharidwar.ac.in,placement@harishchandrabhalswagajharidwar.ac.in,+91-80-711-4618,Artificial Intelligence & Machine Learning (AI & ML),Diploma,30,90,1996,Urban,Yes,No
1-44638311251,1-44638311251,U-0678,HARISHCHANDRA GOVERNMENT POLYTECHNIC BHALSWAGAJ  HARIDWAR,Active,Uttarakhand,Haridwar,Haridwar,"GOVERNMENT POLYTECHNIC BHALSWAGAJ , BHAGWANPUR, HARIDWAR",248869,30.063763,79.018414,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.harishchandrabhalswagajharidwar.ac.in,info@harishchandrabhalswagajharidwar.ac.in,admissions@harishchandrabhalswagajharidwar.ac.in,placement@harishchandrabhalswagajharidwar.ac.in,+91-80-711-4618,Computer Science Engineering (CSE),Diploma,30,90,1996,Urban,Yes,No
1-44913267905,1-44913267905,U-0992,AMRITA VISHWA VIDYAPEETHAM HARIDWAR CAMPUS,Active,Uttarakhand,Haridwar,Haridwar,"VILLAGE MISSARPUR, PARGANA JWALAPUR, HARIDWAR - 249408. UTTARAKHAND, INDIA.",249408,30.058823,79.029078,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-504-2878,Data Science,B.Tech,120,330,2007,Rural,Yes,Yes
1-44913267905,1-44913267905,U-0992,AMRITA VISHWA VIDYAPEETHAM HARIDWAR CAMPUS,Active,Uttarakhand,Haridwar,Haridwar,"VILLAGE MISSARPUR, PARGANA JWALAPUR, HARIDWAR - 249408. UTTARAKHAND, INDIA.",249408,30.058823,79.029078,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-504-2878,Computer Science Engineering (CSE),B.Tech,150,330,2007,Rural,Yes,Yes
1-44913267905,1-44913267905,U-0992,AMRITA VISHWA VIDYAPEETHAM HARIDWAR CAMPUS,Active,Uttarakhand,Haridwar,Haridwar,"VILLAGE MISSARPUR, PARGANA JWALAPUR, HARIDWAR - 249408. UTTARAKHAND, INDIA.",249408,30.058823,79.029078,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-504-2878,Electronics & Communication Engineering (ECE),B.Tech,30,330,2007,Rural,Yes,Yes
1-44913267905,1-44913267905,U-0992,AMRITA VISHWA VIDYAPEETHAM HARIDWAR CAMPUS,Active,Uttarakhand,Haridwar,Haridwar,"VILLAGE MISSARPUR, PARGANA JWALAPUR, HARIDWAR - 249408. UTTARAKHAND, INDIA.",249408,30.058823,79.029078,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.amritavishwavidyapeetham.ac.in,info@amritavishwavidyapeetham.ac.in,admissions@amritavishwavidyapeetham.ac.in,placement@amritavishwavidyapeetham.ac.in,+91-80-504-2878,Electrical & Electronics Engineering (EEE),B.Tech,30,330,2007,Rural,Yes,Yes
1-44638781837,1-44638781837,U-0735,BISHAMBER SAHAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,6TH KM STONE,248869,30.086144,79.003986,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishambersahai.ac.in,info@bishambersahai.ac.in,admissions@bishambersahai.ac.in,placement@bishambersahai.ac.in,+91-80-650-1789,Civil Engineering,B.Tech,45,150,2009,Urban,Yes,No
1-44638781837,1-44638781837,U-0735,BISHAMBER SAHAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,6TH KM STONE,248869,30.086144,79.003986,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishambersahai.ac.in,info@bishambersahai.ac.in,admissions@bishambersahai.ac.in,placement@bishambersahai.ac.in,+91-80-650-1789,Electrical Engineering,B.Tech,45,150,2009,Urban,Yes,No
1-44638781837,1-44638781837,U-0735,BISHAMBER SAHAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,6TH KM STONE,248869,30.086144,79.003986,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.bishambersahai.ac.in,info@bishambersahai.ac.in,admissions@bishambersahai.ac.in,placement@bishambersahai.ac.in,+91-80-650-1789,Computer Science Engineering (CSE),B.Tech,60,150,2009,Urban,Yes,No
1-44639674403,1-44639674403,U-0343,GOVERNMENT POLYTECHNIC HARIDWAR SIDCUL,Active,Uttarakhand,Haridwar,Haridwar,GURUKUL KANGRI HARIDWAR,248869,30.074334,79.001195,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,Yes,,Tier 2,http://www.haridwarsidcul.ac.in,info@haridwarsidcul.ac.in,admissions@haridwarsidcul.ac.in,placement@haridwarsidcul.ac.in,+91-80-154-8428,Other Engineering Branches,Diploma,40,70,2004,Urban,Yes,Yes
1-44639674403,1-44639674403,U-0343,GOVERNMENT POLYTECHNIC HARIDWAR SIDCUL,Active,Uttarakhand,Haridwar,Haridwar,GURUKUL KANGRI HARIDWAR,248869,30.074334,79.001195,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,Yes,,Tier 2,http://www.haridwarsidcul.ac.in,info@haridwarsidcul.ac.in,admissions@haridwarsidcul.ac.in,placement@haridwarsidcul.ac.in,+91-80-154-8428,Mechanical Engineering,Diploma,30,70,2004,Urban,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Civil Engineering,Diploma,60,300,1989,Rural,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Mechanical Engineering,Diploma,60,300,1989,Rural,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Electrical Engineering,Diploma,60,300,1989,Rural,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Electronics & Communication Engineering (ECE),Diploma,60,300,1989,Rural,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Artificial Intelligence & Machine Learning (AI & ML),Diploma,30,300,1989,Rural,Yes,Yes
1-44640242714,1-44640242714,U-0343,K.L. POLYTECHNIC,Active,Uttarakhand,Haridwar,Haridwar,"DEHRADUN BYPASS ROAD, NEAR RAM NAGAR CHOWK",248869,30.052772,79.034191,Govt aided,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.kl.ac.in,info@kl.ac.in,admissions@kl.ac.in,placement@kl.ac.in,+91-80-250-4927,Other Engineering Branches,Diploma,30,300,1989,Rural,Yes,Yes
1-44640302403,1-44640302403,U-0735,BALWANT SINGH MUKHIYA ( BSM) COLLEGE OF ENGINEERING,Active,Uttarakhand,Haridwar,Haridwar,"2 KM. MILESTONE ROORKEE LAKSAR ROAD VILL- NAGLA IMARTI, ROORKEE",248869,30.067949,79.037958,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.balwantsinghmukhiya.ac.in,info@balwantsinghmukhiya.ac.in,admissions@balwantsinghmukhiya.ac.in,placement@balwantsinghmukhiya.ac.in,+91-80-887-0647,Civil Engineering,B.Tech,60,210,1995,Urban,Yes,No
1-44640302403,1-44640302403,U-0735,BALWANT SINGH MUKHIYA ( BSM) COLLEGE OF ENGINEERING,Active,Uttarakhand,Haridwar,Haridwar,"2 KM. MILESTONE ROORKEE LAKSAR ROAD VILL- NAGLA IMARTI, ROORKEE",248869,30.067949,79.037958,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.balwantsinghmukhiya.ac.in,info@balwantsinghmukhiya.ac.in,admissions@balwantsinghmukhiya.ac.in,placement@balwantsinghmukhiya.ac.in,+91-80-887-0647,Mechanical Engineering,B.Tech,60,210,1995,Urban,Yes,No
1-44640302403,1-44640302403,U-0735,BALWANT SINGH MUKHIYA ( BSM) COLLEGE OF ENGINEERING,Active,Uttarakhand,Haridwar,Haridwar,"2 KM. MILESTONE ROORKEE LAKSAR ROAD VILL- NAGLA IMARTI, ROORKEE",248869,30.067949,79.037958,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.balwantsinghmukhiya.ac.in,info@balwantsinghmukhiya.ac.in,admissions@balwantsinghmukhiya.ac.in,placement@balwantsinghmukhiya.ac.in,+91-80-887-0647,Computer Science Engineering (CSE),B.Tech,30,210,1995,Urban,Yes,No
1-44640302403,1-44640302403,U-0735,BALWANT SINGH MUKHIYA ( BSM) COLLEGE OF ENGINEERING,Active,Uttarakhand,Haridwar,Haridwar,"2 KM. MILESTONE ROORKEE LAKSAR ROAD VILL- NAGLA IMARTI, ROORKEE",248869,30.067949,79.037958,Private-Self Financing,"Uttarakhand Technical University, Dehradun",Approved,Approved,Not Accredited,No,,Tier 3,http://www.balwantsinghmukhiya.ac.in,info@balwantsinghmukhiya.ac.in,admissions@balwantsinghmukhiya.ac.in,placement@balwantsinghmukhiya.ac.in,+91-80-887-0647,Electrical Engineering,B.Tech,60,210,1995,Urban,Yes,No
1-44640604156,1-44640604156,U-0343,COLLEGE OF ADVANCED TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,PUHANA-IQBALPUR RAOD OPP. RIT COLLEGE VILL- NANHERA ANANTPUR BHAGWANPUR,248869,30.079021,79.026121,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.advanced.ac.in,info@advanced.ac.in,admissions@advanced.ac.in,placement@advanced.ac.in,+91-80-351-4411,Civil Engineering,Diploma,90,255,2011,Rural,Yes,Yes
1-44640604156,1-44640604156,U-0343,COLLEGE OF ADVANCED TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,PUHANA-IQBALPUR RAOD OPP. RIT COLLEGE VILL- NANHERA ANANTPUR BHAGWANPUR,248869,30.079021,79.026121,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.advanced.ac.in,info@advanced.ac.in,admissions@advanced.ac.in,placement@advanced.ac.in,+91-80-351-4411,Electrical Engineering,Diploma,60,255,2011,Rural,Yes,Yes
1-44640604156,1-44640604156,U-0343,COLLEGE OF ADVANCED TECHNOLOGY,Active,Uttarakhand,Haridwar,Haridwar,PUHANA-IQBALPUR RAOD OPP. RIT COLLEGE VILL- NANHERA ANANTPUR BHAGWANPUR,248869,30.079021,79.026121,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B+,No,,Tier 3,http://www.advanced.ac.in,info@advanced.ac.in,admissions@advanced.ac.in,placement@advanced.ac.in,+91-80-351-4411,Mechanical Engineering,Diploma,105,255,2011,Rural,Yes,Yes
1-44640268461,1-44640268461,U-0678,BISHAMBER SAHAI DIPLOMA ENGINEERING COLLEGE,Active,Uttarakhand,Haridwar,Haridwar,"6TH KM STONE, ROORKEE SAHARNPUR ROAD,",248869,30.068603,79.028376,Private-Self Financing,Uttrakhand Board of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.bishambersahaidiploma.ac.in,info@bishambersahaidiploma.ac.in,admissions@bishambersahaidiploma.ac.in,placement@bishambersahaidiploma.ac.in,+91-80-914-4762,Civil Engineering,Diploma,120,300,2019,Rural,No,Yes
