College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638219698,1-44638219698,U-0957,GOVERNMENT POLYTECHNIC MOSALEHOSAHALLI,Active,Karnataka,Hassan,Hassan,"MOSALEHOSAHALLI, HASSAN",560729,15.308429,75.722066,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.mosalehosahalli.ac.in,info@mosalehosahalli.ac.in,admissions@mosalehosahalli.ac.in,placement@mosalehosahalli.ac.in,+91-80-466-7828,Civil Engineering,Diploma,54,270,2001,Rural,Yes,Yes
1-44638219698,1-44638219698,U-0957,GOVERNMENT POLYTECHNIC MOSALEHOSAHALLI,Active,Karnataka,Hassan,Hassan,"MOSALEHOSAHALLI, HASSAN",560729,15.308429,75.722066,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.mosalehosahalli.ac.in,info@mosalehosahalli.ac.in,admissions@mosalehosahalli.ac.in,placement@mosalehosahalli.ac.in,+91-80-466-7828,Computer Science Engineering (CSE),Diploma,54,270,2001,Rural,Yes,Yes
1-44638219698,1-44638219698,U-0957,GOVERNMENT POLYTECHNIC MOSALEHOSAHALLI,Active,Karnataka,Hassan,Hassan,"MOSALEHOSAHALLI, HASSAN",560729,15.308429,75.722066,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.mosalehosahalli.ac.in,info@mosalehosahalli.ac.in,admissions@mosalehosahalli.ac.in,placement@mosalehosahalli.ac.in,+91-80-466-7828,Electronics & Communication Engineering (ECE),Diploma,54,270,2001,Rural,Yes,Yes
1-44638219698,1-44638219698,U-0957,GOVERNMENT POLYTECHNIC MOSALEHOSAHALLI,Active,Karnataka,Hassan,Hassan,"MOSALEHOSAHALLI, HASSAN",560729,15.308429,75.722066,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.mosalehosahalli.ac.in,info@mosalehosahalli.ac.in,admissions@mosalehosahalli.ac.in,placement@mosalehosahalli.ac.in,+91-80-466-7828,Electrical & Electronics Engineering (EEE),Diploma,54,270,2001,Rural,Yes,Yes
1-44638219698,1-44638219698,U-0957,GOVERNMENT POLYTECHNIC MOSALEHOSAHALLI,Active,Karnataka,Hassan,Hassan,"MOSALEHOSAHALLI, HASSAN",560729,15.308429,75.722066,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.mosalehosahalli.ac.in,info@mosalehosahalli.ac.in,admissions@mosalehosahalli.ac.in,placement@mosalehosahalli.ac.in,+91-80-466-7828,Other Engineering Branches,Diploma,54,270,2001,Rural,Yes,Yes
1-44638265268,1-44638265268,U-0957,GOVERNMENT  POLYTECHNIC FOR WOMEN,Active,Karnataka,Hassan,Hassan,HOLENARASIPURA,560729,15.313014,75.705602,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.women.ac.in,info@women.ac.in,admissions@women.ac.in,placement@women.ac.in,+91-80-659-1050,Civil Engineering,Diploma,54,270,1998,Urban,Yes,Yes
1-44638265268,1-44638265268,U-0957,GOVERNMENT  POLYTECHNIC FOR WOMEN,Active,Karnataka,Hassan,Hassan,HOLENARASIPURA,560729,15.313014,75.705602,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.women.ac.in,info@women.ac.in,admissions@women.ac.in,placement@women.ac.in,+91-80-659-1050,Electronics & Communication Engineering (ECE),Diploma,54,270,1998,Urban,Yes,Yes
1-44638265268,1-44638265268,U-0957,GOVERNMENT  POLYTECHNIC FOR WOMEN,Active,Karnataka,Hassan,Hassan,HOLENARASIPURA,560729,15.313014,75.705602,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.women.ac.in,info@women.ac.in,admissions@women.ac.in,placement@women.ac.in,+91-80-659-1050,Computer Science Engineering (CSE),Diploma,54,270,1998,Urban,Yes,Yes
1-44638265268,1-44638265268,U-0957,GOVERNMENT  POLYTECHNIC FOR WOMEN,Active,Karnataka,Hassan,Hassan,HOLENARASIPURA,560729,15.313014,75.705602,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.women.ac.in,info@women.ac.in,admissions@women.ac.in,placement@women.ac.in,+91-80-659-1050,Electrical & Electronics Engineering (EEE),Diploma,54,270,1998,Urban,Yes,Yes
1-44638265268,1-44638265268,U-0957,GOVERNMENT  POLYTECHNIC FOR WOMEN,Active,Karnataka,Hassan,Hassan,HOLENARASIPURA,560729,15.313014,75.705602,Government,"Department of Technical Education, Bangalore",Approved,Approved,B++,Yes,,Tier 3,http://www.women.ac.in,info@women.ac.in,admissions@women.ac.in,placement@women.ac.in,+91-80-659-1050,Other Engineering Branches,Diploma,54,270,1998,Urban,Yes,Yes
