College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638489487,1-44638489487,U-0449,R B GAUTAM POLYTECHNIC,Active,Uttar Pradesh,Hathras,Hathras,"HATHRAS AGRA ROAD, SADABAD",201273,26.828466,80.947461,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.rbgautam.ac.in,info@rbgautam.ac.in,admissions@rbgautam.ac.in,placement@rbgautam.ac.in,+91-80-074-0744,Electrical Engineering,Diploma,45,225,1988,Urban,Yes,Yes
1-44638489487,1-44638489487,U-0449,R B GAUTAM POLYTECHNIC,Active,Uttar Pradesh,Hathras,Hathras,"HATHRAS AGRA ROAD, SADABAD",201273,26.828466,80.947461,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.rbgautam.ac.in,info@rbgautam.ac.in,admissions@rbgautam.ac.in,placement@rbgautam.ac.in,+91-80-074-0744,Civil Engineering,Diploma,90,225,1988,Urban,Yes,Yes
1-44638489487,1-44638489487,U-0449,R B GAUTAM POLYTECHNIC,Active,Uttar Pradesh,Hathras,Hathras,"HATHRAS AGRA ROAD, SADABAD",201273,26.828466,80.947461,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.rbgautam.ac.in,info@rbgautam.ac.in,admissions@rbgautam.ac.in,placement@rbgautam.ac.in,+91-80-074-0744,Mechanical Engineering,Diploma,90,225,1988,Urban,Yes,Yes
1-44638699949,1-44638699949,U-0164,MAYA INSTITUTE OF PHARMACY,Active,Uttar Pradesh,Hathras,Hathras,MAYA INSTITUTE MANDU ROAD SHOKHNA HATHRAS (UP),201273,26.866533,80.953812,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.mayapharmacy.ac.in,info@mayapharmacy.ac.in,admissions@mayapharmacy.ac.in,placement@mayapharmacy.ac.in,+91-80-670-7248,Electronics & Communication Engineering (ECE),B.Tech,60,300,2016,Urban,No,Yes
1-44638699949,1-44638699949,U-0164,MAYA INSTITUTE OF PHARMACY,Active,Uttar Pradesh,Hathras,Hathras,MAYA INSTITUTE MANDU ROAD SHOKHNA HATHRAS (UP),201273,26.866533,80.953812,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.mayapharmacy.ac.in,info@mayapharmacy.ac.in,admissions@mayapharmacy.ac.in,placement@mayapharmacy.ac.in,+91-80-670-7248,Computer Science Engineering (CSE),B.Tech,120,300,2016,Urban,No,Yes
1-44638699949,1-44638699949,U-0164,MAYA INSTITUTE OF PHARMACY,Active,Uttar Pradesh,Hathras,Hathras,MAYA INSTITUTE MANDU ROAD SHOKHNA HATHRAS (UP),201273,26.866533,80.953812,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.mayapharmacy.ac.in,info@mayapharmacy.ac.in,admissions@mayapharmacy.ac.in,placement@mayapharmacy.ac.in,+91-80-670-7248,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,300,2016,Urban,No,Yes
1-44638699949,1-44638699949,U-0164,MAYA INSTITUTE OF PHARMACY,Active,Uttar Pradesh,Hathras,Hathras,MAYA INSTITUTE MANDU ROAD SHOKHNA HATHRAS (UP),201273,26.866533,80.953812,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.mayapharmacy.ac.in,info@mayapharmacy.ac.in,admissions@mayapharmacy.ac.in,placement@mayapharmacy.ac.in,+91-80-670-7248,Data Science,B.Tech,60,300,2016,Urban,No,Yes
1-44754014724,1-44754014724,U-0675,GOVERNMENT POLYTECHNIC SIKANDRA RAO HATHTRAS,Active,Uttar Pradesh,Hathras,Hathras,"LODHEPUR PATTI DEVARI (VILL), SIKANDRA RAO (TEHSIL), HATHRAS (DIST), UP",201273,26.865958,80.963711,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.sikandraraohathtras.ac.in,info@sikandraraohathtras.ac.in,admissions@sikandraraohathtras.ac.in,placement@sikandraraohathtras.ac.in,+91-80-646-6160,Automobile Engineering,Diploma,90,360,2001,Rural,No,Yes
1-44754014724,1-44754014724,U-0675,GOVERNMENT POLYTECHNIC SIKANDRA RAO HATHTRAS,Active,Uttar Pradesh,Hathras,Hathras,"LODHEPUR PATTI DEVARI (VILL), SIKANDRA RAO (TEHSIL), HATHRAS (DIST), UP",201273,26.865958,80.963711,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.sikandraraohathtras.ac.in,info@sikandraraohathtras.ac.in,admissions@sikandraraohathtras.ac.in,placement@sikandraraohathtras.ac.in,+91-80-646-6160,Computer Science Engineering (CSE),Diploma,90,360,2001,Rural,No,Yes
1-44754014724,1-44754014724,U-0675,GOVERNMENT POLYTECHNIC SIKANDRA RAO HATHTRAS,Active,Uttar Pradesh,Hathras,Hathras,"LODHEPUR PATTI DEVARI (VILL), SIKANDRA RAO (TEHSIL), HATHRAS (DIST), UP",201273,26.865958,80.963711,Government,"BOARD OF TECHNICAL EDUCATION, LUCKNOW",Approved,Approved,A+,Yes,,Tier 2,http://www.sikandraraohathtras.ac.in,info@sikandraraohathtras.ac.in,admissions@sikandraraohathtras.ac.in,placement@sikandraraohathtras.ac.in,+91-80-646-6160,Electrical Engineering,Diploma,90,360,2001,Rural,No,Yes
