College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640845641,1-44640845641,U-0294,"SRI CHANNAKESHAVA GOVERNMENT POLYTECHNIC COLLEGE, GUDDADA CHANNAPURA, BANKAPURA",Active,Karnataka,Haveri,Haveri,HANAGAL ROAD,560101,15.306679,75.702793,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.srichannakeshavaguddada.ac.in,info@srichannakeshavaguddada.ac.in,admissions@srichannakeshavaguddada.ac.in,placement@srichannakeshavaguddada.ac.in,+91-80-393-3752,Civil Engineering,Diploma,60,270,1994,Urban,Yes,Yes
1-44640845641,1-44640845641,U-0294,"SRI CHANNAKESHAVA GOVERNMENT POLYTECHNIC COLLEGE, GUDDADA CHANNAPURA, BANKAPURA",Active,Karnataka,Haveri,Haveri,HANAGAL ROAD,560101,15.306679,75.702793,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.srichannakeshavaguddada.ac.in,info@srichannakeshavaguddada.ac.in,admissions@srichannakeshavaguddada.ac.in,placement@srichannakeshavaguddada.ac.in,+91-80-393-3752,Mechanical Engineering,Diploma,60,270,1994,Urban,Yes,Yes
1-44640845641,1-44640845641,U-0294,"SRI CHANNAKESHAVA GOVERNMENT POLYTECHNIC COLLEGE, GUDDADA CHANNAPURA, BANKAPURA",Active,Karnataka,Haveri,Haveri,HANAGAL ROAD,560101,15.306679,75.702793,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.srichannakeshavaguddada.ac.in,info@srichannakeshavaguddada.ac.in,admissions@srichannakeshavaguddada.ac.in,placement@srichannakeshavaguddada.ac.in,+91-80-393-3752,Electronics & Communication Engineering (ECE),Diploma,60,270,1994,Urban,Yes,Yes
1-44640845641,1-44640845641,U-0294,"SRI CHANNAKESHAVA GOVERNMENT POLYTECHNIC COLLEGE, GUDDADA CHANNAPURA, BANKAPURA",Active,Karnataka,Haveri,Haveri,HANAGAL ROAD,560101,15.306679,75.702793,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.srichannakeshavaguddada.ac.in,info@srichannakeshavaguddada.ac.in,admissions@srichannakeshavaguddada.ac.in,placement@srichannakeshavaguddada.ac.in,+91-80-393-3752,Computer Science Engineering (CSE),Diploma,60,270,1994,Urban,Yes,Yes
1-44640845641,1-44640845641,U-0294,"SRI CHANNAKESHAVA GOVERNMENT POLYTECHNIC COLLEGE, GUDDADA CHANNAPURA, BANKAPURA",Active,Karnataka,Haveri,Haveri,HANAGAL ROAD,560101,15.306679,75.702793,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.srichannakeshavaguddada.ac.in,info@srichannakeshavaguddada.ac.in,admissions@srichannakeshavaguddada.ac.in,placement@srichannakeshavaguddada.ac.in,+91-80-393-3752,Other Engineering Branches,Diploma,30,270,1994,Urban,Yes,Yes
1-44640799456,1-44640799456,U-0957,K V POLYTECHNIC,Active,Karnataka,Haveri,Haveri,K V POLYTECHNIC BEHIND TILES FACTORY P B ROAD,560101,15.326348,75.715893,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.kv.ac.in,info@kv.ac.in,admissions@kv.ac.in,placement@kv.ac.in,+91-80-218-3436,Civil Engineering,Diploma,50,230,1987,Rural,Yes,No
1-44640799456,1-44640799456,U-0957,K V POLYTECHNIC,Active,Karnataka,Haveri,Haveri,K V POLYTECHNIC BEHIND TILES FACTORY P B ROAD,560101,15.326348,75.715893,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.kv.ac.in,info@kv.ac.in,admissions@kv.ac.in,placement@kv.ac.in,+91-80-218-3436,Mechanical Engineering,Diploma,50,230,1987,Rural,Yes,No
1-44640799456,1-44640799456,U-0957,K V POLYTECHNIC,Active,Karnataka,Haveri,Haveri,K V POLYTECHNIC BEHIND TILES FACTORY P B ROAD,560101,15.326348,75.715893,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.kv.ac.in,info@kv.ac.in,admissions@kv.ac.in,placement@kv.ac.in,+91-80-218-3436,Electrical & Electronics Engineering (EEE),Diploma,50,230,1987,Rural,Yes,No
1-44640799456,1-44640799456,U-0957,K V POLYTECHNIC,Active,Karnataka,Haveri,Haveri,K V POLYTECHNIC BEHIND TILES FACTORY P B ROAD,560101,15.326348,75.715893,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.kv.ac.in,info@kv.ac.in,admissions@kv.ac.in,placement@kv.ac.in,+91-80-218-3436,Computer Science Engineering (CSE),Diploma,30,230,1987,Rural,Yes,No
1-44640799456,1-44640799456,U-0957,K V POLYTECHNIC,Active,Karnataka,Haveri,Haveri,K V POLYTECHNIC BEHIND TILES FACTORY P B ROAD,560101,15.326348,75.715893,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.kv.ac.in,info@kv.ac.in,admissions@kv.ac.in,placement@kv.ac.in,+91-80-218-3436,Electronics & Communication Engineering (ECE),Diploma,50,230,1987,Rural,Yes,No
