College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637292867,1-44637292867,U-0095,AISECT UNIVERSITY,Active,Jharkhand,Hazaribag,Hazaribag,"VILL-JONHIYA,  P.O- DARU, THANA-DARU",834194,23.616596,85.286614,State Private University,"AISECT UNIVERSITY,BHOPAL",Approved,Approved,B++,No,,Tier 3,http://www.aisect.ac.in,info@aisect.ac.in,admissions@aisect.ac.in,placement@aisect.ac.in,+91-80-107-1402,Computer Science Engineering (CSE),Diploma,60,300,2016,Urban,No,Yes
1-44637292867,1-44637292867,U-0095,AISECT UNIVERSITY,Active,Jharkhand,Hazaribag,Hazaribag,"VILL-JONHIYA,  P.O- DARU, THANA-DARU",834194,23.616596,85.286614,State Private University,"AISECT UNIVERSITY,BHOPAL",Approved,Approved,B++,No,,Tier 3,http://www.aisect.ac.in,info@aisect.ac.in,admissions@aisect.ac.in,placement@aisect.ac.in,+91-80-107-1402,Civil Engineering,Diploma,60,300,2016,Urban,No,Yes
1-44637292867,1-44637292867,U-0095,AISECT UNIVERSITY,Active,Jharkhand,Hazaribag,Hazaribag,"VILL-JONHIYA,  P.O- DARU, THANA-DARU",834194,23.616596,85.286614,State Private University,"AISECT UNIVERSITY,BHOPAL",Approved,Approved,B++,No,,Tier 3,http://www.aisect.ac.in,info@aisect.ac.in,admissions@aisect.ac.in,placement@aisect.ac.in,+91-80-107-1402,Mechanical Engineering,Diploma,60,300,2016,Urban,No,Yes
1-44637292867,1-44637292867,U-0095,AISECT UNIVERSITY,Active,Jharkhand,Hazaribag,Hazaribag,"VILL-JONHIYA,  P.O- DARU, THANA-DARU",834194,23.616596,85.286614,State Private University,"AISECT UNIVERSITY,BHOPAL",Approved,Approved,B++,No,,Tier 3,http://www.aisect.ac.in,info@aisect.ac.in,admissions@aisect.ac.in,placement@aisect.ac.in,+91-80-107-1402,Electrical Engineering,Diploma,60,300,2016,Urban,No,Yes
1-44637292867,1-44637292867,U-0095,AISECT UNIVERSITY,Active,Jharkhand,Hazaribag,Hazaribag,"VILL-JONHIYA,  P.O- DARU, THANA-DARU",834194,23.616596,85.286614,State Private University,"AISECT UNIVERSITY,BHOPAL",Approved,Approved,B++,No,,Tier 3,http://www.aisect.ac.in,info@aisect.ac.in,admissions@aisect.ac.in,placement@aisect.ac.in,+91-80-107-1402,Mining Engineering,Diploma,60,300,2016,Urban,No,Yes
1-44639356057,1-44639356057,U-0992,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY (UCET),Active,Jharkhand,Hazaribag,Hazaribag,"UCET, VINOBA BHAVE UNIVERSITY, RANCHI - PATNA ROAD, NH - 33",834194,23.615078,85.262177,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.ucet.ac.in,info@ucet.ac.in,admissions@ucet.ac.in,placement@ucet.ac.in,+91-80-043-4574,Mechanical Engineering,B.Tech,60,210,1990,Urban,Yes,Yes
1-44639356057,1-44639356057,U-0992,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY (UCET),Active,Jharkhand,Hazaribag,Hazaribag,"UCET, VINOBA BHAVE UNIVERSITY, RANCHI - PATNA ROAD, NH - 33",834194,23.615078,85.262177,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.ucet.ac.in,info@ucet.ac.in,admissions@ucet.ac.in,placement@ucet.ac.in,+91-80-043-4574,Electronics & Communication Engineering (ECE),B.Tech,60,210,1990,Urban,Yes,Yes
1-44639356057,1-44639356057,U-0992,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY (UCET),Active,Jharkhand,Hazaribag,Hazaribag,"UCET, VINOBA BHAVE UNIVERSITY, RANCHI - PATNA ROAD, NH - 33",834194,23.615078,85.262177,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.ucet.ac.in,info@ucet.ac.in,admissions@ucet.ac.in,placement@ucet.ac.in,+91-80-043-4574,Computer Science Engineering (CSE),B.Tech,45,210,1990,Urban,Yes,Yes
1-44639356057,1-44639356057,U-0992,UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY (UCET),Active,Jharkhand,Hazaribag,Hazaribag,"UCET, VINOBA BHAVE UNIVERSITY, RANCHI - PATNA ROAD, NH - 33",834194,23.615078,85.262177,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.ucet.ac.in,info@ucet.ac.in,admissions@ucet.ac.in,placement@ucet.ac.in,+91-80-043-4574,Information Technology (IT),B.Tech,45,210,1990,Urban,Yes,Yes
1-44645366958,1-44645366958,U-0871,GOVERNMENT POLYTECHNIC HAZARIBAG,Active,Jharkhand,Hazaribag,Hazaribag,AT: SILWAR KHURD POST: SILWAR KHURD ,834194,23.625492,85.289385,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.hazaribag.ac.in,info@hazaribag.ac.in,admissions@hazaribag.ac.in,placement@hazaribag.ac.in,+91-80-480-2620,Civil Engineering,Diploma,60,300,1981,Urban,Yes,Yes
1-44645366958,1-44645366958,U-0871,GOVERNMENT POLYTECHNIC HAZARIBAG,Active,Jharkhand,Hazaribag,Hazaribag,AT: SILWAR KHURD POST: SILWAR KHURD ,834194,23.625492,85.289385,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.hazaribag.ac.in,info@hazaribag.ac.in,admissions@hazaribag.ac.in,placement@hazaribag.ac.in,+91-80-480-2620,Electrical Engineering,Diploma,60,300,1981,Urban,Yes,Yes
1-44645366958,1-44645366958,U-0871,GOVERNMENT POLYTECHNIC HAZARIBAG,Active,Jharkhand,Hazaribag,Hazaribag,AT: SILWAR KHURD POST: SILWAR KHURD ,834194,23.625492,85.289385,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.hazaribag.ac.in,info@hazaribag.ac.in,admissions@hazaribag.ac.in,placement@hazaribag.ac.in,+91-80-480-2620,Automobile Engineering,Diploma,60,300,1981,Urban,Yes,Yes
1-44645366958,1-44645366958,U-0871,GOVERNMENT POLYTECHNIC HAZARIBAG,Active,Jharkhand,Hazaribag,Hazaribag,AT: SILWAR KHURD POST: SILWAR KHURD ,834194,23.625492,85.289385,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.hazaribag.ac.in,info@hazaribag.ac.in,admissions@hazaribag.ac.in,placement@hazaribag.ac.in,+91-80-480-2620,Mining Engineering,Diploma,60,300,1981,Urban,Yes,Yes
1-44645366958,1-44645366958,U-0871,GOVERNMENT POLYTECHNIC HAZARIBAG,Active,Jharkhand,Hazaribag,Hazaribag,AT: SILWAR KHURD POST: SILWAR KHURD ,834194,23.625492,85.289385,Government,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,A+,Yes,,Tier 2,http://www.hazaribag.ac.in,info@hazaribag.ac.in,admissions@hazaribag.ac.in,placement@hazaribag.ac.in,+91-80-480-2620,Other Engineering Branches,Diploma,60,300,1981,Urban,Yes,Yes
