College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638146123,1-44638146123,U-0339,ARAMBAGH GOVERNMENT POLYTECHNIC,Active,West Bengal,Hooghly,Hooghly,"BURDWAN ROAD, CHANDUR BHATA MORE, DOULATPUR, ARAMBAGH, HOOGHLY",700675,22.899444,88.389578,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.arambagh.ac.in,info@arambagh.ac.in,admissions@arambagh.ac.in,placement@arambagh.ac.in,+91-80-689-7277,Civil Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44638146123,1-44638146123,U-0339,ARAMBAGH GOVERNMENT POLYTECHNIC,Active,West Bengal,Hooghly,Hooghly,"BURDWAN ROAD, CHANDUR BHATA MORE, DOULATPUR, ARAMBAGH, HOOGHLY",700675,22.899444,88.389578,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.arambagh.ac.in,info@arambagh.ac.in,admissions@arambagh.ac.in,placement@arambagh.ac.in,+91-80-689-7277,Electrical Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44638146123,1-44638146123,U-0339,ARAMBAGH GOVERNMENT POLYTECHNIC,Active,West Bengal,Hooghly,Hooghly,"BURDWAN ROAD, CHANDUR BHATA MORE, DOULATPUR, ARAMBAGH, HOOGHLY",700675,22.899444,88.389578,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.arambagh.ac.in,info@arambagh.ac.in,admissions@arambagh.ac.in,placement@arambagh.ac.in,+91-80-689-7277,Mechanical Engineering,Diploma,60,180,1986,Urban,Yes,Yes
1-44640048164,1-44640048164,U-0339,WEST BENGAL SURVEY INSTITUTE,Active,West Bengal,Hooghly,Hooghly,"P.O.- BANDEL JUNCTION, BANDEL, HOOGHLY",700675,22.916782,88.385846,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.westbengalsurvey.ac.in,info@westbengalsurvey.ac.in,admissions@westbengalsurvey.ac.in,placement@westbengalsurvey.ac.in,+91-80-416-9189,Civil Engineering,Diploma,60,150,1999,Rural,No,Yes
1-44640048164,1-44640048164,U-0339,WEST BENGAL SURVEY INSTITUTE,Active,West Bengal,Hooghly,Hooghly,"P.O.- BANDEL JUNCTION, BANDEL, HOOGHLY",700675,22.916782,88.385846,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.westbengalsurvey.ac.in,info@westbengalsurvey.ac.in,admissions@westbengalsurvey.ac.in,placement@westbengalsurvey.ac.in,+91-80-416-9189,Information Technology (IT),Diploma,30,150,1999,Rural,No,Yes
1-44640048164,1-44640048164,U-0339,WEST BENGAL SURVEY INSTITUTE,Active,West Bengal,Hooghly,Hooghly,"P.O.- BANDEL JUNCTION, BANDEL, HOOGHLY",700675,22.916782,88.385846,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.westbengalsurvey.ac.in,info@westbengalsurvey.ac.in,admissions@westbengalsurvey.ac.in,placement@westbengalsurvey.ac.in,+91-80-416-9189,Other Engineering Branches,Diploma,60,150,1999,Rural,No,Yes
1-44640155931,1-44640155931,U-0365,ACADEMY OF TECHNOLOGY,Active,West Bengal,Hooghly,Hooghly,"G. T. ROAD, ADISAPTAGRAM P.O:AEDCONAGAR DIST-HOOGHLY WEST BENGAL",700675,22.911373,88.397891,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,B,No,,Tier 3,http://www.academy.ac.in,info@academy.ac.in,admissions@academy.ac.in,placement@academy.ac.in,+91-80-190-0594,Computer Science Engineering (CSE),B.Tech,240,660,2004,Urban,Yes,Yes
1-44640155931,1-44640155931,U-0365,ACADEMY OF TECHNOLOGY,Active,West Bengal,Hooghly,Hooghly,"G. T. ROAD, ADISAPTAGRAM P.O:AEDCONAGAR DIST-HOOGHLY WEST BENGAL",700675,22.911373,88.397891,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,B,No,,Tier 3,http://www.academy.ac.in,info@academy.ac.in,admissions@academy.ac.in,placement@academy.ac.in,+91-80-190-0594,Electronics & Communication Engineering (ECE),B.Tech,180,660,2004,Urban,Yes,Yes
1-44640155931,1-44640155931,U-0365,ACADEMY OF TECHNOLOGY,Active,West Bengal,Hooghly,Hooghly,"G. T. ROAD, ADISAPTAGRAM P.O:AEDCONAGAR DIST-HOOGHLY WEST BENGAL",700675,22.911373,88.397891,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,B,No,,Tier 3,http://www.academy.ac.in,info@academy.ac.in,admissions@academy.ac.in,placement@academy.ac.in,+91-80-190-0594,Electrical Engineering,B.Tech,60,660,2004,Urban,Yes,Yes
1-44640155931,1-44640155931,U-0365,ACADEMY OF TECHNOLOGY,Active,West Bengal,Hooghly,Hooghly,"G. T. ROAD, ADISAPTAGRAM P.O:AEDCONAGAR DIST-HOOGHLY WEST BENGAL",700675,22.911373,88.397891,Private-Self Financing,"Maulana Abul Kalam Azad University of Technology, West Bengal",Approved,Approved,B,No,,Tier 3,http://www.academy.ac.in,info@academy.ac.in,admissions@academy.ac.in,placement@academy.ac.in,+91-80-190-0594,Mechanical Engineering,B.Tech,60,660,2004,Urban,Yes,Yes
