College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638525830,1-44638525830,U-0150,"S. AMARJIT SINGH SAHI GOVERNMENT POLYTECHNIC COLLEGE, TALWARA",Active,Punjab,Hoshiarpur,Hoshiarpur,"SECTOR-3, NEAR GOVERNMENT INDUSTRIAL TRAINING INSTITUTES ,TALWARA TEHSIL: MUKERIAN, DISTT.: HOSHIARPUR, PUNJAB-144216",144216,31.16023,75.333612,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.samarjitsingh.ac.in,info@samarjitsingh.ac.in,admissions@samarjitsingh.ac.in,placement@samarjitsingh.ac.in,+91-80-389-5503,Computer Science Engineering (CSE),Diploma,54,270,2018,Urban,Yes,Yes
1-44638525830,1-44638525830,U-0150,"S. AMARJIT SINGH SAHI GOVERNMENT POLYTECHNIC COLLEGE, TALWARA",Active,Punjab,Hoshiarpur,Hoshiarpur,"SECTOR-3, NEAR GOVERNMENT INDUSTRIAL TRAINING INSTITUTES ,TALWARA TEHSIL: MUKERIAN, DISTT.: HOSHIARPUR, PUNJAB-144216",144216,31.16023,75.333612,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.samarjitsingh.ac.in,info@samarjitsingh.ac.in,admissions@samarjitsingh.ac.in,placement@samarjitsingh.ac.in,+91-80-389-5503,Electrical Engineering,Diploma,54,270,2018,Urban,Yes,Yes
1-44638525830,1-44638525830,U-0150,"S. AMARJIT SINGH SAHI GOVERNMENT POLYTECHNIC COLLEGE, TALWARA",Active,Punjab,Hoshiarpur,Hoshiarpur,"SECTOR-3, NEAR GOVERNMENT INDUSTRIAL TRAINING INSTITUTES ,TALWARA TEHSIL: MUKERIAN, DISTT.: HOSHIARPUR, PUNJAB-144216",144216,31.16023,75.333612,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.samarjitsingh.ac.in,info@samarjitsingh.ac.in,admissions@samarjitsingh.ac.in,placement@samarjitsingh.ac.in,+91-80-389-5503,Electronics & Communication Engineering (ECE),Diploma,54,270,2018,Urban,Yes,Yes
1-44638525830,1-44638525830,U-0150,"S. AMARJIT SINGH SAHI GOVERNMENT POLYTECHNIC COLLEGE, TALWARA",Active,Punjab,Hoshiarpur,Hoshiarpur,"SECTOR-3, NEAR GOVERNMENT INDUSTRIAL TRAINING INSTITUTES ,TALWARA TEHSIL: MUKERIAN, DISTT.: HOSHIARPUR, PUNJAB-144216",144216,31.16023,75.333612,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.samarjitsingh.ac.in,info@samarjitsingh.ac.in,admissions@samarjitsingh.ac.in,placement@samarjitsingh.ac.in,+91-80-389-5503,Civil Engineering,Diploma,54,270,2018,Urban,Yes,Yes
1-44638525830,1-44638525830,U-0150,"S. AMARJIT SINGH SAHI GOVERNMENT POLYTECHNIC COLLEGE, TALWARA",Active,Punjab,Hoshiarpur,Hoshiarpur,"SECTOR-3, NEAR GOVERNMENT INDUSTRIAL TRAINING INSTITUTES ,TALWARA TEHSIL: MUKERIAN, DISTT.: HOSHIARPUR, PUNJAB-144216",144216,31.16023,75.333612,Government,Punjab State Board of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.samarjitsingh.ac.in,info@samarjitsingh.ac.in,admissions@samarjitsingh.ac.in,placement@samarjitsingh.ac.in,+91-80-389-5503,Mechanical Engineering,Diploma,54,270,2018,Urban,Yes,Yes
1-44639565731,1-44639565731,U-0150,ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC,Active,Punjab,Hoshiarpur,Hoshiarpur,BASSI ROAD CHHABEWAL DISTT. HOSHIARPUR,140817,31.14784,75.324937,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldierpharmacy.ac.in,info@stsoldierpharmacy.ac.in,admissions@stsoldierpharmacy.ac.in,placement@stsoldierpharmacy.ac.in,+91-80-869-8903,Civil Engineering,Diploma,30,270,1996,Urban,No,Yes
1-44639565731,1-44639565731,U-0150,ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC,Active,Punjab,Hoshiarpur,Hoshiarpur,BASSI ROAD CHHABEWAL DISTT. HOSHIARPUR,140817,31.14784,75.324937,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldierpharmacy.ac.in,info@stsoldierpharmacy.ac.in,admissions@stsoldierpharmacy.ac.in,placement@stsoldierpharmacy.ac.in,+91-80-869-8903,Mechanical Engineering,Diploma,60,270,1996,Urban,No,Yes
1-44639565731,1-44639565731,U-0150,ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC,Active,Punjab,Hoshiarpur,Hoshiarpur,BASSI ROAD CHHABEWAL DISTT. HOSHIARPUR,140817,31.14784,75.324937,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldierpharmacy.ac.in,info@stsoldierpharmacy.ac.in,admissions@stsoldierpharmacy.ac.in,placement@stsoldierpharmacy.ac.in,+91-80-869-8903,Computer Science Engineering (CSE),Diploma,60,270,1996,Urban,No,Yes
1-44639565731,1-44639565731,U-0150,ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC,Active,Punjab,Hoshiarpur,Hoshiarpur,BASSI ROAD CHHABEWAL DISTT. HOSHIARPUR,140817,31.14784,75.324937,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldierpharmacy.ac.in,info@stsoldierpharmacy.ac.in,admissions@stsoldierpharmacy.ac.in,placement@stsoldierpharmacy.ac.in,+91-80-869-8903,Electrical Engineering,Diploma,60,270,1996,Urban,No,Yes
1-44639565731,1-44639565731,U-0150,ST. SOLDIER INSTITUTE OF PHARMACY & POLYTECHNIC,Active,Punjab,Hoshiarpur,Hoshiarpur,BASSI ROAD CHHABEWAL DISTT. HOSHIARPUR,140817,31.14784,75.324937,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.stsoldierpharmacy.ac.in,info@stsoldierpharmacy.ac.in,admissions@stsoldierpharmacy.ac.in,placement@stsoldierpharmacy.ac.in,+91-80-869-8903,Other Engineering Branches,Diploma,60,270,1996,Urban,No,Yes
