College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638345992,1-44638345992,U-0992,KONERU LAKSHMAIAH EDUCATION FOUNDATION DEEMED TO B UNIVERSITY OFF CAMPUS AZIZNAGAR HYDERABAD,Active,Telangana,Hyderabad,Hyderabad,"AZIZNAGAR, HYDERABAD",500042,17.388313,78.488119,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.konerulakshmaiaheducation.ac.in,info@konerulakshmaiaheducation.ac.in,admissions@konerulakshmaiaheducation.ac.in,placement@konerulakshmaiaheducation.ac.in,+91-80-977-8057,Electronics & Communication Engineering (ECE),B.Tech,120,540,2002,Urban,No,Yes
1-44638345992,1-44638345992,U-0992,KONERU LAKSHMAIAH EDUCATION FOUNDATION DEEMED TO B UNIVERSITY OFF CAMPUS AZIZNAGAR HYDERABAD,Active,Telangana,Hyderabad,Hyderabad,"AZIZNAGAR, HYDERABAD",500042,17.388313,78.488119,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.konerulakshmaiaheducation.ac.in,info@konerulakshmaiaheducation.ac.in,admissions@konerulakshmaiaheducation.ac.in,placement@konerulakshmaiaheducation.ac.in,+91-80-977-8057,Computer Science Engineering (CSE),B.Tech,360,540,2002,Urban,No,Yes
1-44638345992,1-44638345992,U-0992,KONERU LAKSHMAIAH EDUCATION FOUNDATION DEEMED TO B UNIVERSITY OFF CAMPUS AZIZNAGAR HYDERABAD,Active,Telangana,Hyderabad,Hyderabad,"AZIZNAGAR, HYDERABAD",500042,17.388313,78.488119,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.konerulakshmaiaheducation.ac.in,info@konerulakshmaiaheducation.ac.in,admissions@konerulakshmaiaheducation.ac.in,placement@konerulakshmaiaheducation.ac.in,+91-80-977-8057,Data Science,B.Tech,60,540,2002,Urban,No,Yes
1-44638320071,1-44638320071,U-0391,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,Active,Telangana,Hyderabad,Hyderabad,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",500042,17.390884,78.484931,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.womensecunderabad.ac.in,info@womensecunderabad.ac.in,admissions@womensecunderabad.ac.in,placement@womensecunderabad.ac.in,+91-80-085-6308,Civil Engineering,Diploma,60,300,2007,Rural,Yes,Yes
1-44638320071,1-44638320071,U-0391,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,Active,Telangana,Hyderabad,Hyderabad,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",500042,17.390884,78.484931,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.womensecunderabad.ac.in,info@womensecunderabad.ac.in,admissions@womensecunderabad.ac.in,placement@womensecunderabad.ac.in,+91-80-085-6308,Electronics & Communication Engineering (ECE),Diploma,60,300,2007,Rural,Yes,Yes
1-44638320071,1-44638320071,U-0391,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,Active,Telangana,Hyderabad,Hyderabad,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",500042,17.390884,78.484931,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.womensecunderabad.ac.in,info@womensecunderabad.ac.in,admissions@womensecunderabad.ac.in,placement@womensecunderabad.ac.in,+91-80-085-6308,Computer Science Engineering (CSE),Diploma,60,300,2007,Rural,Yes,Yes
1-44638320071,1-44638320071,U-0391,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,Active,Telangana,Hyderabad,Hyderabad,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",500042,17.390884,78.484931,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.womensecunderabad.ac.in,info@womensecunderabad.ac.in,admissions@womensecunderabad.ac.in,placement@womensecunderabad.ac.in,+91-80-085-6308,Other Engineering Branches,Diploma,60,300,2007,Rural,Yes,Yes
1-44638320071,1-44638320071,U-0391,GOVERNMENT POLYTECHNIC FOR WOMEN SECUNDERABAD,Active,Telangana,Hyderabad,Hyderabad,"EAST NEHRU NAGAR, EAST MARREDPALLY, SECUNDERABAD",500042,17.390884,78.484931,Government,"State Board of Technical Education and Training, Hyderabad",Approved,Approved,A+,Yes,,Tier 2,http://www.womensecunderabad.ac.in,info@womensecunderabad.ac.in,admissions@womensecunderabad.ac.in,placement@womensecunderabad.ac.in,+91-80-085-6308,Electrical & Electronics Engineering (EEE),Diploma,60,300,2007,Rural,Yes,Yes
1-44638283141,1-44638283141,U-0940,DECCAN GROUP OF INSTITUTIONS,Active,Telangana,Hyderabad,Hyderabad,"DAR-US-SALAM, NAMPALLY",500042,17.40174,78.490386,Private-Self Financing,"Osmania University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.deccan.ac.in,info@deccan.ac.in,admissions@deccan.ac.in,placement@deccan.ac.in,+91-80-540-9815,Civil Engineering,B.Tech,60,666,2001,Rural,Yes,Yes
1-44638283141,1-44638283141,U-0940,DECCAN GROUP OF INSTITUTIONS,Active,Telangana,Hyderabad,Hyderabad,"DAR-US-SALAM, NAMPALLY",500042,17.40174,78.490386,Private-Self Financing,"Osmania University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.deccan.ac.in,info@deccan.ac.in,admissions@deccan.ac.in,placement@deccan.ac.in,+91-80-540-9815,Computer Science Engineering (CSE),B.Tech,360,666,2001,Rural,Yes,Yes
1-44638283141,1-44638283141,U-0940,DECCAN GROUP OF INSTITUTIONS,Active,Telangana,Hyderabad,Hyderabad,"DAR-US-SALAM, NAMPALLY",500042,17.40174,78.490386,Private-Self Financing,"Osmania University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.deccan.ac.in,info@deccan.ac.in,admissions@deccan.ac.in,placement@deccan.ac.in,+91-80-540-9815,Information Technology (IT),B.Tech,60,666,2001,Rural,Yes,Yes
1-44638283141,1-44638283141,U-0940,DECCAN GROUP OF INSTITUTIONS,Active,Telangana,Hyderabad,Hyderabad,"DAR-US-SALAM, NAMPALLY",500042,17.40174,78.490386,Private-Self Financing,"Osmania University, Hyderabad",Approved,Approved,B+,No,,Tier 3,http://www.deccan.ac.in,info@deccan.ac.in,admissions@deccan.ac.in,placement@deccan.ac.in,+91-80-540-9815,Electrical & Electronics Engineering (EEE),B.Tech,30,666,2001,Rural,Yes,Yes
