College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Automobile Engineering,B.Tech,30,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Mechanical Engineering,B.Tech,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Civil Engineering,B.Tech,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Electronics & Communication Engineering (ECE),B.Tech,30,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Computer Science Engineering (CSE),B.Tech,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Mechanical Engineering,Diploma,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Automobile Engineering,Diploma,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Civil Engineering,Diploma,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Computer Science Engineering (CSE),Diploma,60,840,2003,Rural,Yes,Yes
1-44638632273,1-44638632273,U-0672,AL-AZHAR COLLEGE OF ENGINEERING AND POLYTECHNIC,Active,Kerala,Idukki,Idukki,"PERUMPILLICHIRA P.O,THODUPUZHA,PIN-685605,IDUKKI (DT), KERALA STATE",685605,10.869364,76.269402,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.alazhar.ac.in,info@alazhar.ac.in,admissions@alazhar.ac.in,placement@alazhar.ac.in,+91-80-630-0405,Electronics & Communication Engineering (ECE),Diploma,30,840,2003,Rural,Yes,Yes
