College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639349865,1-44639349865,U-0096,MANIPUR INSTITUTE OF TECHNOLOGY,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.657706,93.895431,Government,"Manipur University, Imphal",Approved,Approved,B++,Yes,,Tier 3,http://www.manipur.ac.in,info@manipur.ac.in,admissions@manipur.ac.in,placement@manipur.ac.in,+91-80-587-4490,Civil Engineering,B.Tech,30,150,1995,Urban,Yes,No
1-44639349865,1-44639349865,U-0096,MANIPUR INSTITUTE OF TECHNOLOGY,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.657706,93.895431,Government,"Manipur University, Imphal",Approved,Approved,B++,Yes,,Tier 3,http://www.manipur.ac.in,info@manipur.ac.in,admissions@manipur.ac.in,placement@manipur.ac.in,+91-80-587-4490,Computer Science Engineering (CSE),B.Tech,30,150,1995,Urban,Yes,No
1-44639349865,1-44639349865,U-0096,MANIPUR INSTITUTE OF TECHNOLOGY,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.657706,93.895431,Government,"Manipur University, Imphal",Approved,Approved,B++,Yes,,Tier 3,http://www.manipur.ac.in,info@manipur.ac.in,admissions@manipur.ac.in,placement@manipur.ac.in,+91-80-587-4490,Electronics & Communication Engineering (ECE),B.Tech,30,150,1995,Urban,Yes,No
1-44639349865,1-44639349865,U-0096,MANIPUR INSTITUTE OF TECHNOLOGY,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.657706,93.895431,Government,"Manipur University, Imphal",Approved,Approved,B++,Yes,,Tier 3,http://www.manipur.ac.in,info@manipur.ac.in,admissions@manipur.ac.in,placement@manipur.ac.in,+91-80-587-4490,Mechanical Engineering,B.Tech,30,150,1995,Urban,Yes,No
1-44639349865,1-44639349865,U-0096,MANIPUR INSTITUTE OF TECHNOLOGY,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.657706,93.895431,Government,"Manipur University, Imphal",Approved,Approved,B++,Yes,,Tier 3,http://www.manipur.ac.in,info@manipur.ac.in,admissions@manipur.ac.in,placement@manipur.ac.in,+91-80-587-4490,Electrical Engineering,B.Tech,30,150,1995,Urban,Yes,No
1-44640678137,1-44640678137,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),Active,Manipur,Imphal West,Imphal West,INDUSTRIAL ESTATE TAKYELPAT,500944,24.65678,93.888174,Government,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-548-6091,Other Engineering Branches,Diploma,72,108,1986,Urban,Yes,No
1-44640678137,1-44640678137,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),Active,Manipur,Imphal West,Imphal West,INDUSTRIAL ESTATE TAKYELPAT,500944,24.65678,93.888174,Government,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-548-6091,Other Engineering Branches,M.Tech,36,108,1986,Urban,Yes,No
1-44641090219,1-44641090219,U-0096,GOVERNMENT POLYTECHNIC,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.678701,93.922804,Government,"Manipur University, Imphal",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,60,150,1995,Rural,Yes,Yes
1-44641090219,1-44641090219,U-0096,GOVERNMENT POLYTECHNIC,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.678701,93.922804,Government,"Manipur University, Imphal",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Mechanical Engineering,Diploma,20,150,1995,Rural,Yes,Yes
1-44641090219,1-44641090219,U-0096,GOVERNMENT POLYTECHNIC,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.678701,93.922804,Government,"Manipur University, Imphal",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electrical Engineering,Diploma,40,150,1995,Rural,Yes,Yes
1-44641090219,1-44641090219,U-0096,GOVERNMENT POLYTECHNIC,Active,Manipur,Imphal West,Imphal West,"TAKYELPAT, IMPHAL",500944,24.678701,93.922804,Government,"Manipur University, Imphal",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electronics & Communication Engineering (ECE),Diploma,30,150,1995,Rural,Yes,Yes
