College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638299184,1-44638299184,U-0992,SCHOOL OF PHYSICS,Active,Madhya Pradesh,Indore,Indore,DEVI AHILYA UNIVERSITY KHANDWA ROAD CAMPUS INDORE,452012,22.73695,75.843924,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.schoolphysics.ac.in,info@schoolphysics.ac.in,admissions@schoolphysics.ac.in,placement@schoolphysics.ac.in,+91-80-566-5703,Other Engineering Branches,M.Tech,18,18,2020,Urban,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Computer Science Engineering (CSE),B.Tech,1380,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Information Technology (IT),B.Tech,120,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Automobile Engineering,B.Tech,60,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Civil Engineering,B.Tech,60,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Electronics & Communication Engineering (ECE),B.Tech,180,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Robotics,B.Tech,120,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Electrical Engineering,B.Tech,60,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Mechanical Engineering,B.Tech,60,2604,1999,Rural,Yes,Yes
1-44637343295,1-44637343295,U-0992,MEDI CAPS UNIVERSITY INDORE,Active,Madhya Pradesh,Indore,Indore,"A.B. ROAD, PIGDAMBER RAU, INDORE",452012,22.707773,75.85512,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.medicapsindore.ac.in,info@medicapsindore.ac.in,admissions@medicapsindore.ac.in,placement@medicapsindore.ac.in,+91-80-342-8207,Other Engineering Branches,M.Tech,18,2604,1999,Rural,Yes,Yes
