College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Civil Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Computer Science Engineering (CSE),Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Mechanical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Electrical & Electronics Engineering (EEE),Diploma,60,300,1996,Urban,Yes,Yes
1-44638331684,1-44638331684,U-0441,RADIANT INSTITUTE OF ENGINEERING AND MANAGEMENT,Active,Madhya Pradesh,Jabalpur,Jabalpur,BARELA ROAD KOSAMGHAT JABALPUR,452090,22.193536,79.941943,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B,Yes,,Tier 3,http://www.radiantmanagement.ac.in,info@radiantmanagement.ac.in,admissions@radiantmanagement.ac.in,placement@radiantmanagement.ac.in,+91-80-574-3692,Electrical Engineering,Diploma,60,300,1996,Urban,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Civil Engineering,Diploma,60,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Mechanical Engineering,Diploma,60,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Civil Engineering,B.Tech,60,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Computer Science Engineering (CSE),B.Tech,60,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Electrical & Electronics Engineering (EEE),B.Tech,15,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Mechanical Engineering,B.Tech,60,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,375,1995,Rural,Yes,Yes
1-44639443540,1-44639443540,U-0441,ST. ALOYSIUS INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Jabalpur,Jabalpur,"NEAR EKTA MARKET, GAUR BRIDGE, GOURIYA GHAT, MANDLA ROAD, JABALPUR. M.P.",452090,22.174628,79.930937,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.staloysius.ac.in,info@staloysius.ac.in,admissions@staloysius.ac.in,placement@staloysius.ac.in,+91-80-781-3253,Data Science,B.Tech,30,375,1995,Rural,Yes,Yes
1-44640456078,1-44640456078,U-0441,GOVERNMENT WOMEN'S POLYTECHNIC COLLEGE JABALPUR,Active,Madhya Pradesh,Jabalpur,Jabalpur,"S.T.S COMPOUND, BEOHARBAGH, GHAMAPUR, JABALPUR, MADHYA PRADESH, 482001",482001,22.164052,79.911435,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.jabalpur.ac.in,info@jabalpur.ac.in,admissions@jabalpur.ac.in,placement@jabalpur.ac.in,+91-80-337-7161,Electronics & Communication Engineering (ECE),Diploma,60,300,1987,Urban,Yes,Yes
1-44640456078,1-44640456078,U-0441,GOVERNMENT WOMEN'S POLYTECHNIC COLLEGE JABALPUR,Active,Madhya Pradesh,Jabalpur,Jabalpur,"S.T.S COMPOUND, BEOHARBAGH, GHAMAPUR, JABALPUR, MADHYA PRADESH, 482001",482001,22.164052,79.911435,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.jabalpur.ac.in,info@jabalpur.ac.in,admissions@jabalpur.ac.in,placement@jabalpur.ac.in,+91-80-337-7161,Other Engineering Branches,Diploma,180,300,1987,Urban,Yes,Yes
1-44640456078,1-44640456078,U-0441,GOVERNMENT WOMEN'S POLYTECHNIC COLLEGE JABALPUR,Active,Madhya Pradesh,Jabalpur,Jabalpur,"S.T.S COMPOUND, BEOHARBAGH, GHAMAPUR, JABALPUR, MADHYA PRADESH, 482001",482001,22.164052,79.911435,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.jabalpur.ac.in,info@jabalpur.ac.in,admissions@jabalpur.ac.in,placement@jabalpur.ac.in,+91-80-337-7161,Computer Science Engineering (CSE),Diploma,60,300,1987,Urban,Yes,Yes
1-44641337708,1-44641337708,U-0441,KALANIKETAN POLYTECHNIC COLLEGE JABALPUR,Active,Madhya Pradesh,Jabalpur,Jabalpur,KALANIKETAN MARG NORTH CIVIL LINES,452090,22.175644,79.912719,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.kalaniketanjabalpur.ac.in,info@kalaniketanjabalpur.ac.in,admissions@kalaniketanjabalpur.ac.in,placement@kalaniketanjabalpur.ac.in,+91-80-823-9121,Automobile Engineering,Diploma,60,600,2013,Urban,No,No
1-44641337708,1-44641337708,U-0441,KALANIKETAN POLYTECHNIC COLLEGE JABALPUR,Active,Madhya Pradesh,Jabalpur,Jabalpur,KALANIKETAN MARG NORTH CIVIL LINES,452090,22.175644,79.912719,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.kalaniketanjabalpur.ac.in,info@kalaniketanjabalpur.ac.in,admissions@kalaniketanjabalpur.ac.in,placement@kalaniketanjabalpur.ac.in,+91-80-823-9121,Mechanical Engineering,Diploma,110,600,2013,Urban,No,No
