College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Computer Science Engineering (CSE),B.Tech,2700,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Mechanical Engineering,B.Tech,120,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Electronics & Communication Engineering (ECE),B.Tech,120,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Civil Engineering,B.Tech,30,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Chemical Engineering,B.Tech,30,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Robotics,M.Tech,12,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Other Engineering Branches,M.Tech,24,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Data Science,M.Tech,12,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Biotechnology,B.Tech,60,3234,1993,Rural,Yes,Yes
1-44638398160,1-44638398160,U-0473,MANIPAL UNIVERSITY JAIPUR,Active,Rajasthan,Jaipur,Jaipur,"DEHMI KALAN , JAIPUR AJMER EXPRESSWAY, JAIPUR 303007",303007,26.904286,75.796772,State Private University,MANIPAL UNIVERSITY JAIPUR,Approved,Approved,A+,Yes,,Tier 2,http://www.manipaljaipur.ac.in,info@manipaljaipur.ac.in,admissions@manipaljaipur.ac.in,placement@manipaljaipur.ac.in,+91-80-498-5276,Other Engineering Branches,B.Tech,30,3234,1993,Rural,Yes,Yes
