College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639330966,1-44639330966,U-0845,GOVT. POLYTECHNIC,Active,Odisha,Jajpur,Jajpur,"RAGADI, JAJPUR, ORISSA.",751270,20.943427,85.082332,Government,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Civil Engineering,Diploma,60,360,2019,Urban,Yes,Yes
1-44639330966,1-44639330966,U-0845,GOVT. POLYTECHNIC,Active,Odisha,Jajpur,Jajpur,"RAGADI, JAJPUR, ORISSA.",751270,20.943427,85.082332,Government,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Electrical Engineering,Diploma,60,360,2019,Urban,Yes,Yes
1-44639330966,1-44639330966,U-0845,GOVT. POLYTECHNIC,Active,Odisha,Jajpur,Jajpur,"RAGADI, JAJPUR, ORISSA.",751270,20.943427,85.082332,Government,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Mechanical Engineering,Diploma,60,360,2019,Urban,Yes,Yes
1-44639330966,1-44639330966,U-0845,GOVT. POLYTECHNIC,Active,Odisha,Jajpur,Jajpur,"RAGADI, JAJPUR, ORISSA.",751270,20.943427,85.082332,Government,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Mining Engineering,Diploma,60,360,2019,Urban,Yes,Yes
1-44639330966,1-44639330966,U-0845,GOVT. POLYTECHNIC,Active,Odisha,Jajpur,Jajpur,"RAGADI, JAJPUR, ORISSA.",751270,20.943427,85.082332,Government,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Other Engineering Branches,Diploma,120,360,2019,Urban,Yes,Yes
1-44640201257,1-44640201257,U-0949,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Odisha,Jajpur,Jajpur,F.C.PROJECT,751270,20.966304,85.114223,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-451-3892,Civil Engineering,Diploma,30,540,1997,Rural,Yes,No
1-44640201257,1-44640201257,U-0949,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Odisha,Jajpur,Jajpur,F.C.PROJECT,751270,20.966304,85.114223,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-451-3892,Electrical Engineering,Diploma,120,540,1997,Rural,Yes,No
1-44640201257,1-44640201257,U-0949,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Odisha,Jajpur,Jajpur,F.C.PROJECT,751270,20.966304,85.114223,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-451-3892,Mechanical Engineering,Diploma,240,540,1997,Rural,Yes,No
1-44640201257,1-44640201257,U-0949,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Odisha,Jajpur,Jajpur,F.C.PROJECT,751270,20.966304,85.114223,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-451-3892,Electronics & Communication Engineering (ECE),Diploma,30,540,1997,Rural,Yes,No
1-44640201257,1-44640201257,U-0949,KALINGA INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Odisha,Jajpur,Jajpur,F.C.PROJECT,751270,20.966304,85.114223,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A+,Yes,,Tier 2,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-451-3892,Mining Engineering,Diploma,120,540,1997,Rural,Yes,No
