College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639427602,1-44639427602,U-0767,TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,Active,Maharashtra,Jalgaon,Jalgaon,JIVARAM NAGAR  NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,425524,20.988707,75.559714,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.technicalmedicaleducation.ac.in,info@technicalmedicaleducation.ac.in,admissions@technicalmedicaleducation.ac.in,placement@technicalmedicaleducation.ac.in,+91-80-042-2509,Civil Engineering,Diploma,60,270,1997,Rural,Yes,Yes
1-44639427602,1-44639427602,U-0767,TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,Active,Maharashtra,Jalgaon,Jalgaon,JIVARAM NAGAR  NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,425524,20.988707,75.559714,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.technicalmedicaleducation.ac.in,info@technicalmedicaleducation.ac.in,admissions@technicalmedicaleducation.ac.in,placement@technicalmedicaleducation.ac.in,+91-80-042-2509,Computer Science Engineering (CSE),Diploma,60,270,1997,Rural,Yes,Yes
1-44639427602,1-44639427602,U-0767,TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,Active,Maharashtra,Jalgaon,Jalgaon,JIVARAM NAGAR  NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,425524,20.988707,75.559714,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.technicalmedicaleducation.ac.in,info@technicalmedicaleducation.ac.in,admissions@technicalmedicaleducation.ac.in,placement@technicalmedicaleducation.ac.in,+91-80-042-2509,Electrical Engineering,Diploma,60,270,1997,Rural,Yes,Yes
1-44639427602,1-44639427602,U-0767,TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,Active,Maharashtra,Jalgaon,Jalgaon,JIVARAM NAGAR  NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,425524,20.988707,75.559714,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.technicalmedicaleducation.ac.in,info@technicalmedicaleducation.ac.in,admissions@technicalmedicaleducation.ac.in,placement@technicalmedicaleducation.ac.in,+91-80-042-2509,Electronics & Communication Engineering (ECE),Diploma,30,270,1997,Rural,Yes,Yes
1-44639427602,1-44639427602,U-0767,TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,Active,Maharashtra,Jalgaon,Jalgaon,JIVARAM NAGAR  NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,425524,20.988707,75.559714,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B+,No,,Tier 3,http://www.technicalmedicaleducation.ac.in,info@technicalmedicaleducation.ac.in,admissions@technicalmedicaleducation.ac.in,placement@technicalmedicaleducation.ac.in,+91-80-042-2509,Mechanical Engineering,Diploma,60,270,1997,Rural,Yes,Yes
1-44639338346,1-44639338346,U-0767,LATE.JULALSING MANGTU COLLEGE OF ENGINEERING {DIPLOMA},Active,Maharashtra,Jalgaon,Jalgaon,"KANNAD ROAD ,BYPASS T-POINT , CHALISGAON TAL.CHALISGAON DIST.JALGAON STATE MAHARASHTRA (PIN CODE-424101)",424101,21.013298,75.566399,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.latejulalsingmangtudiploma.ac.in,info@latejulalsingmangtudiploma.ac.in,admissions@latejulalsingmangtudiploma.ac.in,placement@latejulalsingmangtudiploma.ac.in,+91-80-073-6536,Automobile Engineering,Diploma,60,240,2021,Urban,No,Yes
1-44639338346,1-44639338346,U-0767,LATE.JULALSING MANGTU COLLEGE OF ENGINEERING {DIPLOMA},Active,Maharashtra,Jalgaon,Jalgaon,"KANNAD ROAD ,BYPASS T-POINT , CHALISGAON TAL.CHALISGAON DIST.JALGAON STATE MAHARASHTRA (PIN CODE-424101)",424101,21.013298,75.566399,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.latejulalsingmangtudiploma.ac.in,info@latejulalsingmangtudiploma.ac.in,admissions@latejulalsingmangtudiploma.ac.in,placement@latejulalsingmangtudiploma.ac.in,+91-80-073-6536,Civil Engineering,Diploma,60,240,2021,Urban,No,Yes
1-44639338346,1-44639338346,U-0767,LATE.JULALSING MANGTU COLLEGE OF ENGINEERING {DIPLOMA},Active,Maharashtra,Jalgaon,Jalgaon,"KANNAD ROAD ,BYPASS T-POINT , CHALISGAON TAL.CHALISGAON DIST.JALGAON STATE MAHARASHTRA (PIN CODE-424101)",424101,21.013298,75.566399,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.latejulalsingmangtudiploma.ac.in,info@latejulalsingmangtudiploma.ac.in,admissions@latejulalsingmangtudiploma.ac.in,placement@latejulalsingmangtudiploma.ac.in,+91-80-073-6536,Computer Science Engineering (CSE),Diploma,60,240,2021,Urban,No,Yes
1-44639338346,1-44639338346,U-0767,LATE.JULALSING MANGTU COLLEGE OF ENGINEERING {DIPLOMA},Active,Maharashtra,Jalgaon,Jalgaon,"KANNAD ROAD ,BYPASS T-POINT , CHALISGAON TAL.CHALISGAON DIST.JALGAON STATE MAHARASHTRA (PIN CODE-424101)",424101,21.013298,75.566399,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,Yes,,Tier 3,http://www.latejulalsingmangtudiploma.ac.in,info@latejulalsingmangtudiploma.ac.in,admissions@latejulalsingmangtudiploma.ac.in,placement@latejulalsingmangtudiploma.ac.in,+91-80-073-6536,Mechanical Engineering,Diploma,60,240,2021,Urban,No,Yes
1-44639538790,1-44639538790,U-0767,GOVERNMENT POLYTECHNICAL JALGAON,Active,Maharashtra,Jalgaon,Jalgaon,NATIONAL HIGHWAY NO 6 JILHAPETH JALGAON,400889,21.005619,75.562853,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 2,http://www.polytechnicaljalgaon.ac.in,info@polytechnicaljalgaon.ac.in,admissions@polytechnicaljalgaon.ac.in,placement@polytechnicaljalgaon.ac.in,+91-80-751-5777,Mechanical Engineering,Diploma,180,570,2008,Urban,Yes,Yes
