College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638364768,1-44638364768,U-0339,ALIPURDUAR DAMANPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,"PRANKRISHNA SARANI, WARD NO.4",700391,22.999504,87.835598,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.alipurduardamanpur.ac.in,info@alipurduardamanpur.ac.in,admissions@alipurduardamanpur.ac.in,placement@alipurduardamanpur.ac.in,+91-80-371-6995,Computer Science Engineering (CSE),Diploma,60,180,2017,Urban,Yes,Yes
1-44638364768,1-44638364768,U-0339,ALIPURDUAR DAMANPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,"PRANKRISHNA SARANI, WARD NO.4",700391,22.999504,87.835598,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.alipurduardamanpur.ac.in,info@alipurduardamanpur.ac.in,admissions@alipurduardamanpur.ac.in,placement@alipurduardamanpur.ac.in,+91-80-371-6995,Electrical Engineering,Diploma,60,180,2017,Urban,Yes,Yes
1-44638364768,1-44638364768,U-0339,ALIPURDUAR DAMANPUR GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,"PRANKRISHNA SARANI, WARD NO.4",700391,22.999504,87.835598,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.alipurduardamanpur.ac.in,info@alipurduardamanpur.ac.in,admissions@alipurduardamanpur.ac.in,placement@alipurduardamanpur.ac.in,+91-80-371-6995,Electronics & Communication Engineering (ECE),Diploma,60,180,2017,Urban,Yes,Yes
1-44638625264,1-44638625264,U-0339,RAJGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri, BELAKOBA PO- PRASANNAGAR PS- RAJGANJ DIST JALPAIGURI,700391,22.976494,87.835463,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.rajganj.ac.in,info@rajganj.ac.in,admissions@rajganj.ac.in,placement@rajganj.ac.in,+91-80-406-5794,Mechanical Engineering,Diploma,60,180,1983,Rural,Yes,No
1-44638625264,1-44638625264,U-0339,RAJGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri, BELAKOBA PO- PRASANNAGAR PS- RAJGANJ DIST JALPAIGURI,700391,22.976494,87.835463,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.rajganj.ac.in,info@rajganj.ac.in,admissions@rajganj.ac.in,placement@rajganj.ac.in,+91-80-406-5794,Electrical Engineering,Diploma,60,180,1983,Rural,Yes,No
1-44638625264,1-44638625264,U-0339,RAJGANJ GOVERNMENT POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri, BELAKOBA PO- PRASANNAGAR PS- RAJGANJ DIST JALPAIGURI,700391,22.976494,87.835463,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.rajganj.ac.in,info@rajganj.ac.in,admissions@rajganj.ac.in,placement@rajganj.ac.in,+91-80-406-5794,Civil Engineering,Diploma,60,180,1983,Rural,Yes,No
1-44639630378,1-44639630378,U-0339,FALAKATA POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,BAGANBARI,700391,23.000439,87.866225,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.falakata.ac.in,info@falakata.ac.in,admissions@falakata.ac.in,placement@falakata.ac.in,+91-80-410-9127,Civil Engineering,Diploma,60,300,1984,Urban,Yes,Yes
1-44639630378,1-44639630378,U-0339,FALAKATA POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,BAGANBARI,700391,23.000439,87.866225,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.falakata.ac.in,info@falakata.ac.in,admissions@falakata.ac.in,placement@falakata.ac.in,+91-80-410-9127,Electronics & Communication Engineering (ECE),Diploma,60,300,1984,Urban,Yes,Yes
1-44639630378,1-44639630378,U-0339,FALAKATA POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,BAGANBARI,700391,23.000439,87.866225,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.falakata.ac.in,info@falakata.ac.in,admissions@falakata.ac.in,placement@falakata.ac.in,+91-80-410-9127,Other Engineering Branches,Diploma,60,300,1984,Urban,Yes,Yes
1-44639630378,1-44639630378,U-0339,FALAKATA POLYTECHNIC,Active,West Bengal,Jalpaiguri,Jalpaiguri,BAGANBARI,700391,23.000439,87.866225,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.falakata.ac.in,info@falakata.ac.in,admissions@falakata.ac.in,placement@falakata.ac.in,+91-80-410-9127,Electrical Engineering,Diploma,60,300,1984,Urban,Yes,Yes
