College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Civil Engineering,B.Tech,60,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Other Engineering Branches,B.Tech,60,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Electronics & Communication Engineering (ECE),B.Tech,60,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Mechanical Engineering,B.Tech,60,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Electrical Engineering,B.Tech,60,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Computer Science Engineering (CSE),M.Tech,18,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Electronics & Communication Engineering (ECE),M.Tech,18,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Mechanical Engineering,M.Tech,18,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Civil Engineering,M.Tech,18,390,2010,Urban,Yes,No
1-44640317978,1-44640317978,U-0005,"GOVT. COLLEGE OF ENGINEERING & TECHNOLOGY, JAMMU",Active,Jammu and Kashmir,Jammu,Jammu,"CHAK BHALWAL, JAMMU",190835,32.739653,74.839571,Government,"Jammu University , Jammu Tawi",Approved,Approved,A+,Yes,,Tier 2,http://www.govtjammu.ac.in,info@govtjammu.ac.in,admissions@govtjammu.ac.in,placement@govtjammu.ac.in,+91-80-386-3440,Electrical Engineering,M.Tech,18,390,2010,Urban,Yes,No
1-44640465164,1-44640465164,U-0693,NITS POLYTECHNIC,Active,Jammu and Kashmir,Jammu,Jammu,"INDIRA NAGAR , P.O MIRAN SAHIB TEHSIL R.S PURA JAMMU",190835,32.715023,74.868975,Private-Self Financing,J&K State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.nits.ac.in,info@nits.ac.in,admissions@nits.ac.in,placement@nits.ac.in,+91-80-353-3004,Civil Engineering,Diploma,180,420,1982,Urban,Yes,Yes
1-44640465164,1-44640465164,U-0693,NITS POLYTECHNIC,Active,Jammu and Kashmir,Jammu,Jammu,"INDIRA NAGAR , P.O MIRAN SAHIB TEHSIL R.S PURA JAMMU",190835,32.715023,74.868975,Private-Self Financing,J&K State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.nits.ac.in,info@nits.ac.in,admissions@nits.ac.in,placement@nits.ac.in,+91-80-353-3004,Electrical Engineering,Diploma,60,420,1982,Urban,Yes,Yes
1-44640465164,1-44640465164,U-0693,NITS POLYTECHNIC,Active,Jammu and Kashmir,Jammu,Jammu,"INDIRA NAGAR , P.O MIRAN SAHIB TEHSIL R.S PURA JAMMU",190835,32.715023,74.868975,Private-Self Financing,J&K State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.nits.ac.in,info@nits.ac.in,admissions@nits.ac.in,placement@nits.ac.in,+91-80-353-3004,Mechanical Engineering,Diploma,60,420,1982,Urban,Yes,Yes
