College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Civil Engineering,B.Tech,60,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Mechanical Engineering,B.Tech,60,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Electrical Engineering,B.Tech,60,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Electronics & Communication Engineering (ECE),B.Tech,60,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,Data Science,B.Tech,30,360,1982,Rural,Yes,Yes
1-44638216890,1-44638216890,U-0846,GOVERNMENT ENGINEERING COLLEGE JAMUI,Active,Bihar,Jamui,Jamui,"GOVERNMENT ENGINEERING  COLLEGE JAMUI, VILLAGE: AMRATH, PS: JAMUI SADAR, DIST: JAMUI, BIHAR, 811313",811313,25.096698,85.310533,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.jamui.ac.in,info@jamui.ac.in,admissions@jamui.ac.in,placement@jamui.ac.in,+91-80-863-9343,IoT,B.Tech,30,360,1982,Rural,Yes,Yes
1-44637273900,1-44637273900,U-0698,SUBHASH INSTITUTE OF TECHNOLOGY JAMUI,Active,Bihar,Jamui,Jamui,VILLAGE-DADHWA,800061,25.091151,85.310964,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.subhashjamui.ac.in,info@subhashjamui.ac.in,admissions@subhashjamui.ac.in,placement@subhashjamui.ac.in,+91-80-631-3074,Mechanical Engineering,Diploma,60,360,2016,Urban,Yes,Yes
1-44637273900,1-44637273900,U-0698,SUBHASH INSTITUTE OF TECHNOLOGY JAMUI,Active,Bihar,Jamui,Jamui,VILLAGE-DADHWA,800061,25.091151,85.310964,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.subhashjamui.ac.in,info@subhashjamui.ac.in,admissions@subhashjamui.ac.in,placement@subhashjamui.ac.in,+91-80-631-3074,Civil Engineering,Diploma,120,360,2016,Urban,Yes,Yes
1-44637273900,1-44637273900,U-0698,SUBHASH INSTITUTE OF TECHNOLOGY JAMUI,Active,Bihar,Jamui,Jamui,VILLAGE-DADHWA,800061,25.091151,85.310964,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.subhashjamui.ac.in,info@subhashjamui.ac.in,admissions@subhashjamui.ac.in,placement@subhashjamui.ac.in,+91-80-631-3074,Electrical Engineering,Diploma,60,360,2016,Urban,Yes,Yes
