College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638377882,1-44638377882,U-0449,B R GAUTAM POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Jaunpur,Jaunpur,RAJAPUR,201585,26.840086,80.930245,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.brgautam.ac.in,info@brgautam.ac.in,admissions@brgautam.ac.in,placement@brgautam.ac.in,+91-80-561-4361,Automobile Engineering,Diploma,60,270,2017,Rural,Yes,Yes
1-44638377882,1-44638377882,U-0449,B R GAUTAM POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Jaunpur,Jaunpur,RAJAPUR,201585,26.840086,80.930245,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.brgautam.ac.in,info@brgautam.ac.in,admissions@brgautam.ac.in,placement@brgautam.ac.in,+91-80-561-4361,Civil Engineering,Diploma,60,270,2017,Rural,Yes,Yes
1-44638377882,1-44638377882,U-0449,B R GAUTAM POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Jaunpur,Jaunpur,RAJAPUR,201585,26.840086,80.930245,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.brgautam.ac.in,info@brgautam.ac.in,admissions@brgautam.ac.in,placement@brgautam.ac.in,+91-80-561-4361,Electrical Engineering,Diploma,90,270,2017,Rural,Yes,Yes
1-44638377882,1-44638377882,U-0449,B R GAUTAM POLYTECHNIC INSTITUTE,Active,Uttar Pradesh,Jaunpur,Jaunpur,RAJAPUR,201585,26.840086,80.930245,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.brgautam.ac.in,info@brgautam.ac.in,admissions@brgautam.ac.in,placement@brgautam.ac.in,+91-80-561-4361,Computer Science Engineering (CSE),Diploma,60,270,2017,Rural,Yes,Yes
1-44638565708,1-44638565708,U-0449,ACHARY BALDEV POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,"VILLAGE- KOPA, POST- PATARAHI, GHAZIPUR",201585,26.828473,80.954231,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.acharybaldev.ac.in,info@acharybaldev.ac.in,admissions@acharybaldev.ac.in,placement@acharybaldev.ac.in,+91-80-074-3859,Mechanical Engineering,Diploma,120,300,1989,Urban,Yes,Yes
1-44638565708,1-44638565708,U-0449,ACHARY BALDEV POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,"VILLAGE- KOPA, POST- PATARAHI, GHAZIPUR",201585,26.828473,80.954231,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.acharybaldev.ac.in,info@acharybaldev.ac.in,admissions@acharybaldev.ac.in,placement@acharybaldev.ac.in,+91-80-074-3859,Civil Engineering,Diploma,120,300,1989,Urban,Yes,Yes
1-44638565708,1-44638565708,U-0449,ACHARY BALDEV POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,"VILLAGE- KOPA, POST- PATARAHI, GHAZIPUR",201585,26.828473,80.954231,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.acharybaldev.ac.in,info@acharybaldev.ac.in,admissions@acharybaldev.ac.in,placement@acharybaldev.ac.in,+91-80-074-3859,Electrical Engineering,Diploma,60,300,1989,Urban,Yes,Yes
1-44638436257,1-44638436257,U-0449,NIRMALA DEVI POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,NAYANSAND NEAR GAURABASHAHAPUR THANA,201585,26.835962,80.935687,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nirmaladevi.ac.in,info@nirmaladevi.ac.in,admissions@nirmaladevi.ac.in,placement@nirmaladevi.ac.in,+91-80-388-4604,Civil Engineering,Diploma,60,300,1982,Rural,Yes,No
1-44638436257,1-44638436257,U-0449,NIRMALA DEVI POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,NAYANSAND NEAR GAURABASHAHAPUR THANA,201585,26.835962,80.935687,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nirmaladevi.ac.in,info@nirmaladevi.ac.in,admissions@nirmaladevi.ac.in,placement@nirmaladevi.ac.in,+91-80-388-4604,Electrical Engineering,Diploma,90,300,1982,Rural,Yes,No
1-44638436257,1-44638436257,U-0449,NIRMALA DEVI POLYTECHNIC COLLEGE,Active,Uttar Pradesh,Jaunpur,Jaunpur,NAYANSAND NEAR GAURABASHAHAPUR THANA,201585,26.835962,80.935687,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.nirmaladevi.ac.in,info@nirmaladevi.ac.in,admissions@nirmaladevi.ac.in,placement@nirmaladevi.ac.in,+91-80-388-4604,Automobile Engineering,Diploma,30,300,1982,Rural,Yes,No
