College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Mechanical Engineering,B.Tech,30,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Civil Engineering,B.Tech,30,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Computer Science Engineering (CSE),B.Tech,60,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Electronics & Communication Engineering (ECE),B.Tech,30,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Computer Science Engineering (CSE),M.Tech,18,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Mechanical Engineering,M.Tech,18,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Mechanical Engineering,Diploma,60,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Civil Engineering,Diploma,60,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Electronics & Communication Engineering (ECE),M.Tech,9,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Automobile Engineering,Diploma,60,405,1993,Urban,No,Yes
1-44638546972,1-44638546972,U-0169,DELHI GLOBAL INSTITUTE OF TECHNOLOGY,Active,Haryana,Jhajjar,Jhajjar,"VILLAGE & POST - BARHANA, TEHSIL - BERI, DISTT. JHAJJAR,HARYANA",120004,29.064128,76.095598,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.delhiglobal.ac.in,info@delhiglobal.ac.in,admissions@delhiglobal.ac.in,placement@delhiglobal.ac.in,+91-80-062-3423,Electronics & Communication Engineering (ECE),Diploma,30,405,1993,Urban,No,Yes
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Civil Engineering,B.Tech,60,330,2015,Rural,No,No
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Computer Science Engineering (CSE),B.Tech,60,330,2015,Rural,No,No
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Electrical Engineering,B.Tech,60,330,2015,Rural,No,No
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Electronics & Communication Engineering (ECE),B.Tech,60,330,2015,Rural,No,No
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Mechanical Engineering,B.Tech,60,330,2015,Rural,No,No
1-44638245237,1-44638245237,U-0169,CH. RANBIR SINGH STATE INSTITUTE OF ENGINEERING AND TECHNOLOGY SILANI KESHO JHAJJAR,Active,Haryana,Jhajjar,Jhajjar,VILLAGE SILANI KESHO JHAJJAR,120004,29.046703,76.102584,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-331-4924,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,330,2015,Rural,No,No
1-44637277848,1-44637277848,U-0169,CBS GROUP OF INSTITUTIONS,Active,Haryana,Jhajjar,Jhajjar,"CBS GROUP OF INSTITUTIONS,8 KM MILESTONE JHAJJAR-KOSLI ROAD, VILLAGE FATEHPURI, DISTRICT JHAJJAR, HARYANA",120004,29.074144,76.086519,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,A,No,,Tier 3,http://www.cbs.ac.in,info@cbs.ac.in,admissions@cbs.ac.in,placement@cbs.ac.in,+91-80-482-4325,Electrical Engineering,M.Tech,18,378,1987,Urban,Yes,Yes
1-44637277848,1-44637277848,U-0169,CBS GROUP OF INSTITUTIONS,Active,Haryana,Jhajjar,Jhajjar,"CBS GROUP OF INSTITUTIONS,8 KM MILESTONE JHAJJAR-KOSLI ROAD, VILLAGE FATEHPURI, DISTRICT JHAJJAR, HARYANA",120004,29.074144,76.086519,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,A,No,,Tier 3,http://www.cbs.ac.in,info@cbs.ac.in,admissions@cbs.ac.in,placement@cbs.ac.in,+91-80-482-4325,Electrical Engineering,B.Tech,30,378,1987,Urban,Yes,Yes
