College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639762280,1-44639762280,U-0069,JIND INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,"NEAR HUDA SECTOR 9, PANIPAT ROAD JIND",120044,29.056815,76.072618,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,B,Yes,,Tier 3,http://www.jind.ac.in,info@jind.ac.in,admissions@jind.ac.in,placement@jind.ac.in,+91-80-755-5884,Computer Science Engineering (CSE),B.Tech,60,162,2018,Urban,No,Yes
1-44639762280,1-44639762280,U-0069,JIND INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,"NEAR HUDA SECTOR 9, PANIPAT ROAD JIND",120044,29.056815,76.072618,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,B,Yes,,Tier 3,http://www.jind.ac.in,info@jind.ac.in,admissions@jind.ac.in,placement@jind.ac.in,+91-80-755-5884,Electrical Engineering,B.Tech,30,162,2018,Urban,No,Yes
1-44639762280,1-44639762280,U-0069,JIND INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,"NEAR HUDA SECTOR 9, PANIPAT ROAD JIND",120044,29.056815,76.072618,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,B,Yes,,Tier 3,http://www.jind.ac.in,info@jind.ac.in,admissions@jind.ac.in,placement@jind.ac.in,+91-80-755-5884,Mechanical Engineering,B.Tech,30,162,2018,Urban,No,Yes
1-44639762280,1-44639762280,U-0069,JIND INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,"NEAR HUDA SECTOR 9, PANIPAT ROAD JIND",120044,29.056815,76.072618,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,B,Yes,,Tier 3,http://www.jind.ac.in,info@jind.ac.in,admissions@jind.ac.in,placement@jind.ac.in,+91-80-755-5884,Civil Engineering,B.Tech,30,162,2018,Urban,No,Yes
1-44639762280,1-44639762280,U-0069,JIND INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,"NEAR HUDA SECTOR 9, PANIPAT ROAD JIND",120044,29.056815,76.072618,Private-Self Financing,"Kurukshetra University, Kurukshetra",Approved,Approved,B,Yes,,Tier 3,http://www.jind.ac.in,info@jind.ac.in,admissions@jind.ac.in,placement@jind.ac.in,+91-80-755-5884,Computer Science Engineering (CSE),M.Tech,12,162,2018,Urban,No,Yes
1-44640381368,1-44640381368,U-0294,P D M INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,VILLAGE KARSINDHU TEHSIL SAFIDON DISTT JIND,120044,29.071797,76.091129,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pdm.ac.in,info@pdm.ac.in,admissions@pdm.ac.in,placement@pdm.ac.in,+91-80-383-9779,Civil Engineering,Diploma,60,210,2004,Urban,Yes,Yes
1-44640381368,1-44640381368,U-0294,P D M INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,VILLAGE KARSINDHU TEHSIL SAFIDON DISTT JIND,120044,29.071797,76.091129,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pdm.ac.in,info@pdm.ac.in,admissions@pdm.ac.in,placement@pdm.ac.in,+91-80-383-9779,Mechanical Engineering,Diploma,90,210,2004,Urban,Yes,Yes
1-44640381368,1-44640381368,U-0294,P D M INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,VILLAGE KARSINDHU TEHSIL SAFIDON DISTT JIND,120044,29.071797,76.091129,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pdm.ac.in,info@pdm.ac.in,admissions@pdm.ac.in,placement@pdm.ac.in,+91-80-383-9779,Computer Science Engineering (CSE),Diploma,30,210,2004,Urban,Yes,Yes
1-44640381368,1-44640381368,U-0294,P D M INSTITUTE OF ENGINEERING & TECHNOLOGY,Active,Haryana,Jind,Jind,VILLAGE KARSINDHU TEHSIL SAFIDON DISTT JIND,120044,29.071797,76.091129,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.pdm.ac.in,info@pdm.ac.in,admissions@pdm.ac.in,placement@pdm.ac.in,+91-80-383-9779,Electrical Engineering,Diploma,30,210,2004,Urban,Yes,Yes
1-44641167384,1-44641167384,U-0294,DEV POLYTECHNIC COLLEGE,Active,Haryana,Jind,Jind,VILL. KHATKAR TEH. UCHANA DISST. JIND,120044,29.054224,76.100245,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dev.ac.in,info@dev.ac.in,admissions@dev.ac.in,placement@dev.ac.in,+91-80-646-9341,Civil Engineering,Diploma,24,114,2011,Urban,Yes,No
1-44641167384,1-44641167384,U-0294,DEV POLYTECHNIC COLLEGE,Active,Haryana,Jind,Jind,VILL. KHATKAR TEH. UCHANA DISST. JIND,120044,29.054224,76.100245,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dev.ac.in,info@dev.ac.in,admissions@dev.ac.in,placement@dev.ac.in,+91-80-646-9341,Mechanical Engineering,Diploma,30,114,2011,Urban,Yes,No
1-44641167384,1-44641167384,U-0294,DEV POLYTECHNIC COLLEGE,Active,Haryana,Jind,Jind,VILL. KHATKAR TEH. UCHANA DISST. JIND,120044,29.054224,76.100245,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.dev.ac.in,info@dev.ac.in,admissions@dev.ac.in,placement@dev.ac.in,+91-80-646-9341,Electrical Engineering,Diploma,30,114,2011,Urban,Yes,No
