College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638356440,1-44638356440,U-0696,FACULTY OF DAIRY TECHNOLOGY JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,BIKANER ROAD MANDOR JODHPUR,302829,26.247776,73.013545,Government,"Agriculture University, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.facultydairyjodhpur.ac.in,info@facultydairyjodhpur.ac.in,admissions@facultydairyjodhpur.ac.in,placement@facultydairyjodhpur.ac.in,+91-80-211-1163,Other Engineering Branches,B.Tech,120,120,2012,Rural,Yes,Yes
1-44638529076,1-44638529076,U-0192,RAJ ENGINEERING COLLEGE,Active,Rajasthan,Jodhpur,Jodhpur,"VIL & POST BAWARLA,",302829,26.221706,73.03392,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.raj.ac.in,info@raj.ac.in,admissions@raj.ac.in,placement@raj.ac.in,+91-80-117-7021,Civil Engineering,B.Tech,30,120,2009,Urban,Yes,Yes
1-44638529076,1-44638529076,U-0192,RAJ ENGINEERING COLLEGE,Active,Rajasthan,Jodhpur,Jodhpur,"VIL & POST BAWARLA,",302829,26.221706,73.03392,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.raj.ac.in,info@raj.ac.in,admissions@raj.ac.in,placement@raj.ac.in,+91-80-117-7021,Electrical Engineering,B.Tech,30,120,2009,Urban,Yes,Yes
1-44638529076,1-44638529076,U-0192,RAJ ENGINEERING COLLEGE,Active,Rajasthan,Jodhpur,Jodhpur,"VIL & POST BAWARLA,",302829,26.221706,73.03392,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.raj.ac.in,info@raj.ac.in,admissions@raj.ac.in,placement@raj.ac.in,+91-80-117-7021,Mechanical Engineering,B.Tech,30,120,2009,Urban,Yes,Yes
1-44638529076,1-44638529076,U-0192,RAJ ENGINEERING COLLEGE,Active,Rajasthan,Jodhpur,Jodhpur,"VIL & POST BAWARLA,",302829,26.221706,73.03392,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,Not Accredited,No,,Tier 3,http://www.raj.ac.in,info@raj.ac.in,admissions@raj.ac.in,placement@raj.ac.in,+91-80-117-7021,Mining Engineering,B.Tech,30,120,2009,Urban,Yes,Yes
1-44638653822,1-44638653822,U-0197,GOVERNMENT POLYTECHNIC COLLEGE MANDORE JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,CAMP AT GOVERNMENT POLYTECHNIC COLLEGE JODHPUR GOURAV PATH RESIDENCY ROAD JODHPUR,302829,26.246576,73.004826,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.mandorejodhpur.ac.in,info@mandorejodhpur.ac.in,admissions@mandorejodhpur.ac.in,placement@mandorejodhpur.ac.in,+91-80-160-7811,Mechanical Engineering,Diploma,30,150,2018,Rural,Yes,No
1-44638653822,1-44638653822,U-0197,GOVERNMENT POLYTECHNIC COLLEGE MANDORE JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,CAMP AT GOVERNMENT POLYTECHNIC COLLEGE JODHPUR GOURAV PATH RESIDENCY ROAD JODHPUR,302829,26.246576,73.004826,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.mandorejodhpur.ac.in,info@mandorejodhpur.ac.in,admissions@mandorejodhpur.ac.in,placement@mandorejodhpur.ac.in,+91-80-160-7811,Information Technology (IT),Diploma,30,150,2018,Rural,Yes,No
1-44638653822,1-44638653822,U-0197,GOVERNMENT POLYTECHNIC COLLEGE MANDORE JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,CAMP AT GOVERNMENT POLYTECHNIC COLLEGE JODHPUR GOURAV PATH RESIDENCY ROAD JODHPUR,302829,26.246576,73.004826,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.mandorejodhpur.ac.in,info@mandorejodhpur.ac.in,admissions@mandorejodhpur.ac.in,placement@mandorejodhpur.ac.in,+91-80-160-7811,Civil Engineering,Diploma,30,150,2018,Rural,Yes,No
1-44638653822,1-44638653822,U-0197,GOVERNMENT POLYTECHNIC COLLEGE MANDORE JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,CAMP AT GOVERNMENT POLYTECHNIC COLLEGE JODHPUR GOURAV PATH RESIDENCY ROAD JODHPUR,302829,26.246576,73.004826,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.mandorejodhpur.ac.in,info@mandorejodhpur.ac.in,admissions@mandorejodhpur.ac.in,placement@mandorejodhpur.ac.in,+91-80-160-7811,Robotics,Diploma,30,150,2018,Rural,Yes,No
1-44638653822,1-44638653822,U-0197,GOVERNMENT POLYTECHNIC COLLEGE MANDORE JODHPUR,Active,Rajasthan,Jodhpur,Jodhpur,CAMP AT GOVERNMENT POLYTECHNIC COLLEGE JODHPUR GOURAV PATH RESIDENCY ROAD JODHPUR,302829,26.246576,73.004826,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.mandorejodhpur.ac.in,info@mandorejodhpur.ac.in,admissions@mandorejodhpur.ac.in,placement@mandorejodhpur.ac.in,+91-80-160-7811,Agricultural Engineering,Diploma,30,150,2018,Rural,Yes,No
