College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Electrical Engineering,B.Tech,60,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Electronics & Communication Engineering (ECE),B.Tech,30,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Civil Engineering,B.Tech,120,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Mechanical Engineering,B.Tech,60,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Computer Science Engineering (CSE),B.Tech,60,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Civil Engineering,M.Tech,24,366,1989,Urban,Yes,Yes
1-44640156556,1-44640156556,U-0420,KU SCHOOL OF ENGINEERING TECHNOLOGY AND MANAGEMENT,Active,Assam,Jorhat,Jorhat,KORAIKHOWA GAON; NH-37; MOUZA-PARBATIA; DIST-JORHAT,781331,26.215543,92.950675,Private-Self Financing,"Assam Kaziranga University, Jorhat, Assam",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kuschoolmanagement.ac.in,info@kuschoolmanagement.ac.in,admissions@kuschoolmanagement.ac.in,placement@kuschoolmanagement.ac.in,+91-80-465-5955,Mechanical Engineering,M.Tech,12,366,1989,Urban,Yes,Yes
1-44640260210,1-44640260210,U-0584,"HRH THE PRINCE OF WALES INSTITUTE OF ENGG. & TECH.,",Active,Assam,Jorhat,Jorhat,"GAR ALI, JORHAT",781331,26.205877,92.921052,Government,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.hrhtheprince.ac.in,info@hrhtheprince.ac.in,admissions@hrhtheprince.ac.in,placement@hrhtheprince.ac.in,+91-80-060-2006,Civil Engineering,Diploma,60,260,1988,Urban,Yes,Yes
1-44640260210,1-44640260210,U-0584,"HRH THE PRINCE OF WALES INSTITUTE OF ENGG. & TECH.,",Active,Assam,Jorhat,Jorhat,"GAR ALI, JORHAT",781331,26.205877,92.921052,Government,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.hrhtheprince.ac.in,info@hrhtheprince.ac.in,admissions@hrhtheprince.ac.in,placement@hrhtheprince.ac.in,+91-80-060-2006,Electrical Engineering,Diploma,40,260,1988,Urban,Yes,Yes
1-44640260210,1-44640260210,U-0584,"HRH THE PRINCE OF WALES INSTITUTE OF ENGG. & TECH.,",Active,Assam,Jorhat,Jorhat,"GAR ALI, JORHAT",781331,26.205877,92.921052,Government,"Directorate of Technical Education, Assam",Approved,Approved,B++,Yes,,Tier 3,http://www.hrhtheprince.ac.in,info@hrhtheprince.ac.in,admissions@hrhtheprince.ac.in,placement@hrhtheprince.ac.in,+91-80-060-2006,Mechanical Engineering,Diploma,70,260,1988,Urban,Yes,Yes
