College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Civil Engineering,Diploma,60,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Mechanical Engineering,Diploma,60,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Civil Engineering,B.Tech,120,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Electrical & Electronics Engineering (EEE),B.Tech,60,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Electronics & Communication Engineering (ECE),B.Tech,60,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Mechanical Engineering,B.Tech,120,540,1998,Rural,Yes,Yes
1-44639397506,1-44639397506,U-0449,LANDMARK TECHNICAL CAMPUS,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,VILLAGE DIDAULI DELHI MORADABAD ROAD,201703,26.848301,80.929709,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,No,,Tier 3,http://www.landmarktechnicalcampus.ac.in,info@landmarktechnicalcampus.ac.in,admissions@landmarktechnicalcampus.ac.in,placement@landmarktechnicalcampus.ac.in,+91-80-905-9862,Computer Science Engineering (CSE),B.Tech,60,540,1998,Rural,Yes,Yes
1-44642688287,1-44642688287,U-0164,MAHARAJA AGRASEN COLLEGE OF ENGG. &  TECHNOLOGY,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,"10 TH KM. BAGARPUR MAFEE,  GAJRAULA, DHANAURA, J.P NAGAR-244236 (UP)",244236,26.83592,80.942932,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.maharajaagrasenengg.ac.in,info@maharajaagrasenengg.ac.in,admissions@maharajaagrasenengg.ac.in,placement@maharajaagrasenengg.ac.in,+91-80-386-7243,Computer Science Engineering (CSE),B.Tech,30,330,2021,Urban,Yes,Yes
1-44642688287,1-44642688287,U-0164,MAHARAJA AGRASEN COLLEGE OF ENGG. &  TECHNOLOGY,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,"10 TH KM. BAGARPUR MAFEE,  GAJRAULA, DHANAURA, J.P NAGAR-244236 (UP)",244236,26.83592,80.942932,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.maharajaagrasenengg.ac.in,info@maharajaagrasenengg.ac.in,admissions@maharajaagrasenengg.ac.in,placement@maharajaagrasenengg.ac.in,+91-80-386-7243,Mechanical Engineering,B.Tech,60,330,2021,Urban,Yes,Yes
1-44642688287,1-44642688287,U-0164,MAHARAJA AGRASEN COLLEGE OF ENGG. &  TECHNOLOGY,Active,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,"10 TH KM. BAGARPUR MAFEE,  GAJRAULA, DHANAURA, J.P NAGAR-244236 (UP)",244236,26.83592,80.942932,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.maharajaagrasenengg.ac.in,info@maharajaagrasenengg.ac.in,admissions@maharajaagrasenengg.ac.in,placement@maharajaagrasenengg.ac.in,+91-80-386-7243,Civil Engineering,B.Tech,30,330,2021,Urban,Yes,Yes
