College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638795804,1-44638795804,U-0539,GOVT. POLYTECHNIC SHERGARH (KAITHAL),Active,Haryana,Kaithal,Kaithal,VILLAGE SHERGARH DISTT. KAITHAL (HARYANA),120518,29.039575,76.084814,Government,Haryana State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtshergarhkaithal.ac.in,info@govtshergarhkaithal.ac.in,admissions@govtshergarhkaithal.ac.in,placement@govtshergarhkaithal.ac.in,+91-80-032-4986,Civil Engineering,Diploma,60,300,2016,Urban,Yes,Yes
1-44638795804,1-44638795804,U-0539,GOVT. POLYTECHNIC SHERGARH (KAITHAL),Active,Haryana,Kaithal,Kaithal,VILLAGE SHERGARH DISTT. KAITHAL (HARYANA),120518,29.039575,76.084814,Government,Haryana State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtshergarhkaithal.ac.in,info@govtshergarhkaithal.ac.in,admissions@govtshergarhkaithal.ac.in,placement@govtshergarhkaithal.ac.in,+91-80-032-4986,Electrical Engineering,Diploma,60,300,2016,Urban,Yes,Yes
1-44638795804,1-44638795804,U-0539,GOVT. POLYTECHNIC SHERGARH (KAITHAL),Active,Haryana,Kaithal,Kaithal,VILLAGE SHERGARH DISTT. KAITHAL (HARYANA),120518,29.039575,76.084814,Government,Haryana State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtshergarhkaithal.ac.in,info@govtshergarhkaithal.ac.in,admissions@govtshergarhkaithal.ac.in,placement@govtshergarhkaithal.ac.in,+91-80-032-4986,Mechanical Engineering,Diploma,60,300,2016,Urban,Yes,Yes
1-44638795804,1-44638795804,U-0539,GOVT. POLYTECHNIC SHERGARH (KAITHAL),Active,Haryana,Kaithal,Kaithal,VILLAGE SHERGARH DISTT. KAITHAL (HARYANA),120518,29.039575,76.084814,Government,Haryana State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtshergarhkaithal.ac.in,info@govtshergarhkaithal.ac.in,admissions@govtshergarhkaithal.ac.in,placement@govtshergarhkaithal.ac.in,+91-80-032-4986,Computer Science Engineering (CSE),Diploma,60,300,2016,Urban,Yes,Yes
1-44638795804,1-44638795804,U-0539,GOVT. POLYTECHNIC SHERGARH (KAITHAL),Active,Haryana,Kaithal,Kaithal,VILLAGE SHERGARH DISTT. KAITHAL (HARYANA),120518,29.039575,76.084814,Government,Haryana State Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtshergarhkaithal.ac.in,info@govtshergarhkaithal.ac.in,admissions@govtshergarhkaithal.ac.in,placement@govtshergarhkaithal.ac.in,+91-80-032-4986,Agricultural Engineering,Diploma,60,300,2016,Urban,Yes,Yes
1-44639877846,1-44639877846,U-0294,GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,Active,Haryana,Kaithal,Kaithal,"GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,KAITHAL ROAD CHEEKA.",120518,29.045159,76.104717,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-266-7514,Civil Engineering,Diploma,60,300,1986,Urban,Yes,Yes
1-44639877846,1-44639877846,U-0294,GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,Active,Haryana,Kaithal,Kaithal,"GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,KAITHAL ROAD CHEEKA.",120518,29.045159,76.104717,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-266-7514,Computer Science Engineering (CSE),Diploma,60,300,1986,Urban,Yes,Yes
1-44639877846,1-44639877846,U-0294,GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,Active,Haryana,Kaithal,Kaithal,"GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,KAITHAL ROAD CHEEKA.",120518,29.045159,76.104717,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-266-7514,Electrical Engineering,Diploma,60,300,1986,Urban,Yes,Yes
1-44639877846,1-44639877846,U-0294,GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,Active,Haryana,Kaithal,Kaithal,"GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,KAITHAL ROAD CHEEKA.",120518,29.045159,76.104717,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-266-7514,Electronics & Communication Engineering (ECE),Diploma,60,300,1986,Urban,Yes,Yes
1-44639877846,1-44639877846,U-0294,GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,Active,Haryana,Kaithal,Kaithal,"GURU GOBIND SINGH GOVT.POLYTECHNIC EDUCATION SOCIETY,KAITHAL ROAD CHEEKA.",120518,29.045159,76.104717,Government,Directorate of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.gurugobindsingh.ac.in,info@gurugobindsingh.ac.in,admissions@gurugobindsingh.ac.in,placement@gurugobindsingh.ac.in,+91-80-266-7514,Mechanical Engineering,Diploma,60,300,1986,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Other Engineering Branches,B.Tech,120,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Mechanical Engineering,Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Civil Engineering,Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Computer Science Engineering (CSE),Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Data Science,Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Electrical Engineering,Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Other Engineering Branches,Diploma,260,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Electronics & Communication Engineering (ECE),Diploma,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Electrical Engineering,B.Tech,60,1620,1990,Urban,Yes,Yes
1-44643946393,1-44643946393,U-0294,NIILM UNIVERSITY,Active,Haryana,Kaithal,Kaithal,"9 KM MILESTONE, NH-152 AMBALA ROAD KAITHAL AMBALA ROAD",120518,29.067874,76.070215,State Private University,Directorate of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.niilm.ac.in,info@niilm.ac.in,admissions@niilm.ac.in,placement@niilm.ac.in,+91-80-219-4333,Civil Engineering,B.Tech,60,1620,1990,Urban,Yes,Yes
