College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640218310,1-44640218310,U-0949,KALAHANDI SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Kalahandi,Kalahandi,"AT: BAIDYANATH VIHAR, UDITNARAYANPUR",751467,20.96859,85.082779,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.kalahandischool.ac.in,info@kalahandischool.ac.in,admissions@kalahandischool.ac.in,placement@kalahandischool.ac.in,+91-80-547-2411,Civil Engineering,Diploma,90,330,2016,Urban,Yes,Yes
1-44640218310,1-44640218310,U-0949,KALAHANDI SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Kalahandi,Kalahandi,"AT: BAIDYANATH VIHAR, UDITNARAYANPUR",751467,20.96859,85.082779,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.kalahandischool.ac.in,info@kalahandischool.ac.in,admissions@kalahandischool.ac.in,placement@kalahandischool.ac.in,+91-80-547-2411,Computer Science Engineering (CSE),Diploma,30,330,2016,Urban,Yes,Yes
1-44640218310,1-44640218310,U-0949,KALAHANDI SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Kalahandi,Kalahandi,"AT: BAIDYANATH VIHAR, UDITNARAYANPUR",751467,20.96859,85.082779,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.kalahandischool.ac.in,info@kalahandischool.ac.in,admissions@kalahandischool.ac.in,placement@kalahandischool.ac.in,+91-80-547-2411,Electronics & Communication Engineering (ECE),Diploma,30,330,2016,Urban,Yes,Yes
1-44640218310,1-44640218310,U-0949,KALAHANDI SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Kalahandi,Kalahandi,"AT: BAIDYANATH VIHAR, UDITNARAYANPUR",751467,20.96859,85.082779,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.kalahandischool.ac.in,info@kalahandischool.ac.in,admissions@kalahandischool.ac.in,placement@kalahandischool.ac.in,+91-80-547-2411,Electrical Engineering,Diploma,90,330,2016,Urban,Yes,Yes
1-44640218310,1-44640218310,U-0949,KALAHANDI SCHOOL OF ENGINEERING & TECHNOLOGY,Active,Odisha,Kalahandi,Kalahandi,"AT: BAIDYANATH VIHAR, UDITNARAYANPUR",751467,20.96859,85.082779,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,A,No,,Tier 3,http://www.kalahandischool.ac.in,info@kalahandischool.ac.in,admissions@kalahandischool.ac.in,placement@kalahandischool.ac.in,+91-80-547-2411,Mechanical Engineering,Diploma,90,330,2016,Urban,Yes,Yes
1-44640909708,1-44640909708,U-0665,"GOVERNMENT COLLEGE OF ENGINEERING, KALAHANDI, BHAWANIPATNA",Active,Odisha,Kalahandi,Kalahandi,AT- BANDOPALA PO- RISIGAON BHAWANIPATNA DIST- KALAHANDI ODISHA - 766002,766002,20.943803,85.094897,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,A+,Yes,,Tier 2,http://www.kalahandibhawanipatna.ac.in,info@kalahandibhawanipatna.ac.in,admissions@kalahandibhawanipatna.ac.in,placement@kalahandibhawanipatna.ac.in,+91-80-507-6584,Civil Engineering,B.Tech,60,300,2015,Urban,No,Yes
1-44640909708,1-44640909708,U-0665,"GOVERNMENT COLLEGE OF ENGINEERING, KALAHANDI, BHAWANIPATNA",Active,Odisha,Kalahandi,Kalahandi,AT- BANDOPALA PO- RISIGAON BHAWANIPATNA DIST- KALAHANDI ODISHA - 766002,766002,20.943803,85.094897,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,A+,Yes,,Tier 2,http://www.kalahandibhawanipatna.ac.in,info@kalahandibhawanipatna.ac.in,admissions@kalahandibhawanipatna.ac.in,placement@kalahandibhawanipatna.ac.in,+91-80-507-6584,Electrical Engineering,B.Tech,60,300,2015,Urban,No,Yes
1-44640909708,1-44640909708,U-0665,"GOVERNMENT COLLEGE OF ENGINEERING, KALAHANDI, BHAWANIPATNA",Active,Odisha,Kalahandi,Kalahandi,AT- BANDOPALA PO- RISIGAON BHAWANIPATNA DIST- KALAHANDI ODISHA - 766002,766002,20.943803,85.094897,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,A+,Yes,,Tier 2,http://www.kalahandibhawanipatna.ac.in,info@kalahandibhawanipatna.ac.in,admissions@kalahandibhawanipatna.ac.in,placement@kalahandibhawanipatna.ac.in,+91-80-507-6584,Mechanical Engineering,B.Tech,120,300,2015,Urban,No,Yes
1-44640909708,1-44640909708,U-0665,"GOVERNMENT COLLEGE OF ENGINEERING, KALAHANDI, BHAWANIPATNA",Active,Odisha,Kalahandi,Kalahandi,AT- BANDOPALA PO- RISIGAON BHAWANIPATNA DIST- KALAHANDI ODISHA - 766002,766002,20.943803,85.094897,Government,"Biju Patnaik University of Technology, Bhubaneswar",Approved,Approved,A+,Yes,,Tier 2,http://www.kalahandibhawanipatna.ac.in,info@kalahandibhawanipatna.ac.in,admissions@kalahandibhawanipatna.ac.in,placement@kalahandibhawanipatna.ac.in,+91-80-507-6584,Computer Science Engineering (CSE),B.Tech,60,300,2015,Urban,No,Yes
1-44641024673,1-44641024673,U-0949,"GOVERNMENT POLYTECHNIC, KALAHANDI",Active,Odisha,Kalahandi,Kalahandi,AT-PARAMANANDPUR PO-BHAWANIPATNA KALAHANDI,751467,20.936093,85.095964,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.kalahandi.ac.in,info@kalahandi.ac.in,admissions@kalahandi.ac.in,placement@kalahandi.ac.in,+91-80-184-2799,Civil Engineering,Diploma,60,180,1999,Urban,No,Yes
