College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638631559,1-44638631559,U-0452,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Assam,Kamrup,Kamrup,"VILL GOG, PO: GARCHUK",781902,26.209195,92.922277,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.scholarsmanagement.ac.in,info@scholarsmanagement.ac.in,admissions@scholarsmanagement.ac.in,placement@scholarsmanagement.ac.in,+91-80-199-3373,Computer Science Engineering (CSE),B.Tech,60,330,1984,Rural,No,Yes
1-44638631559,1-44638631559,U-0452,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Assam,Kamrup,Kamrup,"VILL GOG, PO: GARCHUK",781902,26.209195,92.922277,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.scholarsmanagement.ac.in,info@scholarsmanagement.ac.in,admissions@scholarsmanagement.ac.in,placement@scholarsmanagement.ac.in,+91-80-199-3373,Electronics & Communication Engineering (ECE),B.Tech,30,330,1984,Rural,No,Yes
1-44638631559,1-44638631559,U-0452,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Assam,Kamrup,Kamrup,"VILL GOG, PO: GARCHUK",781902,26.209195,92.922277,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.scholarsmanagement.ac.in,info@scholarsmanagement.ac.in,admissions@scholarsmanagement.ac.in,placement@scholarsmanagement.ac.in,+91-80-199-3373,Electrical & Electronics Engineering (EEE),B.Tech,60,330,1984,Rural,No,Yes
1-44638631559,1-44638631559,U-0452,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Assam,Kamrup,Kamrup,"VILL GOG, PO: GARCHUK",781902,26.209195,92.922277,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.scholarsmanagement.ac.in,info@scholarsmanagement.ac.in,admissions@scholarsmanagement.ac.in,placement@scholarsmanagement.ac.in,+91-80-199-3373,Mechanical Engineering,B.Tech,60,330,1984,Rural,No,Yes
1-44638631559,1-44638631559,U-0452,SCHOLAR'S INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Assam,Kamrup,Kamrup,"VILL GOG, PO: GARCHUK",781902,26.209195,92.922277,Private-Self Financing,"Assam Science and Technology University, Guwahati",Approved,Approved,B+,No,,Tier 3,http://www.scholarsmanagement.ac.in,info@scholarsmanagement.ac.in,admissions@scholarsmanagement.ac.in,placement@scholarsmanagement.ac.in,+91-80-199-3373,Civil Engineering,B.Tech,120,330,1984,Rural,No,Yes
1-44638841532,1-44638841532,U-0584,KAMRUP POLYTECHNIC,Active,Assam,Kamrup,Kamrup,"BAIHATA CHARIALI, KAMRUP ASSAM",781902,26.205,92.947271,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.kamrup.ac.in,info@kamrup.ac.in,admissions@kamrup.ac.in,placement@kamrup.ac.in,+91-80-023-4301,Automobile Engineering,Diploma,60,180,1984,Rural,Yes,Yes
1-44638841532,1-44638841532,U-0584,KAMRUP POLYTECHNIC,Active,Assam,Kamrup,Kamrup,"BAIHATA CHARIALI, KAMRUP ASSAM",781902,26.205,92.947271,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.kamrup.ac.in,info@kamrup.ac.in,admissions@kamrup.ac.in,placement@kamrup.ac.in,+91-80-023-4301,Electronics & Communication Engineering (ECE),Diploma,60,180,1984,Rural,Yes,Yes
1-44638841532,1-44638841532,U-0584,KAMRUP POLYTECHNIC,Active,Assam,Kamrup,Kamrup,"BAIHATA CHARIALI, KAMRUP ASSAM",781902,26.205,92.947271,Government,"Directorate of Technical Education, Assam",Approved,Approved,A,No,,Tier 2,http://www.kamrup.ac.in,info@kamrup.ac.in,admissions@kamrup.ac.in,placement@kamrup.ac.in,+91-80-023-4301,Electrical Engineering,Diploma,60,180,1984,Rural,Yes,Yes
1-44640457586,1-44640457586,U-0584,ASSAM ENGINEERING INSTITUTE,Active,Assam,Kamrup,Kamrup,"M.D. ROAD, CHANDMARI, GUWAHATI, ASSAM -781003",781003,26.219846,92.924957,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-646-0847,Computer Science Engineering (CSE),Diploma,40,325,1999,Urban,Yes,Yes
1-44640457586,1-44640457586,U-0584,ASSAM ENGINEERING INSTITUTE,Active,Assam,Kamrup,Kamrup,"M.D. ROAD, CHANDMARI, GUWAHATI, ASSAM -781003",781003,26.219846,92.924957,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-646-0847,Electrical Engineering,Diploma,40,325,1999,Urban,Yes,Yes
