College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Other Engineering Branches,B.Tech,15,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Other Engineering Branches,M.Tech,18,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Computer Science Engineering (CSE),B.Tech,60,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Cyber Security,B.Tech,30,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Data Science,B.Tech,30,231,2010,Rural,No,Yes
1-44638580531,1-44638580531,U-0452,SCHOOL OF ENGINEERING,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"TETELIA ROAD,JALUKBARI,GUWAHATI,ASSAM,PIN CODE-781013",781013,26.211137,92.943484,Government,"Assam Science and Technology University, Guwahati",Approved,Approved,A,No,,Tier 2,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-280-8101,Computer Science Engineering (CSE),M.Tech,18,231,2010,Rural,No,Yes
1-44640235973,1-44640235973,U-0584,ASSAM TEXTILE INSTITUTE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,GNB ROAD. AMBARI.,781993,26.205313,92.941825,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.assamtextile.ac.in,info@assamtextile.ac.in,admissions@assamtextile.ac.in,placement@assamtextile.ac.in,+91-80-036-5339,Other Engineering Branches,Diploma,70,70,2016,Urban,Yes,Yes
1-44640418138,1-44640418138,U-0584,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY GUWAHATI,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,"NH-37, JAWAHAR NAGAR, KHANAPARA, GUWAHATI-781022",781022,26.198818,92.92815,Government,"Directorate of Technical Education, Assam",Approved,Approved,B,No,,Tier 3,http://www.indianhandloomguwahati.ac.in,info@indianhandloomguwahati.ac.in,admissions@indianhandloomguwahati.ac.in,placement@indianhandloomguwahati.ac.in,+91-80-764-1155,Other Engineering Branches,Diploma,60,60,1996,Rural,No,Yes
1-44641411935,1-44641411935,U-0319,ASSAM ENGINEERING COLLEGE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,P.O.:- JALUKBARI DIST:- KAMRUP(METRO) ASSAM,781993,26.191864,92.935873,Government,Assam Science and Technology University,Approved,Approved,A+,Yes,,Tier 2,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-472-4596,Chemical Engineering,B.Tech,60,492,2015,Rural,Yes,Yes
1-44641411935,1-44641411935,U-0319,ASSAM ENGINEERING COLLEGE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,P.O.:- JALUKBARI DIST:- KAMRUP(METRO) ASSAM,781993,26.191864,92.935873,Government,Assam Science and Technology University,Approved,Approved,A+,Yes,,Tier 2,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-472-4596,Civil Engineering,B.Tech,90,492,2015,Rural,Yes,Yes
1-44641411935,1-44641411935,U-0319,ASSAM ENGINEERING COLLEGE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,P.O.:- JALUKBARI DIST:- KAMRUP(METRO) ASSAM,781993,26.191864,92.935873,Government,Assam Science and Technology University,Approved,Approved,A+,Yes,,Tier 2,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-472-4596,Computer Science Engineering (CSE),B.Tech,20,492,2015,Rural,Yes,Yes
1-44641411935,1-44641411935,U-0319,ASSAM ENGINEERING COLLEGE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,P.O.:- JALUKBARI DIST:- KAMRUP(METRO) ASSAM,781993,26.191864,92.935873,Government,Assam Science and Technology University,Approved,Approved,A+,Yes,,Tier 2,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-472-4596,Mechanical Engineering,M.Tech,18,492,2015,Rural,Yes,Yes
1-44641411935,1-44641411935,U-0319,ASSAM ENGINEERING COLLEGE,Active,Assam,Kamrup Metropolitan,Kamrup Metropolitan,P.O.:- JALUKBARI DIST:- KAMRUP(METRO) ASSAM,781993,26.191864,92.935873,Government,Assam Science and Technology University,Approved,Approved,A+,Yes,,Tier 2,http://www.assam.ac.in,info@assam.ac.in,admissions@assam.ac.in,placement@assam.ac.in,+91-80-472-4596,Civil Engineering,M.Tech,36,492,2015,Rural,Yes,Yes
